date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,2,0,0.0
2020-03-12,0,0,0.0
2020-03-13,1,0,1.0
2020-03-14,1,0,1.9
2020-03-15,0,0,1.9
2020-03-16,0,0,1.9
2020-03-17,2,0,3.8
2020-03-18,4,0,7.6
2020-03-19,3,0,10.5
2020-03-20,0,0,9.5
2020-03-21,2,0,10.5
2020-03-22,3,0,13.4
2020-03-23,3,0,16.2
2020-03-24,2,0,16.2
2020-03-25,5,0,17.2
2020-03-26,1,0,15.3
2020-03-27,1,0,16.2
2020-03-28,2,0,16.2
2020-03-29,1,0,14.3
2020-03-30,5,0,16.3
2020-03-31,6,0,20.1
2020-04-01,5,0,20.1
2020-04-02,4,0,22.9
2020-04-03,2,0,23.9
2020-04-04,4,0,25.8
2020-04-05,9,0,33.4
2020-04-06,1,0,29.5
2020-04-07,5,0,28.6
2020-04-08,5,0,28.6
2020-04-09,7,0,31.5
2020-04-10,4,0,33.4
2020-04-11,3,0,32.4
2020-04-12,3,0,26.7
2020-04-13,4,0,29.6
2020-04-14,3,0,27.7
2020-04-15,6,0,28.6
2020-04-16,9,0,30.5
2020-04-17,2,0,28.6
2020-04-18,6,0,31.5
2020-04-19,6,0,34.3
2020-04-20,3,0,33.4
2020-04-21,7,0,37.2
2020-04-22,8,3,39.1
2020-04-23,3,0,33.4
2020-04-24,3,3,34.3
2020-04-25,3,0,31.5
2020-04-26,1,1,26.8
2020-04-27,0,1,23.9
2020-04-28,2,1,19.1
2020-04-29,3,1,14.3
2020-04-30,3,2,14.3
2020-05-01,2,1,13.4
2020-05-02,4,0,14.3
2020-05-03,1,0,14.3
2020-05-04,2,1,16.2
2020-05-05,1,1,15.2
2020-05-06,4,1,16.2
2020-05-07,3,0,16.2
2020-05-08,1,0,15.3
2020-05-09,0,1,11.5
2020-05-10,2,1,12.4
2020-05-11,1,0,11.4
2020-05-12,4,0,14.3
2020-05-13,2,0,12.5
2020-05-14,2,1,11.5
2020-05-15,8,0,18.1
2020-05-16,3,1,21.0
2020-05-17,4,2,22.9
2020-05-18,1,1,22.9
2020-05-19,3,0,22.0
2020-05-20,6,1,25.7
2020-05-21,2,1,25.7
2020-05-22,2,5,20.0
2020-05-23,1,0,18.1
2020-05-24,2,1,16.2
2020-05-25,1,2,16.2
2020-05-26,0,1,13.3
2020-05-27,0,0,7.6
2020-05-28,4,0,9.6
2020-05-29,5,0,12.4
2020-05-30,2,0,13.3
2020-05-31,3,1,14.3
2020-06-01,3,0,16.3
2020-06-02,3,3,19.1
2020-06-03,2,1,21.0
