date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,2,0,1.3
2020-03-12,0,0,1.3
2020-03-13,0,0,1.3
2020-03-14,0,0,1.3
2020-03-15,0,0,1.3
2020-03-16,0,0,1.3
2020-03-17,0,0,1.3
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,1,0,0.6
2020-03-21,1,0,1.3
2020-03-22,1,0,1.9
2020-03-23,2,0,3.2
2020-03-24,1,0,3.9
2020-03-25,3,0,5.8
2020-03-26,3,0,7.7
2020-03-27,2,0,8.4
2020-03-28,2,0,9.0
2020-03-29,0,0,8.4
2020-03-30,2,0,8.4
2020-03-31,1,0,8.3
2020-04-01,2,0,7.7
2020-04-02,10,0,12.3
2020-04-03,3,0,12.9
2020-04-04,0,0,11.6
2020-04-05,2,0,12.9
2020-04-06,3,0,13.5
2020-04-07,0,0,12.9
2020-04-08,4,0,14.2
2020-04-09,3,0,9.6
2020-04-10,5,0,11.0
2020-04-11,9,0,16.8
2020-04-12,2,0,16.8
2020-04-13,8,0,20.0
2020-04-14,14,0,29.0
2020-04-15,8,0,31.6
2020-04-16,9,0,35.5
2020-04-17,21,0,45.7
2020-04-18,4,0,42.5
2020-04-19,0,0,41.2
2020-04-20,15,0,45.8
2020-04-21,12,0,44.5
2020-04-22,7,11,43.8
2020-04-23,8,12,43.2
2020-04-24,10,10,36.1
2020-04-25,3,1,35.5
2020-04-26,3,10,37.4
2020-04-27,7,6,32.2
2020-04-28,9,1,30.3
2020-04-29,12,2,33.6
2020-04-30,8,6,33.5
2020-05-01,7,2,31.6
2020-05-02,11,6,36.7
2020-05-03,3,2,36.8
2020-05-04,5,9,35.5
2020-05-05,2,2,31.0
2020-05-06,2,5,24.5
2020-05-07,0,1,19.4
2020-05-08,5,0,18.1
2020-05-09,1,1,11.6
2020-05-10,3,0,11.6
2020-05-11,4,3,10.9
2020-05-12,1,2,10.3
2020-05-13,11,2,16.1
2020-05-14,7,1,20.6
2020-05-15,2,3,18.7
2020-05-16,5,3,21.3
2020-05-17,2,0,20.6
2020-05-18,3,1,20.0
2020-05-19,2,0,20.6
2020-05-20,11,1,20.6
2020-05-21,4,5,18.7
2020-05-22,11,9,24.5
2020-05-23,3,2,23.2
2020-05-24,2,3,23.2
2020-05-25,6,0,25.2
2020-05-26,6,0,27.7
2020-05-27,6,1,24.5
2020-05-28,7,1,26.4
2020-05-29,9,4,25.1
2020-05-30,5,0,26.4
2020-05-31,10,2,31.6
2020-06-01,3,1,29.6
2020-06-02,6,5,29.7
2020-06-03,22,21,40.0
2020-06-04,6,7,39.3
2020-06-05,3,15,35.5
2020-06-06,0,1,32.3
2020-06-07,0,0,25.8
2020-06-08,1,0,24.5
2020-06-09,3,1,22.6
2020-06-10,1,0,9.0
2020-06-11,1,0,5.8
2020-06-12,3,0,5.8
2020-06-13,1,0,6.4
2020-06-14,0,1,6.4
2020-06-15,1,0,6.5
2020-06-16,1,0,5.1
2020-06-17,0,0,4.5
2020-06-18,0,1,3.9
2020-06-19,0,0,1.9
2020-06-20,0,0,1.3
2020-06-21,0,0,1.3
2020-06-22,0,0,0.6
2020-06-23,0,0,0.0
