date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,1,0,0.5
2020-03-18,0,0,0.5
2020-03-19,0,0,0.5
2020-03-20,1,0,1.0
2020-03-21,2,0,2.0
2020-03-22,0,0,2.0
2020-03-23,5,0,4.5
2020-03-24,7,0,7.4
2020-03-25,1,0,7.9
2020-03-26,10,0,12.9
2020-03-27,4,0,14.3
2020-03-28,13,0,19.8
2020-03-29,8,0,23.7
2020-03-30,30,0,36.1
2020-03-31,19,0,42.1
2020-04-01,33,0,57.9
2020-04-02,23,0,64.3
2020-04-03,19,0,71.8
2020-04-04,31,0,80.7
2020-04-05,20,0,86.7
2020-04-06,42,0,92.6
2020-04-07,44,0,105.0
2020-04-08,41,0,109.0
2020-04-09,36,0,115.4
2020-04-10,33,0,122.4
2020-04-11,26,0,119.8
2020-04-12,20,0,119.8
2020-04-13,20,0,108.9
2020-04-14,24,0,99.0
2020-04-15,28,0,92.6
2020-04-16,26,0,87.7
2020-04-17,30,21,86.1
2020-04-18,36,20,91.1
2020-04-19,33,34,97.6
2020-04-20,26,18,100.6
2020-04-21,37,22,107.0
2020-04-22,27,27,106.4
2020-04-23,51,34,118.8
2020-04-24,29,30,118.4
2020-04-25,11,27,106.0
2020-04-26,7,21,93.1
2020-04-27,25,4,92.6
2020-04-28,31,2,89.6
2020-04-29,45,0,98.6
2020-04-30,28,48,87.1
2020-05-01,21,34,83.1
2020-05-02,9,3,82.2
2020-05-03,7,38,82.2
2020-05-04,34,3,86.6
2020-05-05,15,9,78.7
2020-05-06,25,1,68.8
2020-05-07,23,30,66.4
2020-05-08,9,26,60.5
2020-05-09,6,19,58.9
2020-05-10,8,3,59.4
2020-05-11,14,4,49.5
2020-05-12,5,0,44.6
2020-05-13,5,5,34.7
2020-05-14,2,3,24.3
2020-05-15,11,0,25.2
2020-05-16,3,3,23.8
2020-05-17,7,2,23.3
2020-05-18,5,0,18.8
2020-05-19,2,1,17.3
2020-05-20,8,2,18.8
2020-05-21,10,2,22.7
2020-05-22,4,2,19.3
2020-05-23,1,5,18.3
2020-05-24,3,0,16.3
2020-05-25,2,5,14.9
2020-05-26,5,0,16.4
2020-05-27,3,1,13.9
2020-05-28,0,4,9.0
2020-05-29,1,0,7.5
2020-05-30,2,0,7.9
2020-05-31,3,0,7.9
2020-06-01,2,1,7.9
2020-06-02,2,1,6.4
2020-06-03,0,2,4.9
2020-06-04,3,1,6.4
2020-06-05,1,0,6.4
2020-06-06,2,0,6.5
2020-06-07,0,1,5.0
2020-06-08,1,0,4.5
2020-06-09,0,1,3.5
2020-06-10,2,0,4.5
2020-06-11,1,1,3.5
2020-06-12,2,2,4.0
2020-06-13,1,0,3.4
2020-06-14,0,1,3.4
2020-06-15,1,0,3.4
2020-06-16,0,1,3.4
2020-06-17,1,0,2.9
2020-06-18,2,0,3.4
2020-06-19,1,0,2.9
2020-06-20,1,0,3.0
2020-06-21,1,1,3.5
2020-06-22,0,0,3.0
2020-06-23,0,0,3.0
2020-06-24,1,0,3.0
2020-06-25,0,0,2.0
2020-06-26,0,2,1.5
2020-06-27,0,0,1.0
2020-06-28,0,0,0.5
2020-06-29,1,0,1.0
2020-06-30,0,1,1.0
2020-07-01,1,254,1.0
2020-07-02,1,0,1.5
2020-07-03,0,0,1.5
2020-07-04,0,0,1.5
2020-07-05,0,2,1.5
2020-07-06,2,0,2.0
2020-07-07,1,1,2.5
2020-07-08,1,0,2.5
2020-07-09,0,2,2.0
2020-07-10,0,0,2.0
2020-07-11,3,1,3.5
2020-07-12,0,0,3.5
2020-07-13,0,1,2.5
2020-07-14,2,2,2.9
2020-07-15,3,0,3.9
2020-07-16,0,2,3.9
2020-07-17,0,0,3.9
2020-07-18,0,2,2.4
2020-07-19,1,0,2.9
2020-07-20,1,1,3.4
2020-07-21,0,0,2.5
2020-07-22,1,1,1.5
2020-07-23,1,0,2.0
2020-07-24,0,1,2.0
2020-07-25,0,0,2.0
2020-07-26,0,1,1.5
2020-07-27,0,0,1.0
2020-07-28,0,0,1.0
2020-07-29,2,0,1.5
2020-07-30,2,0,2.0
2020-07-31,3,1,3.5
2020-08-01,1,3,4.0
