date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-27,1,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,4,0,1.0
2020-03-05,1,0,1.2
2020-03-06,1,0,1.5
2020-03-07,0,0,1.5
2020-03-08,1,0,1.7
2020-03-09,3,0,2.5
2020-03-10,3,0,3.2
2020-03-11,11,0,5.0
2020-03-12,5,0,6.0
2020-03-13,6,0,7.2
2020-03-14,6,0,8.7
2020-03-15,10,0,11.0
2020-03-16,11,0,13.0
2020-03-17,7,0,14.0
2020-03-18,14,0,14.8
2020-03-19,26,0,20.1
2020-03-20,21,0,23.8
2020-03-21,18,0,26.8
2020-03-22,27,0,31.1
2020-03-23,31,0,36.1
2020-03-24,39,0,44.2
2020-03-25,46,0,52.1
2020-03-26,56,0,59.6
2020-03-27,54,0,68.0
2020-03-28,33,0,71.7
2020-03-29,31,0,72.7
2020-03-30,41,0,75.2
2020-03-31,48,0,77.4
2020-04-01,37,0,75.2
2020-04-02,65,0,77.5
2020-04-03,37,0,73.1
2020-04-04,37,0,74.2
2020-04-05,40,0,76.4
2020-04-06,37,0,75.4
2020-04-07,46,0,74.9
2020-04-08,49,0,77.9
2020-04-09,34,0,70.1
2020-04-10,20,0,65.9
2020-04-11,20,0,61.7
2020-04-12,18,0,56.2
2020-04-13,23,0,52.6
2020-04-14,20,0,46.1
2020-04-15,24,0,39.9
2020-04-16,20,0,36.4
2020-04-17,21,34,36.6
2020-04-18,15,20,35.3
2020-04-19,21,14,36.1
2020-04-20,14,12,33.9
2020-04-21,27,14,35.6
2020-04-22,11,6,32.3
2020-04-23,19,18,32.1
2020-04-24,17,15,31.1
2020-04-25,11,13,30.1
2020-04-26,17,8,29.0
2020-04-27,20,6,30.5
2020-04-28,24,9,29.9
2020-04-29,17,6,31.3
2020-04-30,19,8,31.3
2020-05-01,10,9,29.6
2020-05-02,9,16,29.0
2020-05-03,6,5,26.3
2020-05-04,13,5,24.6
2020-05-05,12,5,21.5
2020-05-06,9,9,19.6
2020-05-07,13,2,18.0
2020-05-08,7,6,17.3
2020-05-09,5,4,16.3
2020-05-10,8,5,16.8
2020-05-11,6,2,15.0
2020-05-12,11,1,14.8
2020-05-13,16,1,16.5
2020-05-14,5,2,14.6
2020-05-15,5,9,14.0
2020-05-16,2,3,13.3
2020-05-17,6,3,12.8
2020-05-18,9,0,13.6
2020-05-19,7,2,12.5
2020-05-20,10,3,11.0
2020-05-21,8,2,11.7
2020-05-22,3,2,11.3
2020-05-23,1,3,11.0
2020-05-24,2,1,10.0
2020-05-25,1,0,8.0
2020-05-26,4,1,7.3
2020-05-27,9,2,7.1
2020-05-28,4,1,6.1
2020-05-29,2,1,5.8
2020-05-30,1,2,5.8
2020-05-31,1,5,5.6
2020-06-01,1,2,5.5
2020-06-02,3,1,5.3
2020-06-03,3,0,3.7
2020-06-04,1,0,3.0
2020-06-05,1,2,2.7
2020-06-06,3,1,3.3
2020-06-07,2,0,3.5
2020-06-08,1,0,3.5
2020-06-09,0,3,2.7
2020-06-10,2,0,2.5
2020-06-11,1,1,2.5
2020-06-12,1,0,2.5
2020-06-13,2,4,2.2
2020-06-14,0,1,1.7
2020-06-15,2,1,2.0
2020-06-16,3,1,2.8
2020-06-17,2,0,2.8
2020-06-18,1,1,2.7
2020-06-19,1,0,2.8
2020-06-20,0,3,2.3
2020-06-21,1,1,2.5
2020-06-22,0,0,2.0
2020-06-23,0,0,1.2
2020-06-24,0,0,0.7
2020-06-25,2,3,1.0
2020-06-26,3,0,1.5
2020-06-27,0,1,1.5
2020-06-28,1,1,1.5
2020-06-29,3,0,2.3
2020-06-30,1,0,2.5
2020-07-01,2,260,3.0
2020-07-02,2,5,3.0
2020-07-03,1,0,2.5
2020-07-04,1,0,2.7
2020-07-05,4,2,3.5
2020-07-06,1,2,3.0
2020-07-07,2,1,3.3
2020-07-08,1,2,3.0
2020-07-09,3,1,3.3
2020-07-10,1,2,3.2
2020-07-11,2,4,3.5
2020-07-12,4,3,3.5
2020-07-13,9,1,5.5
2020-07-14,1,4,5.3
2020-07-15,7,5,6.8
2020-07-16,0,3,6.0
2020-07-17,4,8,6.8
2020-07-18,4,3,7.3
2020-07-19,2,2,6.8
2020-07-20,2,3,5.0
2020-07-21,2,3,5.2
2020-07-22,7,0,5.3
2020-07-23,4,6,6.3
2020-07-24,2,1,5.8
2020-07-25,5,3,6.0
2020-07-26,0,5,5.5
2020-07-27,8,4,7.0
2020-07-28,8,4,8.5
2020-07-29,5,5,8.0
2020-07-30,9,3,9.2
2020-07-31,3,10,9.5
2020-08-01,4,4,9.3
2020-08-02,7,5,11.1
2020-08-03,2,3,9.6
2020-08-04,2,7,8.1
2020-08-05,4,3,7.8
2020-08-06,5,3,6.8
2020-08-07,9,6,8.3
2020-08-08,2,4,7.8
2020-08-09,2,10,6.5
2020-08-10,10,2,8.5
2020-08-11,4,4,9.0
2020-08-12,8,2,10.0
2020-08-13,6,0,10.3
2020-08-14,11,16,10.7
2020-08-15,1,9,10.5
2020-08-16,6,11,11.5
2020-08-17,9,4,11.3
2020-08-18,10,4,12.8
2020-08-19,9,13,13.0
2020-08-20,2,4,12.0
2020-08-21,9,7,11.6
2020-08-22,6,5,12.8
2020-08-23,5,8,12.5
2020-08-24,3,11,11.0
2020-08-25,8,7,10.5
2020-08-26,16,3,12.3
2020-08-27,21,7,17.1
2020-08-28,12,7,17.8
2020-08-29,4,7,17.3
2020-08-30,4,12,17.1
2020-08-31,15,11,20.0
2020-09-01,24,13,24.0
2020-09-02,14,7,23.6
2020-09-03,16,18,22.3
2020-09-04,17,15,23.5
2020-09-05,12,12,25.5
2020-09-06,10,19,27.0
2020-09-07,18,13,27.9
2020-09-08,16,16,25.9
2020-09-09,18,10,26.8
2020-09-10,20,14,27.8
2020-09-11,13,15,26.8
2020-09-12,6,21,25.3
2020-09-13,5,8,24.1
2020-09-14,17,11,23.8
2020-09-15,10,4,22.3
2020-09-16,12,9,20.8
2020-09-17,11,8,18.5
2020-09-18,10,21,17.8
2020-09-19,13,11,19.6
2020-09-20,17,7,22.6
2020-09-21,26,8,24.8
2020-09-22,14,14,25.8
2020-09-23,24,19,28.8
2020-09-24,26,33,32.6
2020-09-25,23,29,35.9
2020-09-26,16,24,36.6
2020-09-27,22,14,37.8
2020-09-28,24,10,37.3
2020-09-29,31,32,41.6
2020-09-30,50,14,48.1
2020-10-01,59,24,56.4
2020-10-02,51,36,63.4
2020-10-03,25,61,65.7
2020-10-04,38,92,69.7
2020-10-05,65,45,80.0
2020-10-06,54,41,85.7
2020-10-07,64,59,89.2
2020-10-08,78,74,94.0
2020-10-09,63,80,97.0
2020-10-10,37,64,99.9
2020-10-11,32,33,98.5
2020-10-12,83,41,103.0
2020-10-13,67,78,106.3
2020-10-14,66,65,106.8
2020-10-15,66,80,103.7
2020-10-16,66,65,104.5
2020-10-17,51,40,108.1
2020-10-18,50,61,112.5
2020-10-19,96,84,115.8
2020-10-20,102,68,124.5
2020-10-21,90,114,130.6
2020-10-22,101,70,139.4
2020-10-23,103,65,148.6
2020-10-24,62,113,151.3
2020-10-25,76,66,157.9
2020-10-26,86,116,155.3
2020-10-27,84,84,150.9
2020-10-28,66,91,144.8
2020-10-29,70,87,137.1
2020-10-30,76,84,130.3
2020-10-31,61,51,130.1
2020-11-01,43,80,121.8
2020-11-02,110,73,127.9
2020-11-03,78,57,126.3
2020-11-04,88,72,131.9
2020-11-05,75,92,133.1
2020-11-06,86,68,135.6
2020-11-07,72,107,138.4
2020-11-08,98,70,152.1
2020-11-09,150,77,162.1
2020-11-10,122,65,173.2
2020-11-11,118,119,180.7
2020-11-12,115,176,190.7
2020-11-13,97,121,193.5
2020-11-14,74,108,193.9
2020-11-15,64,116,185.5
2020-11-16,147,0,184.7
2020-11-17,98,71,178.7
2020-11-18,68,75,166.1
2020-11-19,104,139,163.4
2020-11-20,83,59,159.9
2020-11-21,48,105,153.4
2020-11-22,59,121,152.1
2020-11-23,89,78,137.6
2020-11-24,104,49,139.1
2020-11-25,108,87,149.1
2020-11-26,81,99,143.3
2020-11-27,83,84,143.3
2020-11-28,67,81,148.1
2020-11-29,87,57,155.1
2020-11-30,105,92,159.2
2020-12-01,83,102,153.9
2020-12-02,151,98,164.7
2020-12-03,87,71,166.2
2020-12-04,110,148,173.0
2020-12-05,78,93,175.7
2020-12-06,83,127,174.7
2020-12-07,132,85,181.4
2020-12-08,126,89,192.2
2020-12-09,159,67,194.2
2020-12-10,145,154,208.8
