date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,2,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,2,0,2.0
2020-03-18,1,0,2.9
2020-03-19,1,0,3.9
2020-03-20,1,0,4.8
2020-03-21,0,0,4.8
2020-03-22,1,0,5.8
2020-03-23,0,0,5.8
2020-03-24,3,0,6.7
2020-03-25,0,0,5.8
2020-03-26,3,0,7.7
2020-03-27,3,0,9.7
2020-03-28,2,0,11.6
2020-03-29,1,0,11.6
2020-03-30,2,0,13.5
2020-03-31,4,0,14.5
2020-04-01,5,0,19.3
2020-04-02,4,0,20.2
2020-04-03,0,0,17.3
2020-04-04,1,0,16.4
2020-04-05,3,0,18.3
2020-04-06,1,0,17.4
2020-04-07,7,0,20.2
2020-04-08,6,0,21.2
2020-04-09,9,0,26.1
2020-04-10,2,0,28.0
2020-04-11,2,0,28.9
2020-04-12,1,0,27.0
2020-04-13,2,0,27.9
2020-04-14,2,0,23.1
2020-04-15,4,0,21.2
2020-04-16,8,0,20.2
2020-04-17,5,0,23.1
2020-04-18,7,0,28.0
2020-04-19,5,0,31.8
2020-04-20,2,0,31.8
2020-04-21,8,0,37.6
2020-04-22,8,3,41.4
2020-04-23,1,2,34.7
2020-04-24,9,2,38.6
2020-04-25,12,3,43.3
2020-04-26,6,1,44.3
2020-04-27,13,3,55.0
2020-04-28,20,1,66.5
2020-04-29,13,6,71.4
2020-04-30,29,7,98.3
2020-05-01,3,5,92.5
2020-05-02,6,2,86.8
2020-05-03,11,0,91.6
2020-05-04,7,2,85.7
2020-05-05,10,4,76.2
2020-05-06,8,0,71.3
2020-05-07,8,7,51.1
2020-05-08,5,5,53.0
2020-05-09,3,0,50.1
2020-05-10,1,2,40.5
2020-05-11,12,0,45.4
2020-05-12,3,1,38.5
2020-05-13,2,0,32.8
2020-05-14,0,0,25.1
2020-05-15,1,1,21.2
2020-05-16,0,0,18.3
2020-05-17,1,0,18.3
2020-05-18,1,0,7.7
2020-05-19,9,0,13.5
2020-05-20,2,0,13.5
2020-05-21,0,0,13.5
2020-05-22,5,1,17.4
2020-05-23,0,0,17.4
2020-05-24,3,0,19.3
2020-05-25,0,1,18.3
2020-05-26,2,0,11.6
2020-05-27,4,1,13.5
2020-05-28,0,0,13.5
2020-05-29,0,0,8.7
2020-05-30,0,0,8.7
2020-05-31,0,1,5.8
2020-06-01,1,0,6.7
2020-06-02,1,1,5.8
2020-06-03,0,0,1.9
