date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,0,0,0.0
2020-03-13,1,0,0.9
2020-03-14,1,0,1.8
2020-03-15,0,0,1.8
2020-03-16,0,0,1.8
2020-03-17,1,0,2.7
2020-03-18,3,0,5.3
2020-03-19,1,0,6.2
2020-03-20,2,0,7.1
2020-03-21,3,0,8.9
2020-03-22,1,0,9.7
2020-03-23,3,0,12.4
2020-03-24,3,0,14.2
2020-03-25,6,0,16.9
2020-03-26,2,0,17.8
2020-03-27,5,0,20.4
2020-03-28,2,0,19.5
2020-03-29,1,0,19.6
2020-03-30,9,0,24.9
2020-03-31,5,0,26.7
2020-04-01,8,0,28.5
2020-04-02,4,0,30.2
2020-04-03,7,0,32.0
2020-04-04,5,0,34.7
2020-04-05,4,0,37.3
2020-04-06,6,0,34.7
2020-04-07,8,0,37.3
2020-04-08,10,0,39.1
2020-04-09,7,0,41.8
2020-04-10,4,0,39.2
2020-04-11,9,0,42.7
2020-04-12,3,0,41.8
2020-04-13,6,0,41.8
2020-04-14,10,0,43.6
2020-04-15,12,0,45.3
2020-04-16,5,0,43.6
2020-04-17,5,0,44.4
2020-04-18,9,0,44.4
2020-04-19,7,0,48.0
2020-04-20,6,0,48.0
2020-04-21,5,0,43.5
2020-04-22,3,0,35.6
2020-04-23,7,8,37.3
2020-04-24,9,6,40.9
2020-04-25,4,4,36.5
2020-04-26,5,1,34.7
2020-04-27,13,2,40.9
2020-04-28,19,0,53.4
2020-04-29,18,2,66.7
2020-04-30,10,3,69.4
2020-05-01,11,2,71.1
2020-05-02,5,6,72.0
2020-05-03,4,6,71.2
2020-05-04,7,0,65.8
2020-05-05,8,3,56.0
2020-05-06,7,6,46.2
2020-05-07,2,0,39.1
2020-05-08,3,2,32.1
2020-05-09,1,1,28.4
2020-05-10,6,0,30.2
2020-05-11,1,0,24.9
2020-05-12,4,0,21.3
2020-05-13,4,0,18.7
2020-05-14,8,3,24.0
2020-05-15,2,2,23.1
2020-05-16,2,0,24.1
2020-05-17,2,0,20.4
2020-05-18,4,0,23.1
2020-05-19,4,0,23.1
2020-05-20,2,0,21.3
2020-05-21,4,1,17.8
2020-05-22,3,2,18.6
2020-05-23,1,1,17.7
2020-05-24,0,1,16.0
2020-05-25,6,1,17.8
2020-05-26,1,1,15.2
2020-05-27,1,0,14.2
2020-05-28,0,1,10.6
2020-05-29,0,0,8.0
2020-05-30,1,0,8.0
2020-05-31,3,1,10.7
2020-06-01,3,1,8.0
2020-06-02,2,1,8.8
2020-06-03,1,0,8.9
2020-06-04,2,0,10.7
2020-06-05,1,1,11.6
2020-06-06,2,0,12.5
2020-06-07,0,0,9.8
2020-06-08,1,0,8.0
2020-06-09,2,1,8.0
2020-06-10,3,0,9.8
2020-06-11,2,0,9.8
2020-06-12,0,2,8.9
2020-06-13,1,4,8.0
2020-06-14,0,1,8.0
2020-06-15,0,0,7.1
2020-06-16,1,0,6.3
2020-06-17,0,0,3.6
2020-06-18,1,3,2.7
2020-06-19,1,0,3.6
2020-06-20,1,0,3.5
2020-06-21,0,1,3.5
2020-06-22,0,0,3.5
2020-06-23,0,0,2.6
2020-06-24,0,0,2.6
2020-06-25,3,0,4.4
2020-06-26,1,2,4.4
2020-06-27,2,0,5.4
2020-06-28,0,0,5.4
2020-06-29,1,0,6.3
2020-06-30,0,0,6.3
2020-07-01,3,193,8.9
2020-07-02,3,0,8.9
2020-07-03,1,1,8.9
2020-07-04,1,5,8.0
2020-07-05,3,1,10.6
2020-07-06,0,0,9.7
2020-07-07,1,2,10.6
2020-07-08,0,4,8.0
2020-07-09,0,1,5.3
2020-07-10,1,0,5.3
2020-07-11,1,0,5.3
