date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,3,0,1.3
2020-03-03,0,0,1.3
2020-03-04,1,0,1.7
2020-03-05,0,0,1.7
2020-03-06,0,0,1.7
2020-03-07,0,0,1.7
2020-03-08,0,0,1.7
2020-03-09,0,0,0.4
2020-03-10,3,0,1.6
2020-03-11,0,0,1.2
2020-03-12,3,0,2.5
2020-03-13,2,0,3.4
2020-03-14,1,0,3.8
2020-03-15,2,0,4.6
2020-03-16,1,0,5.0
2020-03-17,0,0,3.8
2020-03-18,5,0,5.9
2020-03-19,4,0,6.3
2020-03-20,7,0,8.4
2020-03-21,4,0,9.7
2020-03-22,9,0,12.7
2020-03-23,5,0,14.4
2020-03-24,10,0,18.6
2020-03-25,10,0,20.7
2020-03-26,15,0,25.3
2020-03-27,8,0,25.7
2020-03-28,13,0,29.5
2020-03-29,8,0,29
2020-03-30,19,0,34.9
2020-03-31,13,0,36.2
2020-04-01,29,0,44.2
2020-04-02,27,0,49.3
2020-04-03,26,0,56.9
2020-04-04,16,0,58.1
2020-04-05,19,0,62.8
2020-04-06,22,0,64.1
2020-04-07,19,0,66.6
2020-04-08,31,0,67.4
2020-04-09,19,0,64.0
2020-04-10,23,0,62.7
2020-04-11,16,0,62.8
2020-04-12,12,0,59.8
2020-04-13,11,0,55.2
2020-04-14,24,0,57.3
2020-04-15,15,0,50.6
2020-04-16,24,0,52.7
2020-04-17,11,22,47.6
2020-04-18,24,7,51.0
2020-04-19,12,23,51.0
2020-04-20,23,10,56.0
2020-04-21,25,16,56.4
2020-04-22,27,6,61.5
2020-04-23,14,18,57.3
2020-04-24,17,21,59.9
2020-04-25,11,9,54.3
2020-04-26,10,8,53.5
2020-04-27,15,11,50.1
2020-04-28,14,12,45.5
2020-04-29,26,9,45.1
2020-04-30,22,10,48.5
2020-05-01,17,8,48.4
2020-05-02,14,11,49.7
2020-05-03,14,19,51.4
2020-05-04,15,5,51.4
2020-05-05,13,10,51.0
2020-05-06,11,7,44.6
2020-05-07,13,14,40.8
2020-05-08,15,11,40.0
2020-05-09,7,4,37.1
2020-05-10,5,9,33.3
2020-05-11,16,5,33.7
2020-05-12,20,4,36.7
2020-05-13,13,5,37.5
2020-05-14,11,11,36.7
2020-05-15,11,19,35.0
2020-05-16,14,5,37.9
2020-05-17,9,6,39.6
2020-05-18,24,9,43.0
2020-05-19,33,5,48.4
2020-05-20,8,6,46.4
2020-05-21,9,13,45.5
2020-05-22,15,14,47.2
2020-05-23,6,3,43.8
2020-05-24,6,4,42.6
2020-05-25,9,9,36.2
2020-05-26,11,0,27.0
2020-05-27,8,4,27.0
2020-05-28,15,3,29.5
2020-05-29,9,8,27.0
2020-05-30,11,2,29.1
2020-05-31,8,8,29.9
2020-06-01,13,4,31.6
2020-06-02,11,0,31.6
2020-06-03,4,2,29.9
2020-06-04,4,5,25.3
2020-06-05,4,2,23.1
2020-06-06,2,4,19.4
2020-06-07,4,2,17.7
2020-06-08,7,0,15.2
2020-06-09,7,2,13.5
2020-06-10,8,2,15.1
2020-06-11,4,1,15.1
2020-06-12,5,3,15.6
2020-06-13,6,7,17.3
2020-06-14,2,4,16.4
2020-06-15,2,7,14.3
2020-06-16,5,2,13.4
2020-06-17,7,1,13.1
2020-06-18,4,0,13.1
2020-06-19,3,1,12.2
2020-06-20,3,6,10.9
2020-06-21,0,1,10.1
2020-06-22,3,2,10.6
