date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.8
2020-03-15,0,0,0.8
2020-03-16,0,0,0.8
2020-03-17,0,0,0.8
2020-03-18,0,0,0.8
2020-03-19,0,0,0.8
2020-03-20,0,0,0.8
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,0,0,0.0
2020-03-24,1,0,0.9
2020-03-25,1,0,1.7
2020-03-26,0,0,1.7
2020-03-27,3,0,4.3
2020-03-28,1,0,5.2
2020-03-29,1,0,6.0
2020-03-30,0,0,6.0
2020-03-31,0,0,5.1
2020-04-01,2,0,6.1
2020-04-02,1,0,6.9
2020-04-03,0,0,4.3
2020-04-04,0,0,3.4
2020-04-05,2,0,4.3
2020-04-06,2,0,6.1
2020-04-07,0,0,6.1
2020-04-08,1,0,5.1
2020-04-09,1,0,5.2
2020-04-10,1,0,6.0
2020-04-11,4,0,9.5
2020-04-12,2,0,9.5
2020-04-13,1,0,8.6
2020-04-14,0,0,8.6
2020-04-15,0,0,7.8
2020-04-16,4,0,10.3
2020-04-17,4,0,12.9
2020-04-18,2,0,11.2
2020-04-19,0,0,9.5
2020-04-20,0,0,8.6
2020-04-21,0,0,8.6
2020-04-22,4,0,12.0
2020-04-23,1,0,9.5
2020-04-24,1,4,6.9
2020-04-25,1,0,6.0
2020-04-26,2,0,7.7
2020-04-27,2,0,9.4
2020-04-28,2,0,11.1
2020-04-29,1,0,8.6
2020-04-30,1,1,8.6
2020-05-01,3,3,10.3
2020-05-02,4,0,12.9
2020-05-03,0,0,11.2
2020-05-04,1,1,10.3
2020-05-05,1,1,9.5
2020-05-06,0,0,8.6
2020-05-07,2,2,9.4
2020-05-08,0,0,6.9
2020-05-09,1,2,4.3
2020-05-10,5,0,8.6
2020-05-11,6,1,12.9
2020-05-12,8,5,18.9
2020-05-13,7,1,24.9
2020-05-14,1,0,24.1
2020-05-15,2,0,25.8
2020-05-16,0,2,24.9
2020-05-17,1,1,21.5
2020-05-18,1,0,17.2
2020-05-19,0,1,10.3
2020-05-20,4,0,7.8
2020-05-21,0,0,6.9
2020-05-22,1,1,6.0
2020-05-23,0,0,6.0
2020-05-24,0,0,5.1
2020-05-25,1,0,5.2
2020-05-26,1,0,6.1
2020-05-27,1,0,3.4
2020-05-28,5,0,7.7
2020-05-29,7,0,12.9
2020-05-30,0,0,12.9
2020-05-31,0,0,12.9
2020-06-01,1,0,12.9
2020-06-02,1,0,12.9
2020-06-03,1,0,12.9
2020-06-04,0,1,8.6
2020-06-05,0,1,2.6
2020-06-06,0,0,2.6
2020-06-07,0,0,2.6
2020-06-08,0,0,1.7
2020-06-09,1,0,1.7
2020-06-10,0,0,0.9
2020-06-11,0,0,0.9
2020-06-12,0,0,0.9
2020-06-13,0,0,0.9
2020-06-14,0,0,0.9
2020-06-15,0,0,0.9
2020-06-16,0,0,0.0
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,0,1,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,1,0,0.8
2020-06-26,0,1,0.8
2020-06-27,0,0,0.8
2020-06-28,0,0,0.8
2020-06-29,0,0,0.8
2020-06-30,1,0,1.7
2020-07-01,1,54,2.6
2020-07-02,0,0,1.8
2020-07-03,0,0,1.8
2020-07-04,0,0,1.8
2020-07-05,0,0,1.8
2020-07-06,1,1,2.6
2020-07-07,0,1,1.7
2020-07-08,0,0,0.8
2020-07-09,0,0,0.8
2020-07-10,0,0,0.8
2020-07-11,0,0,0.8
2020-07-12,1,0,1.7
2020-07-13,1,0,1.7
2020-07-14,0,0,1.7
2020-07-15,0,0,1.7
2020-07-16,1,0,2.6
2020-07-17,0,0,2.6
2020-07-18,0,1,2.6
2020-07-19,0,1,1.7
2020-07-20,1,0,1.8
2020-07-21,0,0,1.8
2020-07-22,1,1,2.6
2020-07-23,0,0,1.7
2020-07-24,0,0,1.7
2020-07-25,0,1,1.7
2020-07-26,0,0,1.7
2020-07-27,0,0,0.8
2020-07-28,3,0,3.4
2020-07-29,1,0,3.5
2020-07-30,2,3,5.2
2020-07-31,0,1,5.2
2020-08-01,0,0,5.2
2020-08-02,0,0,5.2
2020-08-03,0,1,5.2
2020-08-04,1,0,3.4
2020-08-05,2,0,4.3
2020-08-06,0,2,2.6
2020-08-07,1,2,3.4
2020-08-08,0,0,3.4
2020-08-09,0,1,3.4
2020-08-10,1,0,4.3
2020-08-11,0,0,3.5
2020-08-12,2,0,3.4
2020-08-13,0,0,3.4
2020-08-14,1,3,3.5
2020-08-15,1,0,4.3
2020-08-16,1,1,5.2
2020-08-17,0,1,4.3
2020-08-18,2,1,6.0
2020-08-19,2,0,6.0
2020-08-20,0,2,6.0
2020-08-21,2,1,6.8
2020-08-22,0,2,6.0
2020-08-23,3,1,7.7
2020-08-24,0,1,7.7
2020-08-25,1,3,6.9
2020-08-26,1,0,6.0
2020-08-27,2,1,7.7
2020-08-28,0,1,6.0
2020-08-29,1,0,6.9
2020-08-30,1,2,5.2
2020-08-31,0,1,5.2
2020-09-01,3,1,6.8
2020-09-02,4,0,9.5
2020-09-03,3,0,10.4
2020-09-04,5,3,14.7
2020-09-05,0,2,13.8
2020-09-06,0,1,12.9
2020-09-07,4,2,16.3
2020-09-08,1,2,14.7
2020-09-09,1,2,12.0
2020-09-10,1,3,10.3
2020-09-11,0,3,6.0
2020-09-12,3,3,8.6
2020-09-13,2,0,10.3
2020-09-14,1,2,7.7
2020-09-15,6,2,12.0
2020-09-16,0,4,11.2
2020-09-17,0,0,10.3
2020-09-18,6,3,15.5
2020-09-19,1,4,13.7
2020-09-20,1,3,12.9
2020-09-21,6,0,17.2
2020-09-22,4,0,15.5
2020-09-23,3,7,18.1
2020-09-24,3,4,20.6
2020-09-25,0,2,15.4
2020-09-26,3,2,17.2
2020-09-27,2,2,18.0
2020-09-28,5,0,17.2
2020-09-29,1,2,14.6
2020-09-30,1,1,12.9
2020-10-01,5,5,14.7
2020-10-02,3,0,17.2
2020-10-03,5,11,18.9
2020-10-04,2,11,19.0
2020-10-05,8,3,21.5
2020-10-06,2,6,22.4
2020-10-07,4,6,24.9
2020-10-08,8,7,27.5
2020-10-09,5,6,29.3
2020-10-10,5,6,29.3
2020-10-11,4,3,30.9
2020-10-12,5,5,28.4
2020-10-13,8,10,33.5
2020-10-14,10,7,38.7
2020-10-15,7,5,37.8
2020-10-16,3,9,36.1
2020-10-17,3,9,34.4
2020-10-18,4,7,34.4
2020-10-19,9,9,37.9
2020-10-20,3,3,33.5
2020-10-21,7,17,31.0
2020-10-22,8,7,31.8
2020-10-23,9,8,37.0
2020-10-24,4,6,37.8
2020-10-25,7,11,40.4
2020-10-26,9,6,40.4
2020-10-27,10,5,46.5
2020-10-28,11,14,49.8
2020-10-29,10,5,51.6
2020-10-30,14,17,55.9
2020-10-31,9,12,60.2
2020-11-01,14,9,66.3
2020-11-02,24,13,79.1
2020-11-03,9,21,78.2
2020-11-04,17,24,83.4
2020-11-05,4,11,78.3
2020-11-06,10,18,74.8
2020-11-07,14,8,79.1
2020-11-08,22,4,85.9
2020-11-09,18,9,80.8
2020-11-10,24,9,93.8
2020-11-11,16,10,92.9
2020-11-12,18,31,104.9
2020-11-13,19,19,112.6
2020-11-14,10,38,109.2
2020-11-15,14,22,102.4
2020-11-16,16,0,100.6
2020-11-17,33,16,108.3
2020-11-18,18,13,110.1
2020-11-19,21,25,112.7
2020-11-20,15,22,109.2
2020-11-21,14,19,112.7
2020-11-22,17,12,115.2
2020-11-23,40,21,135.9
2020-11-24,15,19,120.4
2020-11-25,17,16,119.5
2020-11-26,14,42,113.5
2020-11-27,12,6,111.0
2020-11-28,5,22,103.2
2020-11-29,13,11,99.8
2020-11-30,18,8,80.8
2020-12-01,9,11,75.7
2020-12-02,19,19,77.4
2020-12-03,10,9,73.9
2020-12-04,8,8,70.5
2020-12-05,9,17,73.9
2020-12-06,11,10,72.2
2020-12-07,23,17,76.6
2020-12-08,19,6,85.1
2020-12-09,20,14,86.0
2020-12-10,21,21,95.5
2020-12-11,31,17,115.2
2020-12-12,17,22,122.1
2020-12-13,13,22,123.8
2020-12-14,37,35,135.8
2020-12-15,23,15,139.3
2020-12-16,20,23,139.3
2020-12-17,26,33,143.6
2020-12-18,32,17,144.5
2020-12-19,15,12,142.8
2020-12-20,25,13,153.1
2020-12-21,48,37,162.6
2020-12-22,49,39,184.9
2020-12-23,28,18,191.8
2020-12-24,31,34,196.0
2020-12-25,9,48,176.3
2020-12-26,28,24,187.5
2020-12-27,52,30,210.7
2020-12-28,39,40,202.9
2020-12-29,59,67,211.6
2020-12-30,50,27,230.4
2020-12-31,42,41,240.0
2021-01-01,35,16,262.3
2021-01-02,31,67,264.8
2021-01-03,33,28,248.5
2021-01-04,73,47,277.8
2021-01-05,54,34,273.4
2021-01-06,48,50,271.8
2021-01-07,39,54,269.1
2021-01-08,48,69,280.3
2021-01-09,35,31,283.8
2021-01-10,19,56,271.7
2021-01-11,61,36,261.4
2021-01-12,49,31,257.1
2021-01-13,37,32,247.6
2021-01-14,67,69,271.8
2021-01-15,57,40,279.5
2021-01-16,28,48,273.5
2021-01-17,29,46,282.1
2021-01-18,67,56,287.2
2021-01-19,62,44,298.4
2021-01-20,35,49,296.7
2021-01-21,32,48,266.5
2021-01-22,40,50,251.9
2021-01-23,23,36,247.6
2021-01-24,12,41,233.0
2021-01-25,45,35,214.1
2021-01-26,18,18,176.3
2021-01-27,33,23,174.6
2021-01-28,21,40,165.1
2021-01-29,29,26,155.7
2021-01-30,15,30,148.8
2021-01-31,13,22,149.7
2021-02-01,28,18,135.0
2021-02-02,15,10,132.4
2021-02-03,21,21,122.1
2021-02-04,14,28,116.1
2021-02-05,11,11,100.6
2021-02-06,6,17,92.9
2021-02-07,16,17,95.4
2021-02-08,19,9,87.8
2021-02-09,12,24,85.2
2021-02-10,16,3,80.8
2021-02-11,12,13,79.2
2021-02-12,7,9,75.7
2021-02-13,4,18,73.9
2021-02-14,7,8,66.2
2021-02-15,16,8,63.6
2021-02-16,8,5,60.2
2021-02-17,8,10,53.4
2021-02-18,15,13,55.9
2021-02-19,8,4,56.7
2021-02-20,13,13,64.5
2021-02-21,13,12,69.7
2021-02-22,10,16,64.5
2021-02-23,6,9,62.7
2021-02-24,11,10,65.3
2021-02-25,8,11,59.3
2021-02-26,5,11,56.8
2021-02-27,6,12,50.7
2021-02-28,5,3,43.8
2021-03-01,11,6,44.7
2021-03-02,6,6,44.8
2021-03-03,8,11,42.1
2021-03-04,5,8,39.5
2021-03-05,13,5,46.4
2021-03-06,9,4,49.1
2021-03-07,3,13,47.3
2021-03-08,14,12,49.9
2021-03-09,8,6,51.6
2021-03-10,4,1,48.2
2021-03-11,6,18,49.1
2021-03-12,1,4,38.7
