date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,2,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,1.1
2020-03-13,0,0,1.1
2020-03-14,0,0,1.1
2020-03-15,0,0,1.1
2020-03-16,0,0,1.1
2020-03-17,1,0,2.1
2020-03-18,0,0,2.1
2020-03-19,1,0,2.1
2020-03-20,1,0,3.1
2020-03-21,1,0,4.2
2020-03-22,2,0,6.3
2020-03-23,3,0,9.4
2020-03-24,3,0,11.6
2020-03-25,2,0,13.7
2020-03-26,1,0,13.6
2020-03-27,5,0,17.9
2020-03-28,5,0,22.0
2020-03-29,2,0,22.0
2020-03-30,6,0,25.3
2020-03-31,5,0,27.3
2020-04-01,11,0,36.8
2020-04-02,5,0,41.0
2020-04-03,2,0,37.8
2020-04-04,7,0,40.0
2020-04-05,2,0,40.0
2020-04-06,3,0,36.8
2020-04-07,3,0,34.7
2020-04-08,2,0,25.2
2020-04-09,3,0,23.2
2020-04-10,5,0,26.3
2020-04-11,1,0,20.0
2020-04-12,1,0,18.9
2020-04-13,3,0,18.9
2020-04-14,2,0,17.9
2020-04-15,1,0,16.8
2020-04-16,2,0,15.7
2020-04-17,3,0,13.7
2020-04-18,2,0,14.7
2020-04-19,6,0,20.0
2020-04-20,3,0,20.0
2020-04-21,3,0,21.0
2020-04-22,5,6,25.3
2020-04-23,5,1,28.4
2020-04-24,4,5,29.4
2020-04-25,4,4,31.5
2020-04-26,9,3,34.7
2020-04-27,6,0,37.8
2020-04-28,3,6,37.9
2020-04-29,17,1,50.4
2020-04-30,8,2,53.7
2020-05-01,0,4,49.5
2020-05-02,1,5,46.3
2020-05-03,3,1,40.0
2020-05-04,4,0,37.9
2020-05-05,2,2,36.8
2020-05-06,4,0,23.2
2020-05-07,5,3,19.9
2020-05-08,0,3,19.9
2020-05-09,5,3,24.2
2020-05-10,4,1,25.2
2020-05-11,4,4,25.2
2020-05-12,7,3,30.5
2020-05-13,7,2,33.6
2020-05-14,4,3,32.6
2020-05-15,6,3,38.9
2020-05-16,4,1,37.8
2020-05-17,2,6,35.7
2020-05-18,6,1,37.9
2020-05-19,5,1,35.7
2020-05-20,5,3,33.7
2020-05-21,3,2,32.6
2020-05-22,10,2,36.8
2020-05-23,5,3,37.9
2020-05-24,2,3,37.9
2020-05-25,3,1,34.7
2020-05-26,2,2,31.6
2020-05-27,6,2,32.6
2020-05-28,3,1,32.6
2020-05-29,5,3,27.4
2020-05-30,5,3,27.3
2020-05-31,3,1,28.4
2020-06-01,5,2,30.5
2020-06-02,1,1,29.4
2020-06-03,16,0,39.9
2020-06-04,2,3,38.9
2020-06-05,5,2,38.9
2020-06-06,2,1,35.8
2020-06-07,0,1,32.6
2020-06-08,3,1,30.4
2020-06-09,0,5,29.4
2020-06-10,2,0,14.7
2020-06-11,2,0,14.7
2020-06-12,1,1,10.5
2020-06-13,1,1,9.5
2020-06-14,0,0,9.5
2020-06-15,1,0,7.4
2020-06-16,1,0,8.5
2020-06-17,2,0,8.5
2020-06-18,2,0,8.5
2020-06-19,5,1,12.6
2020-06-20,0,3,11.5
2020-06-21,0,0,11.5
2020-06-22,2,0,12.6
2020-06-23,2,0,13.6
2020-06-24,2,0,13.6
2020-06-25,2,0,13.6
2020-06-26,2,0,10.5
2020-06-27,0,0,10.5
2020-06-28,2,1,12.6
2020-06-29,0,0,10.5
2020-06-30,3,0,11.6
2020-07-01,0,142,9.5
2020-07-02,0,2,7.4
2020-07-03,1,1,6.3
2020-07-04,2,0,8.4
2020-07-05,0,1,6.3
2020-07-06,7,1,13.7
2020-07-07,2,2,12.6
2020-07-08,1,6,13.7
2020-07-09,3,1,16.8
2020-07-10,1,1,16.9
2020-07-11,1,2,15.8
2020-07-12,2,2,17.9
2020-07-13,0,1,10.5
2020-07-14,0,0,8.4
2020-07-15,3,1,10.5
2020-07-16,1,2,8.4
2020-07-17,3,1,10.5
2020-07-18,1,3,10.5
2020-07-19,1,1,9.5
2020-07-20,2,1,11.6
2020-07-21,0,3,11.6
2020-07-22,0,0,8.4
2020-07-23,4,0,11.6
2020-07-24,0,0,8.4
2020-07-25,0,1,7.4
2020-07-26,0,1,6.3
2020-07-27,2,0,6.3
2020-07-28,1,0,7.3
2020-07-29,3,1,10.5
2020-07-30,5,2,11.6
2020-07-31,1,4,12.6
2020-08-01,1,4,13.7
2020-08-02,0,2,13.7
2020-08-03,7,2,18.9
2020-08-04,4,1,22.1
2020-08-05,0,0,18.9
2020-08-06,0,4,13.6
2020-08-07,0,3,12.6
2020-08-08,0,1,11.5
2020-08-09,0,3,11.5
2020-08-10,1,0,5.3
2020-08-11,1,0,2.1
2020-08-12,1,0,3.2
2020-08-13,3,0,6.3
2020-08-14,4,3,10.5
2020-08-15,0,0,10.5
2020-08-16,0,4,10.5
2020-08-17,1,2,10.5
2020-08-18,0,1,9.5
2020-08-19,1,1,9.4
2020-08-20,2,0,8.5
2020-08-21,2,1,6.4
2020-08-22,2,2,8.5
2020-08-23,0,1,8.5
2020-08-24,1,2,8.4
2020-08-25,3,0,11.6
2020-08-26,3,3,13.7
2020-08-27,1,3,12.6
2020-08-28,2,1,12.6
2020-08-29,0,0,10.5
2020-08-30,2,2,12.6
2020-08-31,3,2,14.7
2020-09-01,6,2,17.8
2020-09-02,3,0,17.9
2020-09-03,4,4,21.0
2020-09-04,4,1,23.1
2020-09-05,1,2,24.2
2020-09-06,1,3,23.1
2020-09-07,1,5,21.1
2020-09-08,5,5,20.0
2020-09-09,3,0,20.0
2020-09-10,3,1,18.9
2020-09-11,3,2,17.9
2020-09-12,1,8,17.8
2020-09-13,0,4,16.8
2020-09-14,3,1,18.9
2020-09-15,2,2,15.8
2020-09-16,2,0,14.7
2020-09-17,2,0,13.7
2020-09-18,3,3,13.6
2020-09-19,0,0,12.6
2020-09-20,1,3,13.7
2020-09-21,1,3,11.6
2020-09-22,2,3,11.6
2020-09-23,5,1,14.7
2020-09-24,1,4,13.7
2020-09-25,0,5,10.6
2020-09-26,0,2,10.6
2020-09-27,3,0,12.6
2020-09-28,7,1,18.9
2020-09-29,13,4,30.4
2020-09-30,11,3,36.8
2020-10-01,9,10,45.2
2020-10-02,7,14,52.5
2020-10-03,7,12,59.9
2020-10-04,8,13,65.2
2020-10-05,10,9,68.3
2020-10-06,7,5,62.1
2020-10-07,13,15,64.2
2020-10-08,5,12,59.9
2020-10-09,8,12,61.0
2020-10-10,3,13,56.8
2020-10-11,7,9,55.7
2020-10-12,16,6,62.1
2020-10-13,13,9,68.3
2020-10-14,11,19,66.2
2020-10-15,9,23,70.5
2020-10-16,18,5,81.0
2020-10-17,5,10,83.0
2020-10-18,4,14,80.0
2020-10-19,12,13,75.7
2020-10-20,16,18,78.9
2020-10-21,24,9,92.5
2020-10-22,14,16,97.8
2020-10-23,25,15,105.1
2020-10-24,9,22,109.4
2020-10-25,17,19,123.0
2020-10-26,21,22,132.5
2020-10-27,30,13,147.2
2020-10-28,27,23,150.4
2020-10-29,33,18,170.3
2020-10-30,20,20,165.1
2020-10-31,20,39,176.7
2020-11-01,20,27,179.8
2020-11-02,33,19,192.4
2020-11-03,33,21,195.6
2020-11-04,40,31,209.2
2020-11-05,36,25,212.4
2020-11-06,41,33,234.5
2020-11-07,19,35,233.4
2020-11-08,26,47,239.7
2020-11-09,52,31,259.7
2020-11-10,43,28,270.2
2020-11-11,28,31,257.7
2020-11-12,21,55,241.8
2020-11-13,15,36,214.5
2020-11-14,18,27,213.4
2020-11-15,16,19,203.0
2020-11-16,24,0,173.5
2020-11-17,20,17,149.3
2020-11-18,14,20,134.5
2020-11-19,11,14,124.1
2020-11-20,29,11,138.8
2020-11-21,7,17,127.3
2020-11-22,14,14,125.1
2020-11-23,22,11,123.0
2020-11-24,17,29,119.9
2020-11-25,17,20,123.1
2020-11-26,11,20,123.0
2020-11-27,47,19,142.0
2020-11-28,4,9,138.8
2020-11-29,10,12,134.6
2020-11-30,14,44,126.2
2020-12-01,6,9,114.6
2020-12-02,8,18,105.1
2020-12-03,22,5,116.8
2020-12-04,8,4,75.7
2020-12-05,8,10,79.9
2020-12-06,23,15,93.6
2020-12-07,23,10,103.0
2020-12-08,36,27,134.6
2020-12-09,10,13,136.7
2020-12-10,17,27,131.4
2020-12-11,21,10,145.1
2020-12-12,12,38,149.3
2020-12-13,25,15,151.4
2020-12-14,26,23,154.6
2020-12-15,19,25,136.7
2020-12-16,12,20,138.8
2020-12-17,39,15,161.9
2020-12-18,22,12,163.0
2020-12-19,22,19,173.5
2020-12-20,36,23,185.0
2020-12-21,37,20,196.6
2020-12-22,34,46,212.4
2020-12-23,36,29,237.6
2020-12-24,38,49,236.6
2020-12-25,7,29,220.8
2020-12-26,45,47,245.0
2020-12-27,43,7,252.4
2020-12-28,33,37,248.2
2020-12-29,76,49,292.3
2020-12-30,65,42,322.9
2020-12-31,42,47,327.0
2021-01-01,29,32,350.1
2021-01-02,51,59,356.4
2021-01-03,55,44,369.1
2021-01-04,56,38,393.3
2021-01-05,57,75,373.3
2021-01-06,64,56,372.2
2021-01-07,46,51,376.5
2021-01-08,42,47,390.1
2021-01-09,46,68,384.9
2021-01-10,37,41,365.9
2021-01-11,49,47,358.5
2021-01-12,47,62,348.0
2021-01-13,45,35,328.0
2021-01-14,47,43,329.1
2021-01-15,36,60,322.8
2021-01-16,28,40,303.9
2021-01-17,28,28,294.4
2021-01-18,46,37,291.3
2021-01-19,52,48,296.6
2021-01-20,56,47,308.1
2021-01-21,41,32,301.7
2021-01-22,43,56,309.2
2021-01-23,26,34,307.0
2021-01-24,21,55,299.7
2021-01-25,20,26,272.3
2021-01-26,51,19,271.2
2021-01-27,42,21,256.6
2021-01-28,35,41,250.3
2021-01-29,36,64,242.9
2021-01-30,24,33,240.8
2021-01-31,18,36,237.6
2021-02-01,33,22,251.3
2021-02-02,24,19,223.0
2021-02-03,37,28,217.7
2021-02-04,25,19,207.1
2021-02-05,18,35,188.2
2021-02-06,13,30,176.6
2021-02-07,21,19,179.8
2021-02-08,28,21,174.6
2021-02-09,20,15,170.3
2021-02-10,17,19,149.3
2021-02-11,32,22,156.7
2021-02-12,30,23,169.3
2021-02-13,11,30,167.2
2021-02-14,22,30,168.3
2021-02-15,23,10,162.9
2021-02-16,20,29,163.0
2021-02-17,21,21,167.2
2021-02-18,24,14,158.8
2021-02-19,22,25,150.3
2021-02-20,10,22,149.3
2021-02-21,7,18,133.5
2021-02-22,28,20,138.8
2021-02-23,17,10,135.6
2021-02-24,13,19,127.2
2021-02-25,9,20,111.5
2021-02-26,11,12,99.9
2021-02-27,6,13,95.7
2021-02-28,5,7,93.6
2021-03-01,9,9,73.6
2021-03-02,16,7,72.6
2021-03-03,6,3,65.2
2021-03-04,8,18,64.1
2021-03-05,8,5,61.0
2021-03-06,11,10,66.3
2021-03-07,6,15,67.3
2021-03-08,9,5,67.3
2021-03-09,10,9,61.0
2021-03-10,9,8,64.1
2021-03-11,18,9,74.6
2021-03-12,17,21,84.1
2021-03-13,14,18,87.2
2021-03-14,9,7,90.4
2021-03-15,17,12,98.9
2021-03-16,10,22,98.8
2021-03-17,10,7,99.9
2021-03-18,17,9,98.9
2021-03-19,12,16,93.6
2021-03-20,11,12,90.5
2021-03-21,23,15,105.2
2021-03-22,14,23,102.0
2021-03-23,9,18,100.9
2021-03-24,18,10,109.4
2021-03-25,19,11,111.4
2021-03-26,19,20,118.8
2021-03-27,4,14,111.4
2021-03-28,13,17,100.9
2021-03-29,8,9,94.6
2021-03-30,8,10,93.6
2021-03-31,8,4,83.0
2021-04-01,2,14,65.2
2021-04-02,8,4,53.7
2021-04-03,10,2,60.0
2021-04-04,5,9,51.5
2021-04-05,1,9,44.2
2021-04-06,7,3,43.1
2021-04-07,4,2,38.9
2021-04-08,4,6,41.0
2021-04-09,7,0,39.9
2021-04-10,2,4,31.5
2021-04-11,2,1,28.4
2021-04-12,5,5,32.6
2021-04-13,6,7,31.6
2021-04-14,0,2,27.4
2021-04-15,3,0,26.3
2021-04-16,1,2,20.0
2021-04-17,0,2,17.9
2021-04-18,2,1,17.9
2021-04-19,1,3,13.6
2021-04-20,4,2,11.5
2021-04-21,7,3,18.9
2021-04-22,3,2,19.0
2021-04-23,2,5,20.0
2021-04-24,1,2,21.0
2021-04-25,5,1,24.2
2021-04-26,1,7,24.2
2021-04-27,1,2,21.1
2021-04-28,4,2,17.9
2021-04-29,2,2,16.8
2021-04-30,2,4,16.8
2021-05-01,1,3,16.8
2021-05-02,2,2,13.6
2021-05-03,4,2,16.8
2021-05-04,5,3,21.0
2021-05-05,2,2,18.9
2021-05-06,2,3,18.9
2021-05-07,4,4,21.0
2021-05-08,2,2,22.1
2021-05-09,5,3,25.3
2021-05-10,5,5,26.3
2021-05-11,2,2,23.1
2021-05-12,0,5,21.0
2021-05-13,1,4,20.0
2021-05-14,1,1,16.8
2021-05-15,3,2,17.9
2021-05-16,2,1,14.7
2021-05-17,6,2,15.8
2021-05-18,2,0,15.8
2021-05-19,5,0,21.1
2021-05-20,1,5,21.0
2021-05-21,2,4,22.1
2021-05-22,4,0,23.1
2021-05-23,4,3,25.2
2021-05-24,2,5,21.0
2021-05-25,3,4,22.1
2021-05-26,2,2,18.9
2021-05-27,7,2,25.3
2021-05-28,5,6,28.4
2021-05-29,6,8,30.5
2021-05-30,4,4,30.5
2021-05-31,3,6,31.6
2021-06-01,5,2,33.6
2021-06-02,4,5,35.7
2021-06-03,3,2,31.5
2021-06-04,9,6,35.8
2021-06-05,2,6,31.6
2021-06-06,5,3,32.6
2021-06-07,4,7,33.6
2021-06-08,2,4,30.5
2021-06-09,5,1,31.6
2021-06-10,1,5,29.4
2021-06-11,1,1,21.0
2021-06-12,11,4,30.5
2021-06-13,4,3,29.5
2021-06-14,10,8,35.8
2021-06-15,6,8,40.0
2021-06-16,8,1,43.1
2021-06-17,9,8,51.6
2021-06-18,11,11,62.0
2021-06-19,6,15,56.7
2021-06-20,5,4,57.8
2021-06-21,9,9,56.8
2021-06-22,17,4,68.3
2021-06-23,11,17,71.5
2021-06-24,13,8,75.7
2021-06-25,15,14,79.9
2021-06-26,10,15,84.2
2021-06-27,11,8,90.4
2021-06-28,14,14,95.6
2021-06-29,14,9,92.6
2021-06-30,23,13,105.2
2021-07-01,19,17,111.4
2021-07-02,12,16,108.4
2021-07-03,13,21,111.4
2021-07-04,18,13,118.8
2021-07-05,20,14,125.2
2021-07-06,26,16,137.7
2021-07-07,33,30,148.2
2021-07-08,36,10,166.2
2021-07-09,29,35,184.0
2021-07-10,23,42,194.5
2021-07-11,28,25,205.1
2021-07-12,56,34,242.9
2021-07-13,67,49,286.0
2021-07-14,84,45,339.6
2021-07-15,81,84,386.9
2021-07-16,67,63,426.9
2021-07-17,63,67,469.0
2021-07-18,58,47,500.5
2021-07-19,62,37,506.8
2021-07-20,55,92,494.2
2021-07-21,49,54,457.4
2021-07-22,45,57,419.6
2021-07-23,38,43,389.0
2021-07-24,25,65,349.1
2021-07-25,38,47,328.1
2021-07-26,36,36,300.7
2021-07-27,35,37,279.7
2021-07-28,37,29,267.1
2021-07-29,38,30,259.7
2021-07-30,37,43,258.7
2021-07-31,29,40,262.9
2021-08-01,32,36,256.5
2021-08-02,32,23,252.4
2021-08-03,22,33,238.7
2021-08-04,37,36,238.7
2021-08-05,31,19,231.3
2021-08-06,21,41,214.5
2021-08-07,20,22,205.0
2021-08-08,38,25,211.4
2021-08-09,39,31,218.7
2021-08-10,37,30,234.5
2021-08-11,48,42,246.1
2021-08-12,37,37,252.4
2021-08-13,44,49,276.5
