date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,1.1
2020-03-13,0,0,1.1
2020-03-14,0,0,1.1
2020-03-15,1,0,2.1
2020-03-16,0,0,2.1
2020-03-17,0,0,2.1
2020-03-18,1,0,3.2
2020-03-19,0,0,2.1
2020-03-20,1,0,3.1
2020-03-21,1,0,4.2
2020-03-22,0,0,3.2
2020-03-23,0,0,3.2
2020-03-24,0,0,3.2
2020-03-25,2,0,4.1
2020-03-26,5,0,9.4
2020-03-27,2,0,10.4
2020-03-28,0,0,9.3
2020-03-29,0,0,9.3
2020-03-30,4,0,13.5
2020-03-31,2,0,15.6
2020-04-01,3,0,16.7
2020-04-02,0,0,11.4
2020-04-03,3,0,12.6
2020-04-04,5,0,17.8
2020-04-05,3,0,20.9
2020-04-06,5,0,21.9
2020-04-07,4,0,24.0
2020-04-08,1,0,21.9
2020-04-09,5,0,27.2
2020-04-10,5,0,29.2
2020-04-11,3,0,27.1
2020-04-12,3,0,27.1
2020-04-13,1,0,23.0
2020-04-14,4,0,23.0
2020-04-15,4,0,26.1
2020-04-16,4,0,25.0
2020-04-17,1,0,20.8
2020-04-18,5,0,23.0
2020-04-19,6,0,26.1
2020-04-20,7,0,32.3
2020-04-21,4,0,32.3
2020-04-22,10,6,38.6
2020-04-23,5,11,39.6
2020-04-24,9,2,48.0
2020-04-25,5,8,47.9
2020-04-26,10,0,52.2
2020-04-27,12,3,57.4
2020-04-28,15,6,68.8
2020-04-29,19,0,78.3
2020-04-30,8,3,81.4
2020-05-01,20,2,92.9
2020-05-02,18,3,106.5
2020-05-03,9,7,105.3
2020-05-04,12,1,105.4
2020-05-05,27,0,117.9
2020-05-06,33,1,132.5
2020-05-07,49,4,175.3
2020-05-08,20,0,175.2
2020-05-09,11,1,167.9
2020-05-10,7,0,165.9
2020-05-11,8,0,161.7
2020-05-12,43,47,178.4
2020-05-13,30,5,175.2
2020-05-14,8,0,132.5
2020-05-15,13,2,125.2
2020-05-16,8,12,122.1
2020-05-17,4,0,118.9
2020-05-18,6,0,116.8
2020-05-19,12,0,84.5
2020-05-20,7,14,60.5
2020-05-21,3,1,55.3
2020-05-22,10,3,52.2
2020-05-23,5,1,49.0
2020-05-24,0,0,44.9
2020-05-25,13,0,52.2
2020-05-26,5,0,44.9
2020-05-27,8,4,45.9
2020-05-28,7,4,50.0
2020-05-29,3,0,42.8
2020-05-30,2,1,39.6
2020-05-31,7,0,46.9
