date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,1,0,0.9
2020-03-11,1,0,1.7
2020-03-12,0,0,1.7
2020-03-13,0,0,1.7
2020-03-14,0,0,1.7
2020-03-15,0,0,1.7
2020-03-16,0,0,1.7
2020-03-17,1,0,1.7
2020-03-18,0,0,0.9
2020-03-19,0,0,0.9
2020-03-20,1,0,1.7
2020-03-21,1,0,2.6
2020-03-22,1,0,3.4
2020-03-23,4,0,6.8
2020-03-24,4,0,9.3
2020-03-25,1,0,10.1
2020-03-26,5,0,14.4
2020-03-27,8,0,20.3
2020-03-28,6,0,24.5
2020-03-29,6,0,28.8
2020-03-30,7,0,31.3
2020-03-31,4,0,31.3
2020-04-01,6,0,35.6
2020-04-02,2,0,33.0
2020-04-03,8,0,33.1
2020-04-04,5,0,32.2
2020-04-05,6,0,32.2
2020-04-06,7,0,32.2
2020-04-07,2,0,30.5
2020-04-08,1,0,26.2
2020-04-09,2,0,26.2
2020-04-10,2,0,21.1
2020-04-11,2,0,18.6
2020-04-12,1,0,14.4
2020-04-13,1,0,9.3
2020-04-14,4,0,11.0
2020-04-15,1,0,11.0
2020-04-16,3,0,11.9
2020-04-17,3,0,12.7
2020-04-18,1,0,11.9
2020-04-19,2,0,12.6
2020-04-20,3,0,14.4
2020-04-21,0,0,11.0
2020-04-22,4,5,13.6
2020-04-23,1,5,11.8
2020-04-24,3,0,11.9
2020-04-25,2,0,12.7
2020-04-26,5,1,15.3
2020-04-27,1,2,13.5
2020-04-28,0,1,13.5
2020-04-29,7,0,16.1
2020-04-30,6,1,20.3
2020-05-01,0,0,17.7
2020-05-02,0,2,16.0
2020-05-03,1,1,12.7
2020-05-04,2,0,13.6
2020-05-05,1,0,14.4
2020-05-06,0,1,8.4
2020-05-07,2,0,5.1
2020-05-08,1,0,6.0
2020-05-09,1,0,6.8
2020-05-10,4,0,9.3
2020-05-11,7,0,13.5
2020-05-12,10,4,21.2
2020-05-13,3,2,23.7
2020-05-14,1,0,22.9
2020-05-15,1,3,22.8
2020-05-16,2,1,23.7
2020-05-17,1,0,21.1
2020-05-18,2,0,16.9
2020-05-19,6,0,13.5
2020-05-20,0,0,11.0
2020-05-21,1,0,11.0
2020-05-22,0,0,10.2
2020-05-23,5,0,12.7
2020-05-24,1,0,12.7
2020-05-25,1,0,11.9
2020-05-26,2,0,8.5
2020-05-27,3,0,11.0
2020-05-28,0,4,10.1
2020-05-29,0,0,10.1
2020-05-30,0,0,5.9
2020-05-31,0,0,5.1
2020-06-01,1,0,5.1
2020-06-02,0,0,3.4
2020-06-03,0,0,0.9
2020-06-04,0,0,0.9
2020-06-05,1,0,1.7
2020-06-06,1,0,2.6
2020-06-07,0,0,2.6
2020-06-08,3,0,4.2
2020-06-09,0,1,4.2
2020-06-10,0,0,4.2
2020-06-11,0,1,4.2
2020-06-12,3,0,5.9
2020-06-13,0,0,5.0
2020-06-14,0,0,5.0
2020-06-15,0,0,2.5
2020-06-16,0,0,2.5
2020-06-17,0,0,2.5
2020-06-18,0,0,2.5
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,1,0,0.9
2020-06-25,0,0,0.9
2020-06-26,0,0,0.9
2020-06-27,1,0,1.7
2020-06-28,0,0,1.7
2020-06-29,0,0,1.7
2020-06-30,0,1,1.7
2020-07-01,0,76,0.8
2020-07-02,0,0,0.8
2020-07-03,0,0,0.8
2020-07-04,0,0,0.0
2020-07-05,1,0,0.9
2020-07-06,5,0,5.1
2020-07-07,0,1,5.1
2020-07-08,0,1,5.1
2020-07-09,0,3,5.1
2020-07-10,0,0,5.1
2020-07-11,0,0,5.1
2020-07-12,0,0,4.2
2020-07-13,0,0,0.0
2020-07-14,1,0,0.9
2020-07-15,0,0,0.9
2020-07-16,1,1,1.7
2020-07-17,0,1,1.7
2020-07-18,0,0,1.7
2020-07-19,0,0,1.7
2020-07-20,1,0,2.6
2020-07-21,0,0,1.7
2020-07-22,1,0,2.5
2020-07-23,0,0,1.7
2020-07-24,0,2,1.7
2020-07-25,0,0,1.7
2020-07-26,0,1,1.7
2020-07-27,0,0,0.8
2020-07-28,0,0,0.8
2020-07-29,0,0,0.0
2020-07-30,1,0,0.8
2020-07-31,0,0,0.8
2020-08-01,0,0,0.8
2020-08-02,1,1,1.7
2020-08-03,0,0,1.7
2020-08-04,0,1,1.7
2020-08-05,0,0,1.7
2020-08-06,0,0,0.9
2020-08-07,0,0,0.9
2020-08-08,0,0,0.9
2020-08-09,1,0,0.8
2020-08-10,1,0,1.7
2020-08-11,0,1,1.7
2020-08-12,3,0,4.2
2020-08-13,0,0,4.2
2020-08-14,1,1,5.1
2020-08-15,0,1,5.1
2020-08-16,0,0,4.3
2020-08-17,1,2,4.2
2020-08-18,0,1,4.2
2020-08-19,0,0,1.7
2020-08-20,0,1,1.7
2020-08-21,1,0,1.7
2020-08-22,0,1,1.7
2020-08-23,0,0,1.7
2020-08-24,1,0,1.7
2020-08-25,1,0,2.6
2020-08-26,0,0,2.6
2020-08-27,2,1,4.2
2020-08-28,1,1,4.2
2020-08-29,1,1,5.0
2020-08-30,0,0,5.0
2020-08-31,1,2,5.1
2020-09-01,1,0,5.0
2020-09-02,3,1,7.6
2020-09-03,10,1,14.4
2020-09-04,3,3,16.1
2020-09-05,3,2,17.8
2020-09-06,4,5,21.2
2020-09-07,3,8,22.8
2020-09-08,8,2,28.8
2020-09-09,4,4,29.6
2020-09-10,3,5,23.7
2020-09-11,3,5,23.7
2020-09-12,2,3,22.9
2020-09-13,2,8,21.2
2020-09-14,5,4,22.9
2020-09-15,2,3,17.8
2020-09-16,1,6,15.2
2020-09-17,3,1,15.3
2020-09-18,4,4,16.1
2020-09-19,8,1,21.1
2020-09-20,3,0,22.0
2020-09-21,5,4,22.0
2020-09-22,4,1,23.7
