date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-28,1,0,0.0
2020-02-29,0,0,0.0
2020-03-01,1,0,0.5
2020-03-02,0,0,0.5
2020-03-03,0,0,0.5
2020-03-04,0,0,0.5
2020-03-05,0,0,0.5
2020-03-06,0,0,0.5
2020-03-07,1,0,1.1
2020-03-08,0,0,0.6
2020-03-09,0,0,0.6
2020-03-10,0,0,0.6
2020-03-11,0,0,0.6
2020-03-12,0,0,0.6
2020-03-13,3,0,2.1
2020-03-14,0,0,1.5
2020-03-15,0,0,1.5
2020-03-16,1,0,2.1
2020-03-17,2,0,3.1
2020-03-18,2,0,4.2
2020-03-19,2,0,5.2
2020-03-20,1,0,4.2
2020-03-21,2,0,5.3
2020-03-22,7,0,9.0
2020-03-23,3,0,9.9
2020-03-24,8,0,13.1
2020-03-25,3,0,13.6
2020-03-26,14,0,19.9
2020-03-27,9,0,24.2
2020-03-28,10,0,28.3
2020-03-29,7,0,28.3
2020-03-30,16,0,35.2
2020-03-31,6,0,34.1
2020-04-01,16,0,40.9
2020-04-02,8,0,37.8
2020-04-03,18,0,42.4
2020-04-04,11,0,43.0
2020-04-05,17,0,48.2
2020-04-06,24,0,52.4
2020-04-07,28,0,64.0
2020-04-08,24,0,68.2
2020-04-09,23,0,76.0
2020-04-10,20,0,77.1
2020-04-11,26,0,84.9
2020-04-12,17,0,85.0
2020-04-13,21,0,83.4
2020-04-14,11,0,74.4
2020-04-15,31,0,78.1
2020-04-16,26,0,79.7
2020-04-17,31,10,85.5
2020-04-18,37,23,91.3
2020-04-19,15,14,90.2
2020-04-20,24,26,91.7
2020-04-21,12,13,92.3
2020-04-22,19,6,86.0
2020-04-23,25,15,85.5
2020-04-24,27,13,83.4
2020-04-25,11,14,69.7
2020-04-26,9,11,66.5
2020-04-27,21,18,65.1
2020-04-28,26,4,72.4
2020-04-29,20,5,72.9
2020-04-30,16,23,68.2
2020-05-01,12,26,60.3
2020-05-02,7,19,58.2
2020-05-03,12,47,59.8
2020-05-04,10,4,54.0
2020-05-05,5,24,43.0
2020-05-06,18,13,41.9
2020-05-07,8,38,37.7
2020-05-08,9,4,36.1
2020-05-09,8,1,36.7
2020-05-10,9,6,35.2
2020-05-11,8,3,34.1
2020-05-12,12,7,37.7
2020-05-13,14,2,35.7
2020-05-14,15,2,39.4
2020-05-15,14,2,42.0
2020-05-16,11,5,43.6
2020-05-17,8,4,43.0
2020-05-18,17,5,47.7
2020-05-19,26,6,55.1
2020-05-20,43,12,70.3
2020-05-21,28,6,77.0
2020-05-22,20,18,80.2
2020-05-23,3,6,76.0
2020-05-24,9,8,76.5
2020-05-25,7,7,71.3
2020-05-26,11,3,63.5
2020-05-27,13,6,47.7
2020-05-28,8,4,37.3
2020-05-29,6,4,29.9
2020-05-30,11,4,34.1
2020-05-31,9,4,34.1
2020-06-01,9,4,35.1
2020-06-02,17,3,38.2
2020-06-03,6,7,34.6
2020-06-04,11,3,36.1
2020-06-05,9,0,37.8
2020-06-06,7,4,35.6
2020-06-07,4,4,33.0
2020-06-08,9,7,33.0
2020-06-09,4,1,26.2
2020-06-10,6,0,26.2
2020-06-11,8,3,24.7
2020-06-12,8,2,24.1
2020-06-13,9,0,25.2
2020-06-14,4,5,25.2
2020-06-15,8,3,24.7
2020-06-16,7,3,26.3
2020-06-17,3,0,24.6
2020-06-18,1,3,21.0
2020-06-19,2,0,17.8
2020-06-20,3,0,14.7
2020-06-21,0,2,12.6
2020-06-22,3,4,10.0
2020-06-23,3,0,7.8
2020-06-24,2,0,7.4
2020-06-25,1,0,7.3
2020-06-26,3,2,7.9
2020-06-27,2,0,7.3
2020-06-28,0,0,7.3
2020-06-29,5,1,8.3
2020-06-30,0,0,6.8
2020-07-01,5,442,8.4
2020-07-02,3,1,9.4
2020-07-03,5,2,10.5
2020-07-04,2,5,10.5
2020-07-05,1,7,11.0
2020-07-06,2,0,9.5
2020-07-07,1,2,10.0
2020-07-08,2,1,8.4
2020-07-09,1,2,7.4
2020-07-10,0,1,4.7
2020-07-11,0,3,3.7
2020-07-12,1,0,3.7
2020-07-13,1,2,3.1
2020-07-14,6,0,5.8
2020-07-15,0,1,4.7
2020-07-16,8,4,8.4
2020-07-17,1,3,8.9
2020-07-18,0,2,8.9
2020-07-19,3,5,10.0
2020-07-20,4,1,11.6
2020-07-21,1,2,8.9
2020-07-22,3,4,10.5
2020-07-23,2,2,7.3
2020-07-24,4,2,8.9
2020-07-25,4,2,11.0
2020-07-26,10,8,14.7
2020-07-27,7,0,16.2
2020-07-28,0,7,15.7
2020-07-29,4,5,16.2
2020-07-30,4,7,17.3
2020-07-31,10,0,20.5
2020-08-01,4,1,20.5
2020-08-02,6,14,18.3
2020-08-03,20,3,25.2
2020-08-04,10,6,30.4
2020-08-05,5,11,31.0
2020-08-06,5,11,31.5
2020-08-07,3,10,27.8
2020-08-08,4,3,27.8
2020-08-09,3,7,26.2
2020-08-10,13,3,22.5
2020-08-11,16,6,25.7
2020-08-12,12,6,29.3
2020-08-13,7,0,30.4
2020-08-14,8,24,33.0
2020-08-15,6,12,34.0
2020-08-16,4,9,34.6
2020-08-17,14,2,35.2
2020-08-18,10,11,32.0
2020-08-19,15,9,33.6
2020-08-20,8,7,34.1
2020-08-21,15,10,37.7
2020-08-22,8,8,38.8
2020-08-23,3,15,38.3
2020-08-24,8,7,35.1
2020-08-25,4,8,32.0
2020-08-26,6,6,27.2
2020-08-27,14,8,30.4
2020-08-28,8,9,26.8
2020-08-29,8,8,26.8
2020-08-30,6,15,28.3
2020-08-31,7,7,27.8
2020-09-01,15,6,33.6
2020-09-02,25,5,43.6
2020-09-03,22,12,47.7
2020-09-04,29,17,58.7
2020-09-05,16,9,62.9
2020-09-06,16,31,68.2
2020-09-07,19,16,74.5
2020-09-08,32,19,83.3
2020-09-09,30,16,86.0
