date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,0.7
2020-03-07,0,0,0.7
2020-03-08,0,0,0.7
2020-03-09,0,0,0.7
2020-03-10,1,0,1.3
2020-03-11,1,0,2
2020-03-12,2,0,3.4
2020-03-13,1,0,3.3
2020-03-14,1,0,4.0
2020-03-15,2,0,5.4
2020-03-16,1,0,6.0
2020-03-17,1,0,6.1
2020-03-18,5,0,8.8
2020-03-19,1,0,8.0
2020-03-20,4,0,10.1
2020-03-21,5,0,12.8
2020-03-22,7,0,16.1
2020-03-23,14,0,24.9
2020-03-24,9,0,30.2
2020-03-25,14,0,36.3
2020-03-26,9,0,41.7
2020-03-27,8,0,44.4
2020-03-28,8,0,46.4
2020-03-29,7,0,46.4
2020-03-30,14,0,46.4
2020-03-31,18,0,52.5
2020-04-01,13,0,51.7
2020-04-02,15,0,55.8
2020-04-03,17,0,61.8
2020-04-04,8,0,61.8
2020-04-05,15,0,67.2
2020-04-06,15,0,67.9
2020-04-07,18,0,67.9
2020-04-08,21,0,73.3
2020-04-09,19,0,76.0
2020-04-10,17,0,76.0
2020-04-11,12,0,78.7
2020-04-12,7,0,73.3
2020-04-13,19,0,76.0
2020-04-14,14,0,73.3
2020-04-15,28,0,78.0
2020-04-16,18,0,77.3
2020-04-17,16,0,76.6
2020-04-18,19,0,81.3
2020-04-19,13,0,85.4
2020-04-20,18,0,84.7
2020-04-21,11,0,82.7
2020-04-22,14,4,73.3
2020-04-23,13,23,69.9
2020-04-24,14,9,68.6
2020-04-25,12,9,63.9
2020-04-26,10,11,61.8
2020-04-27,6,4,53.7
2020-04-28,21,6,60.5
2020-04-29,16,1,61.8
2020-04-30,8,4,58.5
2020-05-01,11,0,56.5
2020-05-02,8,13,53.8
2020-05-03,9,4,53.1
2020-05-04,4,0,51.8
2020-05-05,15,3,47.7
2020-05-06,8,6,42.4
2020-05-07,7,1,41.7
2020-05-08,6,5,38.3
2020-05-09,8,3,38.3
2020-05-10,4,0,35.0
2020-05-11,4,1,35.0
2020-05-12,3,0,26.9
2020-05-13,5,2,24.8
2020-05-14,2,0,21.5
2020-05-15,11,0,24.9
2020-05-16,3,0,21.5
2020-05-17,5,0,22.2
2020-05-18,6,0,23.5
2020-05-19,8,3,26.9
2020-05-20,9,1,29.6
2020-05-21,0,2,28.2
2020-05-22,1,7,21.5
2020-05-23,2,4,20.8
2020-05-24,1,0,18.1
2020-05-25,0,1,14.1
2020-05-26,1,0,9.4
2020-05-27,5,1,6.7
2020-05-28,5,0,10.1
2020-05-29,0,0,9.4
2020-05-30,4,0,10.8
2020-05-31,1,0,10.8
2020-06-01,0,0,10.8
2020-06-02,0,1,10.1
2020-06-03,0,1,6.8
2020-06-04,1,0,4.0
2020-06-05,0,0,4.0
2020-06-06,3,0,3.4
2020-06-07,0,1,2.7
2020-06-08,2,0,4.0
2020-06-09,1,0,4.7
2020-06-10,5,1,8.0
2020-06-11,1,1,8.1
2020-06-12,0,1,8.1
2020-06-13,3,1,8.0
2020-06-14,0,2,8.0
2020-06-15,2,1,8.1
2020-06-16,2,0,8.7
2020-06-17,1,1,6.1
2020-06-18,2,2,6.7
2020-06-19,1,0,7.4
2020-06-20,0,1,5.4
2020-06-21,0,0,5.4
2020-06-22,0,2,4.0
