date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.5
2020-03-15,0,0,0.5
2020-03-16,0,0,0.5
2020-03-17,1,0,1.0
2020-03-18,0,0,1.0
2020-03-19,1,0,1.5
2020-03-20,2,0,2.5
2020-03-21,1,0,2.5
2020-03-22,1,0,3.1
2020-03-23,4,0,5.1
2020-03-24,4,0,6.6
2020-03-25,5,0,9.1
2020-03-26,6,0,11.7
2020-03-27,4,0,12.7
2020-03-28,2,0,13.2
2020-03-29,7,0,16.2
2020-03-30,6,0,17.2
2020-03-31,7,0,18.8
2020-04-01,6,0,19.3
2020-04-02,6,0,19.3
2020-04-03,4,0,19.3
2020-04-04,8,0,22.3
2020-04-05,4,0,20.8
2020-04-06,10,0,22.8
2020-04-07,3,0,20.8
2020-04-08,6,0,20.8
2020-04-09,3,0,19.2
2020-04-10,4,0,19.3
2020-04-11,14,0,22.4
2020-04-12,2,0,21.3
2020-04-13,21,0,26.9
2020-04-14,6,0,28.4
2020-04-15,8,0,29.4
2020-04-16,10,0,33.0
2020-04-17,7,0,34.4
2020-04-18,9,0,31.9
2020-04-19,9,0,35.5
2020-04-20,19,0,34.5
2020-04-21,19,0,41.0
2020-04-22,24,4,49.2
2020-04-23,23,19,55.8
2020-04-24,24,7,64.4
2020-04-25,36,19,78.1
2020-04-26,16,0,81.6
2020-04-27,30,13,87.2
2020-04-28,20,29,87.8
2020-04-29,20,2,85.7
2020-04-30,22,8,85.2
2020-05-01,19,1,82.7
2020-05-02,8,7,68.5
2020-05-03,16,17,68.5
2020-05-04,9,8,57.8
2020-05-05,18,6,56.8
2020-05-06,13,4,53.3
2020-05-07,12,8,48.1
2020-05-08,5,7,41.1
2020-05-09,3,4,38.5
2020-05-10,9,6,35.0
2020-05-11,6,1,33.5
2020-05-12,13,3,30.9
2020-05-13,7,3,27.8
2020-05-14,7,4,25.4
2020-05-15,7,0,26.3
2020-05-16,8,3,28.9
2020-05-17,8,1,28.4
2020-05-18,14,5,32.5
2020-05-19,9,0,30.4
2020-05-20,9,4,31.5
2020-05-21,8,2,31.9
2020-05-22,8,3,32.5
2020-05-23,2,5,29.4
2020-05-24,4,0,27.3
2020-05-25,1,0,20.7
2020-05-26,0,0,16.2
2020-05-27,3,3,13.2
2020-05-28,3,0,10.7
2020-05-29,0,0,6.6
2020-05-30,0,2,5.6
2020-05-31,0,2,3.6
2020-06-01,1,0,3.6
2020-06-02,3,0,5.1
2020-06-03,3,0,5.0
2020-06-04,3,0,5.1
2020-06-05,3,2,6.6
2020-06-06,1,1,7.1
2020-06-07,0,0,7.1
2020-06-08,0,0,6.6
2020-06-09,1,0,5.6
2020-06-10,2,2,5.1
2020-06-11,0,0,3.5
2020-06-12,0,0,2.0
2020-06-13,1,2,2.0
2020-06-14,1,0,2.5
2020-06-15,0,0,2.5
2020-06-16,2,0,3.0
2020-06-17,0,0,2.0
2020-06-18,1,1,2.5
2020-06-19,2,0,3.6
2020-06-20,0,0,3.1
2020-06-21,0,0,2.6
2020-06-22,0,0,2.6
2020-06-23,0,1,1.6
2020-06-24,1,0,2.1
2020-06-25,1,0,2.1
2020-06-26,2,0,2.0
2020-06-27,0,1,2.0
2020-06-28,1,0,2.5
2020-06-29,1,0,3.0
2020-06-30,2,1,4.0
2020-07-01,0,312,3.5
2020-07-02,0,0,3.0
2020-07-03,1,0,2.5
2020-07-04,2,4,3.5
2020-07-05,0,0,3.0
2020-07-06,1,0,3.0
2020-07-07,0,0,2.0
2020-07-08,0,3,2.0
2020-07-09,0,2,2.0
2020-07-10,1,0,2.1
2020-07-11,2,1,2.1
2020-07-12,1,0,2.6
2020-07-13,0,1,2.1
2020-07-14,1,0,2.6
2020-07-15,1,2,3.1
2020-07-16,0,1,3.1
2020-07-17,0,1,2.5
2020-07-18,0,0,1.5
2020-07-19,3,3,2.5
2020-07-20,3,0,4.0
2020-07-21,3,0,5.1
2020-07-22,3,0,6.1
2020-07-23,1,4,6.6
2020-07-24,1,6,7.1
2020-07-25,2,2,8.1
2020-07-26,0,1,6.6
2020-07-27,0,0,5.1
2020-07-28,1,1,4.0
2020-07-29,0,0,2.5
2020-07-30,2,6,3.0
2020-07-31,0,0,2.5
2020-08-01,0,0,1.5
2020-08-02,0,0,1.5
2020-08-03,1,0,2.0
2020-08-04,0,2,1.5
2020-08-05,1,1,2.0
2020-08-06,0,0,1.0
2020-08-07,0,1,1.0
2020-08-08,1,0,1.5
2020-08-09,0,1,1.5
2020-08-10,0,0,1.0
2020-08-11,1,1,1.6
2020-08-12,0,0,1.1
2020-08-13,3,0,2.6
2020-08-14,2,0,3.6
2020-08-15,3,0,4.6
