date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,1,0,0.6
2020-03-14,0,0,0.6
2020-03-15,0,0,0.6
2020-03-16,0,0,0.6
2020-03-17,0,0,0.6
2020-03-18,0,0,0.6
2020-03-19,0,0,0.6
2020-03-20,2,0,1.2
2020-03-21,1,0,1.8
2020-03-22,0,0,1.8
2020-03-23,1,0,2.4
2020-03-24,1,0,2.9
2020-03-25,0,0,2.9
2020-03-26,2,0,4.1
2020-03-27,1,0,3.5
2020-03-28,3,0,4.7
2020-03-29,1,0,5.3
2020-03-30,3,0,6.5
2020-03-31,3,0,7.8
2020-04-01,1,0,8.3
2020-04-02,5,0,10.1
2020-04-03,6,0,13.1
2020-04-04,3,0,13.0
2020-04-05,3,0,14.2
2020-04-06,3,0,14.2
2020-04-07,7,0,16.6
2020-04-08,3,0,17.8
2020-04-09,5,0,17.8
2020-04-10,1,0,14.8
2020-04-11,2,0,14.3
2020-04-12,5,0,15.4
2020-04-13,3,0,15.4
2020-04-14,0,0,11.2
2020-04-15,7,0,13.7
2020-04-16,5,0,13.6
2020-04-17,6,0,16.6
2020-04-18,5,0,18.4
2020-04-19,1,0,16.0
2020-04-20,5,0,17.2
2020-04-21,2,0,18.4
2020-04-22,5,6,17.2
2020-04-23,2,1,15.4
2020-04-24,5,4,14.8
2020-04-25,7,0,16.0
2020-04-26,5,2,18.4
2020-04-27,4,5,17.8
2020-04-28,8,5,21.3
2020-04-29,12,0,25.4
2020-04-30,11,6,30.9
2020-05-01,3,1,29.6
2020-05-02,5,8,28.4
2020-05-03,1,8,26.1
2020-05-04,16,1,33.2
2020-05-05,3,4,30.3
2020-05-06,2,1,24.4
2020-05-07,8,1,22.5
2020-05-08,4,0,23.2
2020-05-09,9,3,25.5
2020-05-10,4,0,27.3
2020-05-11,7,3,21.9
2020-05-12,7,6,24.3
2020-05-13,8,3,27.8
2020-05-14,7,4,27.3
2020-05-15,6,3,28.4
2020-05-16,3,4,24.9
2020-05-17,2,0,23.7
2020-05-18,1,0,20.2
2020-05-19,3,0,17.8
2020-05-20,1,1,13.6
2020-05-21,5,2,12.4
2020-05-22,4,1,11.3
2020-05-23,1,2,10.1
2020-05-24,2,1,10.1
2020-05-25,1,1,10.1
2020-05-26,1,0,8.8
2020-05-27,5,1,11.3
2020-05-28,2,0,9.5
2020-05-29,3,1,8.9
2020-05-30,1,2,8.9
2020-05-31,1,2,8.3
2020-06-01,2,1,8.8
2020-06-02,1,0,8.9
2020-06-03,2,5,7.1
2020-06-04,6,0,9.5
2020-06-05,0,5,7.7
2020-06-06,2,2,8.3
2020-06-07,2,0,8.8
2020-06-08,4,1,10.1
2020-06-09,2,0,10.7
2020-06-10,3,0,11.3
2020-06-11,1,0,8.3
2020-06-12,0,0,8.3
2020-06-13,0,0,7.1
2020-06-14,0,0,6.0
2020-06-15,2,0,4.8
2020-06-16,0,0,3.6
2020-06-17,6,0,5.3
2020-06-18,1,0,5.3
2020-06-19,11,0,11.8
2020-06-20,0,1,11.8
2020-06-21,1,0,12.4
2020-06-22,0,0,11.2
2020-06-23,0,1,11.2
2020-06-24,0,0,7.7
2020-06-25,0,0,7.1
2020-06-26,1,0,1.2
2020-06-27,0,0,1.2
2020-06-28,1,0,1.2
2020-06-29,0,0,1.2
2020-06-30,0,0,1.2
2020-07-01,0,131,1.2
2020-07-02,0,0,1.2
2020-07-03,0,0,0.6
2020-07-04,0,0,0.6
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,1,1,0.6
2020-07-09,0,0,0.6
2020-07-10,0,1,0.6
2020-07-11,0,0,0.6
2020-07-12,0,0,0.6
2020-07-13,0,0,0.6
2020-07-14,0,0,0.6
2020-07-15,0,0,0.0
2020-07-16,0,0,0.0
2020-07-17,1,0,0.6
2020-07-18,0,0,0.6
2020-07-19,1,1,1.2
2020-07-20,0,0,1.2
2020-07-21,0,1,1.2
2020-07-22,0,0,1.2
2020-07-23,1,0,1.8
2020-07-24,3,0,3.0
2020-07-25,0,0,3.0
2020-07-26,0,2,2.4
2020-07-27,1,0,3.0
2020-07-28,0,0,3.0
2020-07-29,0,1,3.0
2020-07-30,1,1,2.9
2020-07-31,0,1,1.1
2020-08-01,0,0,1.1
2020-08-02,0,0,1.1
2020-08-03,0,0,0.5
2020-08-04,1,1,1.1
2020-08-05,0,0,1.1
2020-08-06,0,0,0.6
2020-08-07,0,0,0.6
2020-08-08,0,1,0.6
2020-08-09,0,0,0.6
2020-08-10,0,0,0.6
2020-08-11,1,0,0.6
2020-08-12,0,0,0.6
2020-08-13,0,0,0.6
2020-08-14,0,1,0.6
2020-08-15,1,0,1.2
