date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,1,0,0.7
2020-03-21,0,0,0.7
2020-03-22,1,0,1.4
2020-03-23,0,0,1.4
2020-03-24,2,0,2.8
2020-03-25,0,0,2.8
2020-03-26,4,0,5.6
2020-03-27,2,0,6.3
2020-03-28,4,0,9.2
2020-03-29,1,0,9.2
2020-03-30,2,0,10.6
2020-03-31,4,0,12.0
2020-04-01,9,0,18.3
2020-04-02,5,0,19.0
2020-04-03,7,0,22.6
2020-04-04,3,0,21.8
2020-04-05,2,0,22.5
2020-04-06,3,0,23.2
2020-04-07,5,0,23.9
2020-04-08,2,0,19.0
2020-04-09,4,0,18.4
2020-04-10,5,0,16.9
2020-04-11,1,0,15.5
2020-04-12,9,0,20.4
2020-04-13,8,0,23.9
2020-04-14,4,0,23.3
2020-04-15,4,0,24.7
2020-04-16,7,0,26.7
2020-04-17,5,0,26.7
2020-04-18,4,0,28.8
2020-04-19,5,0,26.1
2020-04-20,2,0,21.9
2020-04-21,5,0,22.5
2020-04-22,4,17,22.5
2020-04-23,5,3,21.1
2020-04-24,5,3,21.2
2020-04-25,4,3,21.2
2020-04-26,9,2,23.9
2020-04-27,3,7,24.6
2020-04-28,6,1,25.3
2020-04-29,2,0,23.9
2020-04-30,4,8,23.3
2020-05-01,3,0,21.8
2020-05-02,3,3,21.1
2020-05-03,3,2,16.9
2020-05-04,8,2,20.4
2020-05-05,3,0,18.3
2020-05-06,2,3,18.4
2020-05-07,1,0,16.2
2020-05-08,2,0,15.5
2020-05-09,1,1,14.1
2020-05-10,5,1,15.5
2020-05-11,1,0,10.6
2020-05-12,4,3,11.3
2020-05-13,2,2,11.2
2020-05-14,0,0,10.5
2020-05-15,3,1,11.2
2020-05-16,2,2,11.9
2020-05-17,0,1,8.4
2020-05-18,3,1,9.9
2020-05-19,4,0,9.9
2020-05-20,0,0,8.5
2020-05-21,0,0,8.5
2020-05-22,0,4,6.4
2020-05-23,0,0,5.0
2020-05-24,0,0,5.0
2020-05-25,1,0,3.5
2020-05-26,0,0,0.7
2020-05-27,0,0,0.7
2020-05-28,2,1,2.1
2020-05-29,2,0,3.5
2020-05-30,2,2,4.9
2020-05-31,1,0,5.6
2020-06-01,1,0,5.6
2020-06-02,0,4,5.6
2020-06-03,0,0,5.6
2020-06-04,1,0,4.9
2020-06-05,0,0,3.5
2020-06-06,1,0,2.8
2020-06-07,0,0,2.1
2020-06-08,0,0,1.4
2020-06-09,0,0,1.4
2020-06-10,0,0,1.4
2020-06-11,0,0,0.7
2020-06-12,1,0,1.4
2020-06-13,0,0,0.7
2020-06-14,1,1,1.4
2020-06-15,1,0,2.1
2020-06-16,1,0,2.8
2020-06-17,1,0,3.5
2020-06-18,1,0,4.2
2020-06-19,0,0,3.5
2020-06-20,0,0,3.5
2020-06-21,1,0,3.5
2020-06-22,0,0,2.8
2020-06-23,0,0,2.1
2020-06-24,1,0,2.1
2020-06-25,0,0,1.4
2020-06-26,2,1,2.9
2020-06-27,2,0,4.3
2020-06-28,0,0,3.6
2020-06-29,0,0,3.6
2020-06-30,0,2,3.6
2020-07-01,1,66,3.6
2020-07-02,0,0,3.6
2020-07-03,1,0,2.8
2020-07-04,0,0,1.4
2020-07-05,2,1,2.8
2020-07-06,0,0,2.8
2020-07-07,1,2,3.5
2020-07-08,0,1,2.8
2020-07-09,0,0,2.8
2020-07-10,0,1,2.1
2020-07-11,1,0,2.8
