date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,2,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,1,0,0.4
2020-03-07,1,0,0.7
2020-03-08,2,0,1.4
2020-03-09,2,0,2.2
2020-03-10,2,0,2.9
2020-03-11,10,0,6.5
2020-03-12,5,0,8.2
2020-03-13,5,0,9.6
2020-03-14,1,0,9.7
2020-03-15,3,0,10.1
2020-03-16,3,0,10.3
2020-03-17,4,0,11.1
2020-03-18,10,0,11.0
2020-03-19,4,0,10.8
2020-03-20,6,0,11.1
2020-03-21,15,0,16.1
2020-03-22,11,0,18.9
2020-03-23,13,0,22.6
2020-03-24,21,0,28.6
2020-03-25,22,0,33.0
2020-03-26,29,0,41.8
2020-03-27,19,0,46.5
2020-03-28,11,0,45.1
2020-03-29,6,0,43.3
2020-03-30,18,0,45.1
2020-03-31,18,0,44.0
2020-04-01,19,0,42.9
2020-04-02,26,0,41.9
2020-04-03,19,0,41.9
2020-04-04,23,0,46.1
2020-04-05,16,0,49.7
2020-04-06,17,0,49.3
2020-04-07,20,0,50.1
2020-04-08,22,0,51.2
2020-04-09,17,0,47.9
2020-04-10,9,0,44.4
2020-04-11,9,0,39.4
2020-04-12,8,0,36.5
2020-04-13,13,0,35.1
2020-04-14,9,0,31.1
2020-04-15,21,0,30.7
2020-04-16,11,0,28.7
2020-04-17,10,19,28.9
2020-04-18,15,15,31.1
2020-04-19,6,12,30.4
2020-04-20,8,3,28.6
2020-04-21,7,17,27.9
2020-04-22,8,10,23.3
2020-04-23,12,6,23.6
2020-04-24,4,6,21.5
2020-04-25,7,6,18.6
2020-04-26,2,8,17.2
2020-04-27,2,6,15.0
2020-04-28,5,1,14.3
2020-04-29,4,3,12.9
2020-04-30,8,2,11.4
2020-05-01,8,2,12.9
2020-05-02,1,5,10.7
2020-05-03,2,6,10.7
2020-05-04,0,3,10.0
2020-05-05,5,2,10.0
2020-05-06,4,1,10.0
2020-05-07,9,1,10.4
2020-05-08,3,4,8.6
2020-05-09,2,2,9.0
2020-05-10,2,2,9.0
2020-05-11,6,1,11.1
2020-05-12,3,2,10.4
2020-05-13,4,2,10.3
2020-05-14,1,2,7.5
2020-05-15,1,0,6.8
2020-05-16,1,8,6.4
2020-05-17,0,5,5.7
2020-05-18,2,0,4.3
2020-05-19,1,2,3.6
2020-05-20,3,0,3.3
2020-05-21,2,1,3.6
2020-05-22,1,0,3.5
2020-05-23,0,5,3.2
2020-05-24,2,1,4.0
2020-05-25,1,2,3.6
2020-05-26,0,0,3.2
2020-05-27,1,1,2.5
2020-05-28,0,0,1.8
2020-05-29,1,1,1.8
2020-05-30,0,0,1.8
2020-05-31,2,0,1.7
2020-06-01,0,0,1.4
2020-06-02,2,1,2.2
2020-06-03,2,0,2.5
2020-06-04,0,1,2.5
2020-06-05,0,2,2.2
2020-06-06,0,0,2.2
2020-06-07,3,0,2.5
2020-06-08,1,2,2.9
2020-06-09,1,1,2.5
2020-06-10,0,1,1.8
2020-06-11,2,0,2.5
2020-06-12,2,0,3.2
2020-06-13,1,3,3.6
2020-06-14,2,0,3.3
2020-06-15,0,0,2.9
2020-06-16,1,2,2.8
2020-06-17,0,0,2.8
2020-06-18,2,0,2.8
2020-06-19,1,1,2.5
2020-06-20,1,1,2.5
2020-06-21,0,1,1.8
2020-06-22,0,1,1.8
2020-06-23,0,1,1.5
2020-06-24,0,0,1.5
2020-06-25,1,1,1.1
2020-06-26,1,0,1.1
2020-06-27,0,0,0.7
2020-06-28,0,2,0.7
2020-06-29,1,0,1.0
2020-06-30,0,2,1.0
2020-07-01,1,53,1.4
2020-07-02,0,1,1.1
2020-07-03,0,3,0.7
2020-07-04,0,0,0.7
2020-07-05,0,1,0.7
2020-07-06,3,0,1.5
2020-07-07,1,0,1.8
2020-07-08,1,2,1.8
2020-07-09,0,0,1.8
2020-07-10,0,0,1.8
2020-07-11,0,2,1.8
2020-07-12,1,1,2.1
2020-07-13,3,0,2.1
2020-07-14,0,1,1.8
2020-07-15,1,0,1.8
2020-07-16,1,1,2.1
2020-07-17,0,2,2.1
2020-07-18,1,2,2.5
2020-07-19,1,0,2.5
2020-07-20,0,0,1.4
2020-07-21,0,1,1.4
2020-07-22,1,1,1.4
2020-07-23,2,0,1.8
2020-07-24,1,1,2.2
2020-07-25,3,3,2.8
2020-07-26,3,0,3.6
2020-07-27,1,2,4.0
2020-07-28,1,2,4.3
2020-07-29,1,0,4.3
2020-07-30,1,2,3.9
2020-07-31,2,4,4.3
2020-08-01,1,0,3.6
2020-08-02,0,1,2.5
2020-08-03,1,1,2.5
2020-08-04,2,4,2.9
2020-08-05,3,3,3.6
2020-08-06,5,0,5.1
2020-08-07,1,2,4.6
2020-08-08,2,3,5.0
2020-08-09,3,3,6.1
2020-08-10,4,6,7.1
2020-08-11,5,1,8.2
2020-08-12,3,2,8.2
2020-08-13,3,0,7.5
2020-08-14,1,5,7.5
2020-08-15,6,7,9.0
2020-08-16,1,3,8.2
2020-08-17,9,4,10.0
2020-08-18,2,2,9.0
2020-08-19,2,4,8.6
2020-08-20,10,4,11.1
2020-08-21,6,1,12.9
2020-08-22,2,6,11.4
2020-08-23,3,2,12.2
2020-08-24,10,4,12.6
