date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-31,1,0,0.0
2020-04-01,2,0,2.1
2020-04-02,2,0,4.1
2020-04-03,0,0,4.1
2020-04-04,4,0,8.2
2020-04-05,6,0,14.3
2020-04-06,1,0,15.3
2020-04-07,1,0,16.3
2020-04-08,0,0,14.2
2020-04-09,1,0,13.2
2020-04-10,5,0,18.3
2020-04-11,2,0,16.3
2020-04-12,2,0,12.2
2020-04-13,0,0,11.2
2020-04-14,4,0,14.3
2020-04-15,2,0,16.3
2020-04-16,3,0,18.4
2020-04-17,8,0,21.4
2020-04-18,3,0,22.4
2020-04-19,0,0,20.4
2020-04-20,4,0,24.5
2020-04-21,4,0,24.4
2020-04-22,4,3,26.5
2020-04-23,1,3,24.4
2020-04-24,5,5,21.4
2020-04-25,2,1,20.3
2020-04-26,0,5,20.3
2020-04-27,5,1,21.3
2020-04-28,2,0,19.4
2020-04-29,12,0,27.5
2020-04-30,6,3,32.6
2020-05-01,3,2,30.6
2020-05-02,1,4,29.6
2020-05-03,1,9,30.6
2020-05-04,0,0,25.5
2020-05-05,3,1,26.5
2020-05-06,0,0,14.3
2020-05-07,0,1,8.2
2020-05-08,0,1,5.1
2020-05-09,0,1,4.1
2020-05-10,6,0,9.2
2020-05-11,2,1,11.2
2020-05-12,1,0,9.1
2020-05-13,0,6,9.1
2020-05-14,1,0,10.2
2020-05-15,0,0,10.2
2020-05-16,2,0,12.2
2020-05-17,0,0,6.1
2020-05-18,3,0,7.1
2020-05-19,0,0,6.1
2020-05-20,1,1,7.2
2020-05-21,0,1,6.1
2020-05-22,0,0,6.1
2020-05-23,1,0,5.1
2020-05-24,0,0,5.1
2020-05-25,1,1,3.1
2020-05-26,0,0,3.1
2020-05-27,0,0,2.0
2020-05-28,0,0,2.0
2020-05-29,0,0,2.0
2020-05-30,0,0,1.0
2020-05-31,0,0,1.0
2020-06-01,0,0,0.0
2020-06-02,0,0,0.0
2020-06-03,0,0,0.0
2020-06-04,0,0,0.0
2020-06-05,0,0,0.0
2020-06-06,0,0,0.0
2020-06-07,0,0,0.0
2020-06-08,0,0,0.0
2020-06-09,0,0,0.0
2020-06-10,0,0,0.0
2020-06-11,0,0,0.0
2020-06-12,0,0,0.0
2020-06-13,0,0,0.0
2020-06-14,0,0,0.0
2020-06-15,0,0,0.0
2020-06-16,0,0,0.0
2020-06-17,0,0,0.0
2020-06-18,1,0,1.0
2020-06-19,0,0,1.0
2020-06-20,0,0,1.0
2020-06-21,0,0,1.0
2020-06-22,0,0,1.0
2020-06-23,0,0,1.0
2020-06-24,0,0,1.0
2020-06-25,0,0,0.0
2020-06-26,0,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,27,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
