date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,1,0,0.6
2020-03-17,0,0,0.6
2020-03-18,0,0,0.6
2020-03-19,2,0,1.7
2020-03-20,1,0,2.3
2020-03-21,0,0,2.3
2020-03-22,0,0,2.3
2020-03-23,1,0,2.3
2020-03-24,1,0,2.9
2020-03-25,3,0,4.6
2020-03-26,3,0,5.2
2020-03-27,2,0,5.8
2020-03-28,2,0,7.0
2020-03-29,6,0,10.4
2020-03-30,3,0,11.6
2020-03-31,7,0,15.1
2020-04-01,8,0,18.0
2020-04-02,4,0,18.6
2020-04-03,13,0,25.0
2020-04-04,4,0,26.1
2020-04-05,0,0,22.7
2020-04-06,7,0,24.9
2020-04-07,5,0,23.8
2020-04-08,10,0,25.0
2020-04-09,17,0,32.5
2020-04-10,3,0,26.7
2020-04-11,16,0,33.6
2020-04-12,8,0,38.3
2020-04-13,7,0,38.4
2020-04-14,16,0,44.6
2020-04-15,17,0,48.7
2020-04-16,12,0,45.9
2020-04-17,19,12,55.1
2020-04-18,12,14,52.9
2020-04-19,7,0,52.2
2020-04-20,18,4,58.6
2020-04-21,14,0,57.5
2020-04-22,18,47,58.0
2020-04-23,23,26,64.4
2020-04-24,22,13,66.2
2020-04-25,7,23,63.2
2020-04-26,24,16,73.2
2020-04-27,11,17,69.0
2020-04-28,20,9,72.6
2020-04-29,18,7,72.6
2020-04-30,23,21,72.6
2020-05-01,23,1,73.1
2020-05-02,18,15,79.5
2020-05-03,13,12,73.1
2020-05-04,7,14,70.9
2020-05-05,17,14,69.0
2020-05-06,12,3,65.6
2020-05-07,9,5,57.4
2020-05-08,5,1,47.0
2020-05-09,4,9,38.9
2020-05-10,4,2,33.7
2020-05-11,15,0,38.3
2020-05-12,15,5,37.2
2020-05-13,15,17,38.9
2020-05-14,7,5,37.7
2020-05-15,11,20,41.2
2020-05-16,10,4,44.7
2020-05-17,7,7,46.4
2020-05-18,10,6,43.5
2020-05-19,6,1,38.3
2020-05-20,5,2,32.5
2020-05-21,8,2,33.1
2020-05-22,5,8,29.6
2020-05-23,3,0,25.6
2020-05-24,6,0,24.9
2020-05-25,8,0,23.8
2020-05-26,4,0,22.6
2020-05-27,6,0,23.2
2020-05-28,5,9,21.5
2020-05-29,6,1,22.1
2020-05-30,1,2,20.9
2020-05-31,1,1,18.0
2020-06-01,3,0,15.1
2020-06-02,2,4,13.9
2020-06-03,3,0,12.2
2020-06-04,4,1,11.6
2020-06-05,2,0,9.3
2020-06-06,0,2,8.7
2020-06-07,0,0,8.2
2020-06-08,1,0,6.9
2020-06-09,0,2,5.8
2020-06-10,1,0,4.6
2020-06-11,0,0,2.3
2020-06-12,0,0,1.1
2020-06-13,2,0,2.3
2020-06-14,0,0,2.3
2020-06-15,2,0,2.9
2020-06-16,2,0,4.1
2020-06-17,2,0,4.7
2020-06-18,0,1,4.7
2020-06-19,0,1,4.7
2020-06-20,2,1,4.6
2020-06-21,0,0,4.6
2020-06-22,0,0,3.5
2020-06-23,3,1,4.1
2020-06-24,1,0,3.5
2020-06-25,1,0,4.0
2020-06-26,1,1,4.6
2020-06-27,0,0,3.5
2020-06-28,0,0,3.5
2020-06-29,2,0,4.7
2020-06-30,1,0,3.5
2020-07-01,0,190,2.9
2020-07-02,0,1,2.4
2020-07-03,1,1,2.3
2020-07-04,1,0,2.9
2020-07-05,2,1,4.1
2020-07-06,0,0,2.9
2020-07-07,1,3,2.9
2020-07-08,1,1,3.4
2020-07-09,1,1,4.0
2020-07-10,0,0,3.5
2020-07-11,0,2,2.9
2020-07-12,0,0,1.7
2020-07-13,1,0,2.3
2020-07-14,1,0,2.3
2020-07-15,0,0,1.8
2020-07-16,2,0,2.3
2020-07-17,2,0,3.5
2020-07-18,0,1,3.5
2020-07-19,0,3,3.5
2020-07-20,1,1,3.5
2020-07-21,0,0,2.9
2020-07-22,0,1,2.9
2020-07-23,1,1,2.4
2020-07-24,1,0,1.7
2020-07-25,1,1,2.3
2020-07-26,0,1,2.3
2020-07-27,1,0,2.3
2020-07-28,1,0,2.9
2020-07-29,0,1,2.9
2020-07-30,0,2,2.3
2020-07-31,0,0,1.8
2020-08-01,1,0,1.8
2020-08-02,0,0,1.8
2020-08-03,1,1,1.7
2020-08-04,1,0,1.7
2020-08-05,0,0,1.7
2020-08-06,0,1,1.7
2020-08-07,0,1,1.7
2020-08-08,0,0,1.1
2020-08-09,0,0,1.1
2020-08-10,1,0,1.2
2020-08-11,1,0,1.2
2020-08-12,0,1,1.2
2020-08-13,2,0,2.3
2020-08-14,1,2,2.9
2020-08-15,0,0,2.9
2020-08-16,0,0,2.9
2020-08-17,2,0,3.5
2020-08-18,1,2,3.5
2020-08-19,1,1,4.0
2020-08-20,3,1,4.7
2020-08-21,2,2,5.2
2020-08-22,2,3,6.4
2020-08-23,0,1,6.4
2020-08-24,1,2,5.8
2020-08-25,2,0,6.4
2020-08-26,3,2,7.6
2020-08-27,1,1,6.4
2020-08-28,1,3,5.9
2020-08-29,1,1,5.2
2020-08-30,4,1,7.6
2020-08-31,0,2,7.0
2020-09-01,3,3,7.5
2020-09-02,4,0,8.1
2020-09-03,2,2,8.7
2020-09-04,3,1,9.8
2020-09-05,2,3,10.5
2020-09-06,4,5,10.4
2020-09-07,5,4,13.3
2020-09-08,15,0,20.3
2020-09-09,7,5,22.1
2020-09-10,5,5,23.8
2020-09-11,6,6,25.6
2020-09-12,5,13,27.3
2020-09-13,1,2,25.5
2020-09-14,4,6,25.0
2020-09-15,2,7,17.4
2020-09-16,2,4,14.5
2020-09-17,9,6,16.8
2020-09-18,9,3,18.5
2020-09-19,9,5,20.9
2020-09-20,14,7,28.5
2020-09-21,7,9,30.1
2020-09-22,11,8,35.4
2020-09-23,7,17,38.3
2020-09-24,10,10,38.9
2020-09-25,13,9,41.2
2020-09-26,14,4,44.1
2020-09-27,10,9,41.8
2020-09-28,12,12,44.7
2020-09-29,11,17,44.7
2020-09-30,17,16,50.5
2020-10-01,26,7,59.8
2020-10-02,26,7,67.4
2020-10-03,23,18,72.5
2020-10-04,22,51,79.5
2020-10-05,41,28,96.4
2020-10-06,36,36,110.9
2020-10-07,33,32,120.1
2020-10-08,44,42,130.6
2020-10-09,35,24,135.8
2020-10-10,28,24,138.7
2020-10-11,21,46,138.1
2020-10-12,53,29,145.1
2020-10-13,37,49,145.7
2020-10-14,35,40,146.9
2020-10-15,42,53,145.7
2020-10-16,31,26,143.3
2020-10-17,36,30,148.0
2020-10-18,45,48,162.0
2020-10-19,62,42,167.1
2020-10-20,70,68,186.3
2020-10-21,33,56,185.1
2020-10-22,63,42,197.3
2020-10-23,55,44,211.3
2020-10-24,29,55,207.2
2020-10-25,40,36,204.3
2020-10-26,55,52,200.3
2020-10-27,82,66,207.2
2020-10-28,61,59,223.5
2020-10-29,63,61,223.4
2020-10-30,69,78,231.6
2020-10-31,47,47,242.1
2020-11-01,66,84,257.1
2020-11-02,102,60,284.4
2020-11-03,100,64,294.8
2020-11-04,90,66,311.7
2020-11-05,82,90,322.8
2020-11-06,94,100,337.2
2020-11-07,67,89,348.8
2020-11-08,80,103,356.9
2020-11-09,140,83,379.0
2020-11-10,131,91,397.0
2020-11-11,118,109,413.2
2020-11-12,121,131,435.8
2020-11-13,115,136,448.1
2020-11-14,88,129,460.3
2020-11-15,109,124,477.1
2020-11-16,125,0,468.4
2020-11-17,117,124,460.3
2020-11-18,101,110,450.4
2020-11-19,62,139,416.2
2020-11-20,80,81,395.8
2020-11-21,47,58,372.0
2020-11-22,57,86,341.9
2020-11-23,74,63,312.2
2020-11-24,63,51,280.9
2020-11-25,72,81,264.1
2020-11-26,48,61,256.0
2020-11-27,45,65,235.7
2020-11-28,34,58,228.1
2020-11-29,30,38,212.4
2020-11-30,52,48,199.7
2020-12-01,47,33,190.4
2020-12-02,0,35,190.4
2020-12-03,40,64,170.6
2020-12-04,46,44,171.2
2020-12-05,38,40,173.6
2020-12-06,31,42,174.1
2020-12-07,42,45,168.3
2020-12-08,40,31,164.2
2020-12-09,45,39,3029.2
2020-12-10,41,42,164.3
2020-12-11,31,43,155.5
2020-12-12,29,26,150.3
2020-12-13,49,34,160.8
2020-12-14,84,29,185.2
2020-12-15,56,46,194.5
2020-12-16,44,58,193.8
2020-12-17,43,73,195.0
2020-12-18,56,28,209.6
2020-12-19,41,45,216.5
2020-12-20,53,40,218.8
2020-12-21,51,62,199.6
2020-12-22,46,38,193.8
2020-12-23,37,50,189.8
2020-12-24,22,43,177.6
2020-12-25,17,36,154.9
2020-12-26,40,38,154.4
2020-12-27,71,39,164.9
2020-12-28,55,52,167.2
2020-12-29,84,56,189.2
2020-12-30,74,40,210.7
2020-12-31,43,67,222.9
2021-01-01,31,41,231.0
2021-01-02,67,101,246.6
2021-01-03,41,39,229.2
2021-01-04,68,54,236.8
2021-01-05,41,52,211.9
2021-01-06,37,69,190.4
2021-01-07,42,38,189.8
2021-01-08,42,45,196.2
2021-01-09,24,44,171.3
2021-01-10,25,47,162.0
2021-01-11,44,23,148.0
2021-01-12,46,35,150.9
2021-01-13,49,40,157.8
2021-01-14,35,33,153.8
2021-01-15,27,43,145.1
2021-01-16,22,44,143.9
2021-01-17,21,28,141.6
2021-01-18,49,30,144.5
2021-01-19,44,30,143.4
2021-01-20,27,40,130.6
2021-01-21,32,42,128.8
2021-01-22,39,28,135.8
2021-01-23,18,27,133.5
2021-01-24,19,32,132.3
2021-01-25,26,28,119.0
2021-01-26,32,18,112.0
2021-01-27,35,32,116.7
2021-01-28,41,33,121.9
2021-01-29,31,43,117.3
2021-01-30,27,32,122.5
2021-01-31,23,31,124.8
2021-02-01,31,32,127.7
2021-02-02,46,21,135.8
2021-02-03,24,33,129.4
2021-02-04,29,42,122.5
2021-02-05,25,23,119.0
2021-02-06,30,37,120.7
2021-02-07,22,23,120.2
2021-02-08,22,31,114.9
2021-02-09,33,17,107.4
2021-02-10,23,28,106.8
2021-02-11,15,25,98.6
2021-02-12,27,29,99.8
2021-02-13,18,16,92.9
2021-02-14,23,25,93.4
2021-02-15,32,25,99.3
2021-02-16,16,18,89.4
2021-02-17,15,32,84.8
2021-02-18,29,13,92.9
2021-02-19,27,12,92.9
2021-02-20,14,29,90.5
2021-02-21,21,26,89.4
2021-02-22,19,25,81.8
2021-02-23,27,19,88.2
2021-02-24,17,22,89.4
2021-02-25,39,23,95.2
2021-02-26,25,20,94.0
2021-02-27,15,23,94.6
2021-02-28,12,35,89.4
2021-03-01,30,19,95.8
2021-03-02,16,10,89.4
2021-03-03,22,33,92.2
2021-03-04,20,17,81.2
2021-03-05,22,23,79.5
2021-03-06,28,17,87.1
2021-03-07,19,24,91.1
2021-03-08,32,35,92.3
2021-03-09,36,15,103.9
2021-03-10,34,37,110.9
2021-03-11,39,35,121.9
2021-03-12,28,39,125.4
