date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,1.0
2020-03-15,0,0,1.0
2020-03-16,1,0,2.1
2020-03-17,1,0,3.1
2020-03-18,0,0,3.1
2020-03-19,1,0,4.1
2020-03-20,0,0,4.1
2020-03-21,1,0,4.1
2020-03-22,1,0,5.2
2020-03-23,1,0,5.1
2020-03-24,2,0,6.1
2020-03-25,3,0,9.2
2020-03-26,4,0,12.3
2020-03-27,4,0,16.4
2020-03-28,6,0,21.6
2020-03-29,4,0,24.6
2020-03-30,7,0,30.7
2020-03-31,7,0,35.9
2020-04-01,3,0,35.9
2020-04-02,1,0,32.8
2020-04-03,3,0,31.8
2020-04-04,3,0,28.6
2020-04-05,4,0,28.6
2020-04-06,0,0,21.5
2020-04-07,10,0,24.6
2020-04-08,7,0,28.7
2020-04-09,3,0,30.7
2020-04-10,3,0,30.7
2020-04-11,2,0,29.8
2020-04-12,4,0,29.8
2020-04-13,6,0,35.9
2020-04-14,9,0,34.8
2020-04-15,10,0,37.9
2020-04-16,5,0,40.0
2020-04-17,5,0,42.0
2020-04-18,3,0,43.0
2020-04-19,1,0,39.9
2020-04-20,3,0,36.9
2020-04-21,2,0,29.7
2020-04-22,6,1,25.6
2020-04-23,7,1,27.7
2020-04-24,10,2,32.8
2020-04-25,5,8,34.8
2020-04-26,1,3,34.8
2020-04-27,2,4,33.8
2020-04-28,3,2,34.9
2020-04-29,3,1,31.7
2020-04-30,0,1,24.5
2020-05-01,14,4,28.7
2020-05-02,1,0,24.6
2020-05-03,5,2,28.7
2020-05-04,3,1,29.7
2020-05-05,2,1,28.7
2020-05-06,1,1,26.7
2020-05-07,1,4,27.7
2020-05-08,1,0,14.3
2020-05-09,5,0,18.5
2020-05-10,4,0,17.4
2020-05-11,5,0,19.5
2020-05-12,4,1,21.5
2020-05-13,2,3,22.5
2020-05-14,2,0,23.6
2020-05-15,5,0,27.7
2020-05-16,4,1,26.6
2020-05-17,2,2,24.6
2020-05-18,6,3,25.6
2020-05-19,3,3,24.6
2020-05-20,1,0,23.6
2020-05-21,1,0,22.5
2020-05-22,1,2,18.4
2020-05-23,2,0,16.4
2020-05-24,1,0,15.4
2020-05-25,1,0,10.2
2020-05-26,2,1,9.2
2020-05-27,3,0,11.3
2020-05-28,2,0,12.3
2020-05-29,3,1,14.4
2020-05-30,1,3,13.3
2020-05-31,1,1,13.3
2020-06-01,1,0,13.3
2020-06-02,0,0,11.2
2020-06-03,0,1,8.1
2020-06-04,0,0,6.1
2020-06-05,2,0,5.1
2020-06-06,0,0,4.1
2020-06-07,0,0,3.1
2020-06-08,1,0,3.1
2020-06-09,0,0,3.1
2020-06-10,1,0,4.1
2020-06-11,0,2,4.1
2020-06-12,0,0,2.0
2020-06-13,0,0,2.0
2020-06-14,0,0,2.0
2020-06-15,0,0,1.0
2020-06-16,0,0,1.0
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,1,0,1.1
2020-06-23,0,0,1.1
2020-06-24,0,0,1.1
2020-06-25,0,1,1.1
2020-06-26,0,0,1.1
2020-06-27,0,0,1.1
2020-06-28,1,0,2.1
2020-06-29,0,0,1.0
2020-06-30,0,0,1.0
2020-07-01,0,79,1.0
2020-07-02,0,0,1.0
2020-07-03,0,0,1.0
2020-07-04,1,0,2.0
2020-07-05,1,0,2.0
2020-07-06,0,0,2.0
2020-07-07,0,0,2.0
2020-07-08,0,1,2.0
2020-07-09,1,0,3.1
2020-07-10,0,1,3.1
2020-07-11,0,1,2.1
2020-07-12,0,0,1.1
2020-07-13,0,0,1.1
2020-07-14,0,0,1.1
2020-07-15,0,0,1.1
2020-07-16,0,0,0.0
2020-07-17,0,0,0.0
2020-07-18,0,0,0.0
2020-07-19,0,0,0.0
2020-07-20,1,0,1.0
2020-07-21,0,0,1.0
2020-07-22,0,0,1.0
2020-07-23,0,0,1.0
2020-07-24,0,1,1.0
2020-07-25,0,0,1.0
2020-07-26,0,0,1.0
2020-07-27,0,0,0.0
2020-07-28,0,0,0.0
2020-07-29,2,0,2.0
2020-07-30,0,0,2.0
2020-07-31,0,1,2.0
2020-08-01,0,1,2.0
