date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-03,2,0,0.0
2020-02-04,0,0,0.0
2020-02-05,0,0,0.0
2020-02-06,0,0,0.0
2020-02-07,0,0,0.0
2020-02-08,0,0,0.0
2020-02-09,0,0,0.0
2020-02-10,0,0,0.0
2020-02-11,0,0,0.0
2020-02-12,0,0,0.0
2020-02-13,0,0,0.0
2020-02-14,0,0,0.0
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,0,0.0
2020-02-18,0,0,0.0
2020-02-19,0,0,0.0
2020-02-20,0,0,0.0
2020-02-21,0,0,0.0
2020-02-22,0,0,0.0
2020-02-23,0,0,0.0
2020-02-24,1,0,0.9
2020-02-25,0,0,0.9
2020-02-26,0,0,0.9
2020-02-27,0,0,0.9
2020-02-28,0,0,0.9
2020-02-29,0,0,0.9
2020-03-01,0,0,0.9
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,3,0,2.4
2020-03-18,2,0,4.1
2020-03-19,5,0,8.2
2020-03-20,0,0,8.2
2020-03-21,3,0,10.7
2020-03-22,2,0,12.3
2020-03-23,2,0,14.0
2020-03-24,1,0,12.4
2020-03-25,1,0,11.5
2020-03-26,1,0,8.2
2020-03-27,1,0,9.1
2020-03-28,1,0,7.4
2020-03-29,1,0,6.6
2020-03-30,4,0,8.2
2020-03-31,3,0,9.9
2020-04-01,1,0,9.9
2020-04-02,1,0,9.9
2020-04-03,11,0,18.1
2020-04-04,3,0,19.7
2020-04-05,4,0,22.2
2020-04-06,2,0,20.6
2020-04-07,6,0,23.0
2020-04-08,2,0,23.8
2020-04-09,4,0,26.3
2020-04-10,1,0,18.1
2020-04-11,1,0,16.5
2020-04-12,6,0,18.1
2020-04-13,6,0,21.4
2020-04-14,2,0,18.1
2020-04-15,5,0,20.6
2020-04-16,7,0,23.1
2020-04-17,8,0,28.8
2020-04-18,3,0,30.4
2020-04-19,1,0,26.4
2020-04-20,2,0,23.0
2020-04-21,7,0,27.2
2020-04-22,6,4,28.0
2020-04-23,4,1,25.5
2020-04-24,7,4,24.7
2020-04-25,0,4,22.3
2020-04-26,3,0,23.8
2020-04-27,5,7,26.3
2020-04-28,6,1,25.5
2020-04-29,6,0,25.5
2020-04-30,15,4,34.6
2020-05-01,1,3,29.6
2020-05-02,2,0,31.2
2020-05-03,13,3,39.5
2020-05-04,6,1,40.4
2020-05-05,4,0,38.7
2020-05-06,5,2,37.9
2020-05-07,6,2,30.4
2020-05-08,2,0,31.3
2020-05-09,1,1,30.5
2020-05-10,0,1,19.8
2020-05-11,22,0,32.9
2020-05-12,3,0,32.1
2020-05-13,5,4,32.1
2020-05-14,2,0,28.8
2020-05-15,4,0,30.4
2020-05-16,0,0,29.6
2020-05-17,0,0,29.6
2020-05-18,1,1,12.3
2020-05-19,6,0,14.8
2020-05-20,1,0,11.5
2020-05-21,1,0,10.7
2020-05-22,0,0,7.4
2020-05-23,0,3,7.4
2020-05-24,0,0,7.4
2020-05-25,0,0,6.6
2020-05-26,0,0,1.6
2020-05-27,0,0,0.8
2020-05-28,1,0,0.8
2020-05-29,0,0,0.8
2020-05-30,1,0,1.7
2020-05-31,3,0,4.1
2020-06-01,4,0,7.4
2020-06-02,0,0,7.4
2020-06-03,0,0,7.4
2020-06-04,0,0,6.6
2020-06-05,0,0,6.6
2020-06-06,0,0,5.7
2020-06-07,0,0,3.3
2020-06-08,0,0,0.0
2020-06-09,0,0,0.0
2020-06-10,2,0,1.7
2020-06-11,0,1,1.7
2020-06-12,0,0,1.7
2020-06-13,1,0,2.5
2020-06-14,0,0,2.5
2020-06-15,1,0,3.3
2020-06-16,0,0,3.3
2020-06-17,0,0,1.6
2020-06-18,1,0,2.4
2020-06-19,0,0,2.4
2020-06-20,0,0,1.6
2020-06-21,0,0,1.6
2020-06-22,0,0,0.8
