date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,1,0,0.9
2020-03-12,0,0,0.9
2020-03-13,0,0,0.9
2020-03-14,0,0,0.9
2020-03-15,0,0,0.9
2020-03-16,0,0,0.9
2020-03-17,1,0,1.8
2020-03-18,2,0,2.6
2020-03-19,2,0,4.4
2020-03-20,2,0,6.2
2020-03-21,1,0,7.1
2020-03-22,5,0,11.5
2020-03-23,2,0,13.2
2020-03-24,4,0,15.9
2020-03-25,2,0,15.9
2020-03-26,3,0,16.8
2020-03-27,7,0,21.2
2020-03-28,4,0,23.8
2020-03-29,1,0,20.3
2020-03-30,3,0,21.3
2020-03-31,3,0,20.3
2020-04-01,5,0,23.0
2020-04-02,1,0,21.2
2020-04-03,6,0,20.3
2020-04-04,6,0,22.1
2020-04-05,6,0,26.5
2020-04-06,4,0,27.4
2020-04-07,10,0,33.6
2020-04-08,0,0,29.2
2020-04-09,9,0,36.3
2020-04-10,8,0,38.0
2020-04-11,3,0,35.4
2020-04-12,5,0,34.5
2020-04-13,6,0,36.2
2020-04-14,7,0,33.6
2020-04-15,2,0,35.4
2020-04-16,14,0,39.7
2020-04-17,10,0,41.6
2020-04-18,9,0,46.8
2020-04-19,5,0,46.8
2020-04-20,7,0,47.7
2020-04-21,19,0,58.3
2020-04-22,9,4,64.5
2020-04-23,5,4,56.6
2020-04-24,11,14,57.4
2020-04-25,4,4,53.1
2020-04-26,0,2,48.7
2020-04-27,9,5,50.4
2020-04-28,7,1,39.8
2020-04-29,10,1,40.6
2020-04-30,13,6,47.7
2020-05-01,6,2,43.3
2020-05-02,8,3,46.8
2020-05-03,5,1,51.2
2020-05-04,3,7,46.0
2020-05-05,12,5,50.4
2020-05-06,5,2,46.0
2020-05-07,4,3,38.0
2020-05-08,7,2,38.9
2020-05-09,1,7,32.7
2020-05-10,3,6,31.0
2020-05-11,4,1,31.8
2020-05-12,4,3,24.7
2020-05-13,8,0,27.4
2020-05-14,5,1,28.3
2020-05-15,8,3,29.2
2020-05-16,6,1,33.6
2020-05-17,6,2,36.2
2020-05-18,12,2,43.3
2020-05-19,7,2,46.0
2020-05-20,2,2,40.7
2020-05-21,0,1,36.3
2020-05-22,4,0,32.7
2020-05-23,0,0,27.4
2020-05-24,2,1,23.9
2020-05-25,0,2,13.3
2020-05-26,1,0,7.9
2020-05-27,3,0,8.8
2020-05-28,1,2,9.7
2020-05-29,4,2,9.7
2020-05-30,1,1,10.6
2020-05-31,7,0,15.0
2020-06-01,1,2,15.9
2020-06-02,3,0,17.7
2020-06-03,2,0,16.8
2020-06-04,2,1,17.7
2020-06-05,7,0,20.3
2020-06-06,2,1,21.2
2020-06-07,4,1,18.5
2020-06-08,10,1,26.5
2020-06-09,18,2,39.8
2020-06-10,8,0,45.1
2020-06-11,10,1,52.1
2020-06-12,4,1,49.5
2020-06-13,1,0,48.6
2020-06-14,6,4,50.4
2020-06-15,4,1,45.1
2020-06-16,4,0,32.7
2020-06-17,8,0,32.7
2020-06-18,6,1,29.2
2020-06-19,2,4,27.4
2020-06-20,1,2,27.4
2020-06-21,1,0,23.0
2020-06-22,1,0,20.3
2020-06-23,6,1,22.1
