date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-26,1,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,1,0,0.3
2020-03-04,0,0,0.3
2020-03-05,0,0,0.3
2020-03-06,2,0,0.9
2020-03-07,2,0,1.5
2020-03-08,0,0,1.5
2020-03-09,0,0,1.5
2020-03-10,0,0,1.2
2020-03-11,3,0,2.0
2020-03-12,0,0,2.0
2020-03-13,0,0,1.4
2020-03-14,0,0,0.8
2020-03-15,0,0,0.8
2020-03-16,0,0,0.8
2020-03-17,0,0,0.8
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,0,0,0.0
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,0,0,0.0
2020-03-24,0,0,0.0
2020-03-25,0,0,0.0
2020-03-26,0,0,0.0
2020-03-27,0,0,0.0
2020-03-28,0,0,0.0
2020-03-29,0,0,0.0
2020-03-30,1,0,0.3
2020-03-31,0,0,0.3
2020-04-01,1,0,0.6
2020-04-02,1,0,0.9
2020-04-03,0,0,0.9
2020-04-04,2,0,1.5
2020-04-05,0,0,1.5
2020-04-06,23,0,7.9
2020-04-07,43,0,20.5
2020-04-08,26,0,27.7
2020-04-09,22,0,33.9
2020-04-10,32,0,43.2
2020-04-11,19,0,48.2
2020-04-12,22,0,54.6
2020-04-13,40,0,59.6
2020-04-14,26,0,54.5
2020-04-15,33,0,56.7
2020-04-16,44,0,63.0
2020-04-17,46,0,67.1
2020-04-18,29,0,70.0
2020-04-19,21,0,69.7
2020-04-20,45,0,71.2
2020-04-21,42,0,75.9
2020-04-22,29,0,74.7
2020-04-23,20,0,67.7
2020-04-24,33,0,64.0
2020-04-25,22,0,61.9
2020-04-26,9,0,58.4
2020-04-27,19,0,50.8
2020-04-28,31,0,47.6
2020-04-29,17,0,44.1
2020-04-30,32,0,47.6
2020-05-01,15,0,42.3
2020-05-02,8,0,38.2
2020-05-03,9,0,38.3
2020-05-04,22,0,39.1
2020-05-05,13,0,33.9
2020-05-06,10,0,31.8
2020-05-07,16,0,27.2
2020-05-08,8,0,25.1
2020-05-09,6,0,24.6
2020-05-10,6,0,23.6
2020-05-11,6,0,19.0
2020-05-12,8,0,17.5
2020-05-13,7,0,16.6
2020-05-14,13,0,15.7
2020-05-15,3,0,14.3
2020-05-16,4,0,13.7
2020-05-17,5,0,13.4
2020-05-18,5,0,13.1
2020-05-19,5,0,12.3
2020-05-20,9,0,12.9
2020-05-21,5,0,10.5
2020-05-22,5,0,11.1
2020-05-23,6,0,11.7
2020-05-24,8,0,12.6
2020-05-25,8,0,13.4
2020-05-26,6,0,13.7
2020-05-27,0,0,11.1
2020-05-28,2,0,10.3
2020-05-29,1,0,9.1
2020-05-30,4,0,8.4
2020-05-31,6,0,7.9
2020-06-01,3,0,6.5
2020-06-02,0,0,4.7
2020-06-03,0,0,4.7
2020-06-04,2,0,4.6
2020-06-05,4,0,5.5
2020-06-06,1,0,4.7
2020-06-07,0,0,2.9
2020-06-08,3,0,2.9
2020-06-09,2,0,3.5
2020-06-10,0,0,3.5
2020-06-11,0,0,3.0
2020-06-12,1,0,2.0
2020-06-13,4,0,2.9
2020-06-14,1,0,3.2
2020-06-15,3,0,3.2
2020-06-16,2,0,3.2
2020-06-17,0,0,3.2
2020-06-18,2,0,3.8
2020-06-19,2,0,4.1
2020-06-20,0,0,2.9
2020-06-21,0,0,2.6
2020-06-22,0,0,1.7
2020-06-23,1,0,1.4
2020-06-24,0,0,1.4
2020-06-25,1,0,1.1
2020-06-26,0,0,0.6
2020-06-27,0,0,0.6
2020-06-28,0,0,0.6
2020-06-29,0,0,0.6
2020-06-30,1,0,0.6
2020-07-01,0,0,0.6
2020-07-02,0,0,0.3
2020-07-03,0,0,0.3
2020-07-04,0,0,0.3
2020-07-05,0,0,0.3
2020-07-06,1,0,0.6
2020-07-07,1,0,0.6
2020-07-08,1,0,0.9
2020-07-09,1,0,1.2
2020-07-10,0,0,1.2
2020-07-11,4,0,2.3
2020-07-12,0,0,2.3
2020-07-13,0,0,2.0
2020-07-14,0,0,1.7
2020-07-15,0,0,1.4
2020-07-16,5,0,2.6
2020-07-17,2,0,3.2
2020-07-18,0,0,2.1
2020-07-19,2,0,2.7
2020-07-20,0,0,2.7
2020-07-21,2,0,3.3
2020-07-22,1,0,3.5
2020-07-23,0,0,2.0
2020-07-24,0,0,1.4
2020-07-25,0,0,1.4
2020-07-26,0,0,0.8
2020-07-27,0,0,0.8
2020-07-28,1,0,0.5
2020-07-29,3,0,1.2
2020-07-30,1,0,1.5
2020-07-31,1,0,1.8
2020-08-01,0,0,1.8
2020-08-02,2,0,2.4
2020-08-03,1,0,2.7
2020-08-04,4,0,3.5
2020-08-05,8,0,5.0
2020-08-06,5,0,6.1
2020-08-07,3,0,6.7
2020-08-08,8,0,9.1
2020-08-09,5,0,9.9
2020-08-10,15,0,14.0
2020-08-11,5,0,14.3
2020-08-12,7,0,14.0
2020-08-13,14,0,16.7
2020-08-14,10,0,18.7
2020-08-15,15,0,20.7
2020-08-16,7,0,21.3
2020-08-17,16,0,21.6
2020-08-18,9,0,22.8
2020-08-19,12,7,24.2
2020-08-20,11,12,23.3
2020-08-21,10,8,23.4
2020-08-22,15,0,23.3
2020-08-23,14,0,25.4
2020-08-24,12,33,24.2
2020-08-25,23,16,28.3
2020-08-26,20,19,30.7
2020-08-27,24,22,34.5
2020-08-28,22,27,37.9
2020-08-29,9,0,36.2
2020-08-30,11,0,35.3
2020-08-31,17,0,36.8
2020-09-01,25,74,37.4
2020-09-02,39,21,42.9
2020-09-03,27,35,43.8
2020-09-04,48,21,51.4
2020-09-05,26,0,56.4
2020-09-06,31,0,62.2
2020-09-07,22,114,63.6
2020-09-08,15,6,60.7
2020-09-09,32,19,58.7
2020-09-10,23,21,57.5
2020-09-11,20,28,49.3
2020-09-12,17,0,46.7
2020-09-13,28,0,45.9
2020-09-14,28,77,47.6
2020-09-15,26,23,50.8
2020-09-16,45,30,54.6
2020-09-17,37,43,58.7
2020-09-18,54,37,68.6
2020-09-19,46,0,77.0
2020-09-20,22,0,75.3
2020-09-21,40,114,78.8
2020-09-22,49,42,85.5
2020-09-23,79,65,95.4
2020-09-24,68,61,104.5
2020-09-25,55,79,104.8
2020-09-26,43,0,104.0
2020-09-27,67,0,117.0
2020-09-28,63,166,123.8
2020-09-29,86,71,134.6
2020-09-30,112,80,144.2
2020-10-01,133,54,163.1
2020-10-02,166,191,195.6
2020-10-03,166,0,231.5
2020-10-04,165,0,260.1
2020-10-05,204,438,301.3
2020-10-06,213,204,338.4
2020-10-07,246,208,377.5
2020-10-08,262,202,415.2
2020-10-09,207,306,427.1
2020-10-10,218,0,442.2
2020-10-11,201,0,452.8
2020-10-12,271,701,472.3
2020-10-13,280,230,491.8
2020-10-14,265,287,497.4
2020-10-15,290,203,505.6
2020-10-16,258,315,520.5
2020-10-17,213,0,519.1
2020-10-18,206,0,520.5
2020-10-19,281,797,523.4
2020-10-20,249,220,514.4
2020-10-21,302,255,525.2
2020-10-22,269,278,519.0
2020-10-23,229,321,510.5
2020-10-24,184,0,502.1
2020-10-25,138,0,482.2
2020-10-26,218,620,463.9
2020-10-27,209,177,452.2
2020-10-28,159,217,410.4
2020-10-29,139,166,372.5
2020-10-30,126,139,342.5
2020-10-31,74,0,310.3
2020-11-01,71,0,290.8
2020-11-02,130,326,265.0
2020-11-03,135,111,243.4
2020-11-04,108,151,228.6
2020-11-05,118,83,222.4
2020-11-06,84,97,210.1
2020-11-07,73,0,209.9
2020-11-08,71,0,209.9
2020-11-09,141,283,213.1
2020-11-10,97,81,202.1
2020-11-11,102,154,200.2
2020-11-12,120,94,200.9
2020-11-13,92,94,203.2
2020-11-14,60,0,199.3
2020-11-15,47,0,192.4
2020-11-16,91,253,177.8
2020-11-17,113,88,182.4
2020-11-18,63,105,171.1
2020-11-19,42,77,148.3
2020-11-20,87,46,146.9
2020-11-21,54,0,145.1
2020-11-22,32,0,140.7
2020-11-23,61,185,132.0
2020-11-24,60,14,116.5
2020-11-25,60,76,115.6
2020-11-26,41,78,115.3
2020-11-27,45,54,103.0
2020-11-28,49,0,101.6
2020-11-29,41,0,104.2
2020-11-30,50,141,101.0
2020-12-01,47,38,97.2
2020-12-02,60,50,97.2
2020-12-03,69,55,105.3
2020-12-04,68,65,112.1
