date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,1,0,0.7
2020-03-11,0,0,0.7
2020-03-12,0,0,0.7
2020-03-13,0,0,0.7
2020-03-14,1,0,1.4
2020-03-15,0,0,1.4
2020-03-16,0,0,1.4
2020-03-17,0,0,0.7
2020-03-18,0,0,0.7
2020-03-19,0,0,0.7
2020-03-20,4,0,3.5
2020-03-21,1,0,3.5
2020-03-22,6,0,7.6
2020-03-23,1,0,8.3
2020-03-24,2,0,9.7
2020-03-25,0,0,9.7
2020-03-26,4,0,12.5
2020-03-27,8,0,15.3
2020-03-28,5,0,18.1
2020-03-29,4,0,16.7
2020-03-30,9,0,22.3
2020-03-31,8,0,26.5
2020-04-01,5,0,29.9
2020-04-02,6,0,31.3
2020-04-03,5,0,29.2
2020-04-04,5,0,29.2
2020-04-05,3,0,28.6
2020-04-06,7,0,27.1
2020-04-07,7,0,26.4
2020-04-08,6,0,27.2
2020-04-09,9,0,29.2
2020-04-10,8,0,31.3
2020-04-11,0,0,27.8
2020-04-12,5,0,29.2
2020-04-13,6,0,28.5
2020-04-14,7,0,28.5
2020-04-15,11,0,32.0
2020-04-16,10,0,32.7
2020-04-17,16,0,38.3
2020-04-18,19,0,51.5
2020-04-19,4,0,50.8
2020-04-20,9,0,52.9
2020-04-21,12,0,56.4
2020-04-22,14,0,58.4
2020-04-23,12,0,59.8
2020-04-24,6,0,52.8
2020-04-25,4,0,42.4
2020-04-26,3,0,41.7
2020-04-27,6,0,39.7
2020-04-28,8,0,36.8
2020-04-29,11,0,34.8
2020-04-30,10,0,33.4
2020-05-01,13,0,38.3
2020-05-02,10,0,42.4
2020-05-03,6,0,44.5
2020-05-04,6,0,44.5
2020-05-05,10,0,45.9
2020-05-06,6,0,42.4
2020-05-07,5,0,39.0
2020-05-08,8,0,35.5
2020-05-09,4,0,31.3
2020-05-10,10,0,34.1
2020-05-11,6,0,34.1
2020-05-12,5,0,30.6
2020-05-13,4,0,29.2
2020-05-14,4,0,28.5
2020-05-15,7,0,27.8
2020-05-16,2,0,26.5
2020-05-17,5,0,22.9
2020-05-18,4,0,21.5
2020-05-19,3,0,20.2
2020-05-20,4,0,20.2
2020-05-21,2,0,18.8
2020-05-22,1,0,14.6
2020-05-23,3,0,15.3
2020-05-24,1,0,12.6
2020-05-25,3,0,11.9
2020-05-26,0,0,9.8
2020-05-27,1,0,7.7
2020-05-28,1,0,6.9
2020-05-29,1,0,6.9
2020-05-30,0,0,4.8
2020-05-31,3,0,6.2
2020-06-01,1,0,4.8
2020-06-02,1,0,5.5
2020-06-03,1,0,5.5
2020-06-04,3,0,7.0
2020-06-05,1,0,7.0
2020-06-06,2,0,8.4
2020-06-07,0,0,6.3
2020-06-08,0,0,5.6
2020-06-09,0,0,4.9
2020-06-10,1,0,4.9
2020-06-11,0,0,2.8
2020-06-12,0,0,2.1
2020-06-13,0,0,0.7
2020-06-14,0,0,0.7
2020-06-15,0,0,0.7
2020-06-16,2,0,2.1
2020-06-17,0,0,1.4
2020-06-18,0,0,1.4
2020-06-19,2,0,2.8
2020-06-20,0,0,2.8
2020-06-21,1,0,3.5
2020-06-22,1,0,4.2
2020-06-23,1,0,3.5
2020-06-24,1,0,4.2
2020-06-25,1,0,4.8
2020-06-26,0,0,3.4
2020-06-27,0,0,3.4
2020-06-28,0,0,2.7
2020-06-29,0,0,2.0
2020-06-30,0,0,1.3
2020-07-01,1,0,1.3
2020-07-02,0,0,0.7
2020-07-03,0,0,0.7
2020-07-04,0,0,0.7
2020-07-05,0,0,0.7
2020-07-06,1,0,1.4
2020-07-07,1,0,2.1
2020-07-08,0,0,1.4
2020-07-09,0,0,1.4
2020-07-10,1,0,2.1
2020-07-11,0,0,2.1
2020-07-12,0,0,2.1
2020-07-13,0,0,1.4
2020-07-14,0,0,0.7
2020-07-15,0,0,0.7
2020-07-16,1,0,1.4
2020-07-17,1,0,1.4
2020-07-18,0,0,1.4
2020-07-19,0,0,1.4
2020-07-20,0,0,1.4
2020-07-21,0,0,1.4
2020-07-22,0,0,1.4
2020-07-23,0,0,0.7
2020-07-24,0,0,0.0
2020-07-25,0,0,0.0
2020-07-26,0,0,0.0
2020-07-27,0,0,0.0
2020-07-28,1,0,0.7
2020-07-29,0,0,0.7
2020-07-30,1,0,1.4
2020-07-31,0,0,1.4
2020-08-01,0,0,1.4
2020-08-02,0,0,1.4
2020-08-03,1,0,2.1
2020-08-04,0,0,1.4
2020-08-05,1,0,2.1
2020-08-06,1,0,2.1
2020-08-07,0,0,2.1
2020-08-08,5,0,5.6
2020-08-09,8,0,11.1
2020-08-10,12,0,18.8
2020-08-11,3,0,20.9
2020-08-12,5,0,23.7
2020-08-13,4,0,25.7
2020-08-14,9,0,32.0
2020-08-15,1,0,29.2
2020-08-16,3,0,25.8
2020-08-17,7,0,22.3
2020-08-18,4,0,22.9
2020-08-19,5,4,22.9
2020-08-20,12,7,28.6
2020-08-21,9,2,28.5
2020-08-22,5,0,31.3
2020-08-23,1,0,29.9
2020-08-24,4,22,27.8
2020-08-25,6,5,29.2
2020-08-26,8,3,31.3
2020-08-27,13,8,32.0
2020-08-28,6,10,29.9
2020-08-29,2,0,27.8
2020-08-30,3,0,29.2
2020-08-31,2,0,27.8
2020-09-01,7,25,28.6
2020-09-02,7,5,27.8
2020-09-03,12,9,27.1
2020-09-04,8,7,28.6
2020-09-05,10,0,34.1
2020-09-06,11,0,39.7
2020-09-07,17,37,50.1
2020-09-08,10,1,52.1
2020-09-09,15,6,57.8
2020-09-10,11,17,57.0
2020-09-11,5,13,54.9
2020-09-12,12,0,56.4
2020-09-13,6,0,52.8
2020-09-14,11,37,48.7
2020-09-15,5,7,45.3
2020-09-16,5,12,38.2
2020-09-17,3,6,32.7
2020-09-18,13,5,38.3
2020-09-19,2,0,31.3
2020-09-20,3,0,29.2
2020-09-21,6,20,25.7
2020-09-22,4,5,25.0
2020-09-23,15,5,32.0
2020-09-24,10,7,36.9
2020-09-25,12,13,36.1
2020-09-26,8,0,40.3
2020-09-27,11,0,46.0
2020-09-28,7,22,46.6
2020-09-29,18,13,56.3
2020-09-30,40,15,73.8
2020-10-01,25,12,84.2
2020-10-02,24,51,92.6
2020-10-03,26,0,105.0
2020-10-04,23,0,113.3
2020-10-05,34,79,132.2
2020-10-06,36,27,144.7
2020-10-07,61,38,159.3
2020-10-08,51,44,177.3
2020-10-09,50,64,195.4
2020-10-10,37,0,203.2
2020-10-11,60,0,228.9
2020-10-12,72,172,255.3
2020-10-13,54,60,267.8
2020-10-14,59,66,266.4
2020-10-15,57,42,270.6
2020-10-16,56,65,274.8
2020-10-17,73,0,299.8
2020-10-18,64,0,302.6
2020-10-19,72,200,302.6
2020-10-20,67,59,311.7
2020-10-21,76,80,323.5
2020-10-22,77,65,337.4
2020-10-23,49,88,332.5
2020-10-24,56,0,320.7
2020-10-25,56,0,315.1
2020-10-26,46,188,297.0
2020-10-27,39,37,277.5
2020-10-28,51,47,260.1
2020-10-29,48,61,240.0
2020-10-30,36,20,231.0
2020-10-31,31,0,213.5
2020-11-01,23,0,190.6
2020-11-02,45,122,189.9
2020-11-03,39,29,189.9
2020-11-04,55,44,192.7
2020-11-05,39,36,186.4
2020-11-06,25,64,178.7
2020-11-07,34,0,180.9
2020-11-08,18,0,177.4
2020-11-09,53,88,183.0
2020-11-10,42,38,185.1
2020-11-11,51,48,182.3
2020-11-12,41,38,183.7
2020-11-13,37,53,192.0
2020-11-14,24,0,185.0
2020-11-15,41,0,201.0
2020-11-16,38,89,190.6
2020-11-17,35,53,185.7
2020-11-18,36,32,175.3
2020-11-19,24,39,163.5
2020-11-20,21,24,152.4
2020-11-21,15,0,146.1
2020-11-22,10,0,124.6
2020-11-23,20,55,112.0
2020-11-24,12,2,96.0
2020-11-25,17,23,82.7
2020-11-26,18,20,78.6
2020-11-27,13,20,73.0
2020-11-28,14,0,72.3
2020-11-29,17,0,77.2
2020-11-30,40,41,91.1
2020-12-01,23,35,98.8
2020-12-02,40,23,114.8
2020-12-03,35,40,126.6
2020-12-04,37,34,143.3
2020-12-05,17,0,145.4
2020-12-06,16,0,144.7
2020-12-07,27,78,135.6
2020-12-08,34,22,143.3
2020-12-09,47,28,148.2
2020-12-10,42,34,153.0
2020-12-11,42,67,156.5
2020-12-12,16,0,155.8
2020-12-13,23,0,160.6
2020-12-14,37,85,167.7
2020-12-15,40,0,171.8
