date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-16,2,0,0.0
2020-03-17,0,0,0.0
2020-03-18,2,0,1.4
2020-03-19,2,0,2.7
2020-03-20,2,0,4.1
2020-03-21,0,0,4.1
2020-03-22,2,0,5.5
2020-03-23,4,0,8.3
2020-03-24,2,0,9.6
2020-03-25,2,0,9.6
2020-03-26,8,0,13.8
2020-03-27,2,0,13.8
2020-03-28,6,0,18.0
2020-03-29,9,0,22.8
2020-03-30,11,0,27.6
2020-03-31,5,0,29.7
2020-04-01,11,0,35.9
2020-04-02,14,0,40.1
2020-04-03,7,0,43.5
2020-04-04,6,0,43.4
2020-04-05,6,0,41.4
2020-04-06,7,0,38.6
2020-04-07,8,0,40.7
2020-04-08,7,0,38.0
2020-04-09,9,0,34.5
2020-04-10,9,0,35.9
2020-04-11,8,0,37.3
2020-04-12,3,0,35.2
2020-04-13,7,0,35.2
2020-04-14,3,0,31.8
2020-04-15,8,0,32.4
2020-04-16,8,0,31.7
2020-04-17,5,0,29.0
2020-04-18,12,0,31.7
2020-04-19,6,0,33.8
2020-04-20,9,0,35.2
2020-04-21,7,0,37.9
2020-04-22,11,4,40.0
2020-04-23,5,9,38.0
2020-04-24,4,4,37.2
2020-04-25,8,8,34.6
2020-04-26,6,6,34.5
2020-04-27,4,3,31.1
2020-04-28,7,2,31.1
2020-04-29,8,6,29.0
2020-04-30,10,3,32.4
2020-05-01,7,2,34.5
2020-05-02,4,6,31.7
2020-05-03,10,3,34.5
2020-05-04,10,2,38.6
2020-05-05,8,4,39.3
2020-05-06,5,0,37.3
2020-05-07,6,5,34.5
2020-05-08,6,3,33.8
2020-05-09,2,3,32.4
2020-05-10,5,2,29.0
2020-05-11,3,1,24.2
2020-05-12,13,0,27.6
2020-05-13,9,7,30.3
2020-05-14,6,2,30.4
2020-05-15,4,1,29.0
2020-05-16,1,1,28.3
2020-05-17,2,2,26.2
2020-05-18,6,2,28.2
2020-05-19,3,0,21.4
2020-05-20,5,0,18.7
2020-05-21,5,4,17.9
2020-05-22,0,3,15.2
2020-05-23,1,1,15.2
2020-05-24,1,3,14.5
2020-05-25,1,0,11.1
2020-05-26,2,1,10.4
2020-05-27,1,1,7.6
2020-05-28,2,0,5.5
2020-05-29,0,1,5.5
2020-05-30,0,0,4.8
2020-05-31,0,0,4.1
2020-06-01,3,0,5.5
2020-06-02,0,0,4.1
2020-06-03,0,1,3.4
2020-06-04,2,2,3.5
2020-06-05,1,0,4.2
2020-06-06,0,0,4.2
2020-06-07,0,1,4.2
2020-06-08,4,0,4.8
2020-06-09,0,0,4.8
2020-06-10,0,0,4.8
2020-06-11,0,1,3.4
2020-06-12,1,0,3.4
2020-06-13,0,1,3.4
2020-06-14,2,0,4.8
2020-06-15,2,2,3.5
2020-06-16,0,0,3.5
2020-06-17,2,0,4.9
2020-06-18,0,0,4.9
2020-06-19,0,1,4.2
2020-06-20,0,0,4.2
2020-06-21,0,0,2.8
2020-06-22,1,0,2.1
2020-06-23,0,1,2.1
2020-06-24,0,0,0.7
2020-06-25,0,0,0.7
2020-06-26,1,1,1.3
2020-06-27,0,0,1.3
2020-06-28,0,0,1.3
2020-06-29,0,0,0.6
2020-06-30,0,0,0.6
2020-07-01,0,125,0.6
2020-07-02,0,0,0.6
2020-07-03,1,0,0.7
2020-07-04,0,0,0.7
2020-07-05,0,2,0.7
2020-07-06,0,0,0.7
2020-07-07,0,1,0.7
2020-07-08,1,0,1.4
2020-07-09,0,0,1.4
2020-07-10,0,0,0.7
2020-07-11,0,1,0.7
2020-07-12,0,0,0.7
2020-07-13,1,0,1.4
2020-07-14,0,0,1.4
2020-07-15,0,0,0.7
2020-07-16,0,1,0.7
2020-07-17,1,0,1.4
2020-07-18,2,0,2.8
2020-07-19,0,0,2.8
2020-07-20,2,1,3.5
2020-07-21,0,0,3.5
2020-07-22,1,1,4.2
2020-07-23,0,1,4.2
2020-07-24,1,1,4.1
2020-07-25,1,0,3.4
2020-07-26,1,2,4.1
2020-07-27,2,1,4.1
2020-07-28,1,1,4.8
2020-07-29,1,0,4.8
2020-07-30,0,3,4.8
2020-07-31,0,1,4.2
2020-08-01,0,0,3.5
2020-08-02,0,0,2.8
2020-08-03,0,1,1.4
2020-08-04,1,0,1.4
2020-08-05,0,0,0.7
2020-08-06,1,0,1.4
2020-08-07,3,0,3.4
2020-08-08,1,1,4.1
2020-08-09,0,1,4.1
2020-08-10,1,1,4.8
2020-08-11,1,3,4.8
2020-08-12,0,0,4.8
2020-08-13,1,0,4.8
2020-08-14,3,2,4.9
2020-08-15,1,1,4.9
2020-08-16,1,3,5.6
2020-08-17,1,0,5.5
2020-08-18,1,1,5.5
2020-08-19,3,0,7.6
2020-08-20,2,1,8.3
2020-08-21,0,3,6.2
2020-08-22,0,2,5.5
2020-08-23,0,0,4.8
2020-08-24,2,0,5.6
2020-08-25,1,0,5.6
2020-08-26,2,2,4.8
2020-08-27,3,2,5.5
2020-08-28,1,2,6.2
2020-08-29,0,0,6.2
2020-08-30,0,1,6.2
2020-08-31,2,0,6.2
2020-09-01,1,2,6.2
2020-09-02,4,2,7.6
2020-09-03,9,1,11.7
2020-09-04,1,3,11.7
2020-09-05,1,1,12.4
2020-09-06,3,2,14.5
2020-09-07,1,3,13.8
2020-09-08,5,4,16.5
2020-09-09,3,3,15.9
2020-09-10,2,3,11.1
2020-09-11,8,8,15.9
2020-09-12,2,2,16.6
2020-09-13,3,1,16.5
2020-09-14,4,3,18.6
2020-09-15,6,4,19.3
2020-09-16,3,7,19.3
2020-09-17,4,3,20.7
2020-09-18,3,5,17.2
2020-09-19,7,4,20.7
2020-09-20,13,2,27.6
2020-09-21,3,6,26.9
2020-09-22,11,5,30.4
2020-09-23,3,7,30.4
2020-09-24,11,7,35.2
2020-09-25,7,3,38.0
2020-09-26,10,9,40.0
2020-09-27,5,8,34.6
2020-09-28,8,6,38.0
2020-09-29,8,8,35.9
2020-09-30,9,7,40.0
2020-10-01,10,3,39.3
2020-10-02,13,3,43.5
2020-10-03,12,16,44.9
2020-10-04,13,20,50.3
2020-10-05,19,15,57.9
2020-10-06,23,27,68.3
2020-10-07,29,15,82.1
2020-10-08,31,20,96.6
2020-10-09,29,21,107.6
2020-10-10,20,21,113.1
2020-10-11,30,18,124.9
2020-10-12,47,21,144.3
2020-10-13,51,30,163.6
2020-10-14,38,34,169.8
2020-10-15,37,31,173.9
2020-10-16,48,27,187.0
2020-10-17,45,32,204.3
2020-10-18,47,28,216.0
2020-10-19,50,34,218.0
2020-10-20,48,46,216.0
2020-10-21,57,46,229.1
2020-10-22,63,30,247.1
2020-10-23,80,39,269.2
2020-10-24,35,45,262.2
2020-10-25,55,54,267.8
2020-10-26,66,41,278.8
2020-10-27,69,50,293.3
2020-10-28,61,57,296.0
2020-10-29,58,63,292.6
2020-10-30,41,49,265.7
2020-10-31,40,37,269.2
2020-11-01,42,40,260.2
2020-11-02,81,41,270.5
2020-11-03,67,56,269.1
2020-11-04,41,67,255.4
2020-11-05,74,62,266.3
2020-11-06,45,28,269.1
2020-11-07,51,46,276.7
2020-11-08,60,58,289.1
2020-11-09,68,69,280.2
2020-11-10,58,44,273.9
2020-11-11,48,51,278.8
2020-11-12,41,60,256.1
2020-11-13,41,60,253.3
2020-11-14,40,42,245.7
2020-11-15,51,36,239.5
2020-11-16,50,323,227.1
2020-11-17,42,37,216.0
2020-11-18,39,27,209.8
2020-11-19,29,59,201.5
2020-11-20,35,41,197.3
2020-11-21,15,48,180.1
2020-11-22,19,21,158.0
2020-11-23,31,32,144.9
2020-11-24,19,22,129.1
2020-11-25,24,32,118.7
2020-11-26,25,21,115.9
2020-11-27,21,12,106.3
2020-11-28,16,27,106.9
2020-11-29,18,13,106.3
2020-11-30,29,18,104.9
2020-12-01,17,31,103.5
2020-12-02,18,26,99.3
2020-12-03,32,16,104.2
2020-12-04,26,12,107.7
2020-12-05,36,31,121.5
2020-12-06,27,31,127.6
2020-12-07,54,35,144.9
2020-12-08,40,37,160.8
2020-12-09,37,47,173.9
2020-12-10,44,37,182.2
2020-12-11,34,31,187.7
2020-12-12,28,30,182.2
2020-12-13,41,41,191.9
2020-12-14,77,12,207.7
2020-12-15,48,53,213.2
2020-12-16,50,27,222.2
2020-12-17,46,78,223.6
2020-12-18,48,41,233.2
2020-12-19,37,43,239.4
2020-12-20,46,54,242.9
2020-12-21,78,26,243.6
2020-12-22,43,55,240.2
2020-12-23,54,89,243.0
2020-12-24,45,50,242.2
2020-12-25,13,39,218.1
2020-12-26,50,59,227.1
2020-12-27,54,19,232.5
2020-12-28,61,31,220.8
2020-12-29,139,70,287.1
2020-12-30,82,73,306.3
2020-12-31,80,110,330.6
2021-01-01,54,42,358.8
2021-01-02,105,109,396.8
2021-01-03,72,58,409.3
2021-01-04,100,128,436.2
2021-01-05,72,74,389.9
2021-01-06,71,87,382.4
2021-01-07,58,55,367.1
2021-01-08,56,74,368.5
2021-01-09,37,54,321.6
2021-01-10,27,61,290.5
2021-01-11,66,60,267.0
2021-01-12,63,41,260.8
2021-01-13,64,46,256.0
2021-01-14,63,53,259.5
2021-01-15,58,88,260.9
2021-01-16,71,53,284.3
2021-01-17,47,44,298.1
2021-01-18,51,85,287.8
2021-01-19,71,70,293.3
2021-01-20,51,43,284.3
2021-01-21,45,75,271.9
2021-01-22,51,53,267.0
2021-01-23,29,42,238.1
2021-01-24,16,61,216.7
2021-01-25,39,31,208.4
2021-01-26,33,17,182.2
2021-01-27,29,35,167.0
2021-01-28,38,36,162.1
2021-01-29,48,26,160.1
2021-01-30,29,39,160.1
2021-01-31,19,42,162.2
2021-02-01,33,33,158.0
2021-02-02,35,18,159.4
2021-02-03,33,29,162.2
2021-02-04,24,33,152.5
2021-02-05,29,31,139.4
2021-02-06,27,31,138.0
2021-02-07,16,37,135.9
2021-02-08,33,17,136.0
2021-02-09,26,19,129.7
2021-02-10,21,24,121.4
2021-02-11,18,26,117.3
2021-02-12,16,26,108.4
2021-02-13,14,20,99.3
2021-02-14,17,14,100.1
2021-02-15,29,12,97.3
2021-02-16,27,24,98.0
2021-02-17,9,23,89.7
2021-02-18,21,30,91.8
2021-02-19,23,7,96.6
2021-02-20,17,25,98.7
2021-02-21,17,13,98.7
2021-02-22,24,25,95.2
2021-02-23,20,18,90.4
2021-02-24,17,21,96.0
2021-02-25,9,20,87.7
2021-02-26,13,20,80.7
2021-02-27,9,13,75.3
2021-02-28,11,10,71.0
2021-03-01,27,14,73.2
2021-03-02,21,6,73.9
2021-03-03,8,29,67.6
2021-03-04,8,23,66.9
2021-03-05,7,5,62.8
2021-03-06,1,9,57.2
2021-03-07,6,8,53.9
2021-03-08,9,1,41.4
2021-03-09,10,7,33.8
2021-03-10,12,12,36.6
2021-03-11,8,9,36.6
2021-03-12,10,11,38.7
2021-03-13,12,13,46.3
2021-03-14,5,8,45.5
2021-03-15,13,12,48.3
2021-03-16,13,4,50.4
2021-03-17,9,17,48.3
2021-03-18,7,12,47.6
2021-03-19,10,9,47.6
2021-03-20,2,6,40.7
2021-03-21,7,8,42.1
2021-03-22,6,9,37.3
2021-03-23,5,7,31.7
2021-03-24,7,5,30.3
2021-03-25,7,2,30.4
2021-03-26,2,9,24.8
2021-03-27,2,5,24.8
2021-03-28,9,1,26.2
2021-03-29,7,7,26.9
2021-03-30,8,8,29.0
2021-03-31,7,9,29.0
2021-04-01,2,4,25.5
2021-04-02,1,5,24.9
2021-04-03,5,3,26.9
2021-04-04,3,5,22.8
2021-04-05,2,6,19.3
2021-04-06,5,0,17.2
2021-04-07,4,5,15.2
2021-04-08,2,5,15.2
2021-04-09,6,0,18.6
2021-04-10,1,6,15.9
2021-04-11,0,0,13.8
2021-04-12,4,2,15.2
2021-04-13,0,5,11.8
2021-04-14,2,3,10.3
2021-04-15,2,0,10.3
2021-04-16,1,0,6.9
2021-04-17,1,3,6.9
2021-04-18,5,1,10.4
2021-04-19,3,7,9.6
2021-04-20,3,2,11.7
2021-04-21,1,3,11.1
2021-04-22,5,5,13.1
2021-04-23,2,3,13.8
2021-04-24,0,3,13.1
2021-04-25,2,2,11.0
2021-04-26,1,0,9.7
2021-04-27,7,1,12.4
2021-04-28,2,5,13.1
2021-04-29,3,3,11.8
2021-04-30,5,4,13.8
2021-05-01,5,5,17.3
2021-05-02,2,3,17.3
2021-05-03,2,6,17.9
2021-05-04,1,3,13.8
2021-05-05,2,0,13.8
2021-05-06,1,8,12.4
2021-05-07,1,0,9.7
2021-05-08,1,2,6.9
2021-05-09,3,2,7.5
2021-05-10,4,1,9.0
2021-05-11,1,2,9.0
2021-05-12,2,6,9.0
2021-05-13,2,1,9.7
2021-05-14,1,3,9.6
2021-05-15,0,0,8.9
2021-05-16,0,0,6.9
2021-05-17,3,1,6.2
2021-05-18,0,0,5.5
2021-05-19,3,5,6.2
2021-05-20,0,0,4.8
2021-05-21,0,0,4.2
2021-05-22,0,1,4.2
2021-05-23,2,2,5.6
2021-05-24,1,0,4.2
2021-05-25,0,2,4.2
2021-05-26,2,1,3.4
2021-05-27,4,1,6.2
2021-05-28,4,2,9.0
2021-05-29,1,6,9.6
2021-05-30,1,2,8.9
2021-05-31,3,0,10.3
2021-06-01,5,3,13.8
2021-06-02,6,2,16.6
2021-06-03,4,8,16.6
2021-06-04,6,3,17.9
2021-06-05,3,6,19.4
2021-06-06,3,4,20.7
2021-06-07,7,5,23.5
2021-06-08,7,6,24.8
2021-06-09,4,4,23.5
2021-06-10,10,6,27.6
2021-06-11,3,3,25.5
2021-06-12,8,8,29.0
2021-06-13,12,5,35.2
2021-06-14,15,14,40.7
2021-06-15,30,14,56.6
2021-06-16,30,10,74.5
2021-06-17,25,35,84.8
2021-06-18,43,30,112.5
2021-06-19,40,30,134.5
2021-06-20,37,42,151.9
2021-06-21,64,39,185.6
2021-06-22,52,38,200.8
2021-06-23,79,67,234.6
2021-06-24,94,64,282.3
2021-06-25,96,66,318.8
2021-06-26,81,96,347.1
2021-06-27,66,87,367.1
2021-06-28,104,92,394.7
2021-06-29,83,70,416.1
2021-06-30,102,89,432.0
2021-07-01,96,77,433.4
2021-07-02,98,109,434.8
2021-07-03,65,98,423.7
2021-07-04,71,84,427.1
2021-07-05,83,77,412.7
2021-07-06,104,72,427.2
2021-07-07,117,95,437.5
2021-07-08,78,97,425.1
2021-07-09,68,74,404.4
2021-07-10,67,96,405.8
2021-07-11,70,76,405.1
2021-07-12,113,73,425.8
2021-07-13,115,89,433.4
2021-07-14,149,92,455.5
2021-07-15,163,131,514.1
2021-07-16,140,137,563.8
2021-07-17,101,145,587.3
2021-07-18,84,104,597.0
2021-07-19,130,110,608.7
2021-07-20,85,95,587.9
2021-07-21,76,126,537.6
2021-07-22,65,80,469.9
2021-07-23,56,96,412.0
2021-07-24,38,73,368.5
2021-07-25,35,65,334.6
2021-07-26,48,41,278.1
2021-07-27,39,39,246.4
2021-07-28,49,44,227.7
2021-07-29,58,45,222.9
2021-07-30,37,46,209.8
2021-07-31,36,56,208.4
2021-08-01,28,39,203.6
2021-08-02,79,33,224.9
2021-08-03,55,37,236.0
2021-08-04,75,68,254.0
2021-08-05,71,58,262.9
2021-08-06,43,79,267.0
2021-08-07,38,55,268.4
2021-08-08,46,50,280.9
2021-08-09,61,39,268.5
2021-08-10,60,50,271.9
2021-08-11,57,52,259.4
2021-08-12,66,65,256.1
2021-08-13,53,70,262.9
2021-08-14,68,55,283.7
2021-08-15,74,66,302.9
2021-08-16,61,65,302.9
2021-08-17,74,61,312.6
2021-08-18,57,72,312.6
2021-08-19,81,55,322.9
2021-08-20,43,74,316.1
2021-08-21,51,70,304.3
2021-08-22,49,49,287.1
2021-08-23,64,49,289.2
2021-08-24,58,46,278.1
2021-08-25,63,61,282.3
2021-08-26,60,56,267.8
2021-08-27,40,72,265.7
2021-08-28,35,49,254.6
2021-08-29,41,41,249.1
2021-08-30,58,24,245.0
2021-08-31,74,49,256.0
2021-09-01,88,58,273.3
2021-09-02,71,72,280.9
2021-09-03,76,99,305.7
2021-09-04,48,62,314.7
2021-09-05,71,72,335.4
2021-09-06,93,71,359.5
2021-09-07,84,66,366.5
2021-09-08,51,85,340.9
2021-09-09,70,73,340.2
2021-09-10,54,55,325.0
2021-09-11,48,66,325.1
2021-09-12,50,43,310.6
2021-09-13,63,62,289.8
2021-09-14,70,60,280.1
2021-09-15,51,46,280.1
2021-09-16,80,75,287.0
2021-09-17,68,60,296.8
2021-09-18,68,64,310.5
2021-09-19,73,75,326.4
2021-09-20,115,81,362.3
2021-09-21,111,97,390.6
2021-09-22,82,90,412.0
2021-09-23,102,63,427.2
2021-09-24,95,106,445.8
2021-09-25,93,90,463.0
2021-09-26,108,106,487.2
2021-09-27,111,119,484.5
2021-09-28,112,105,485.2
2021-09-29,105,82,501.0
2021-09-30,89,112,492.0
2021-10-01,67,103,472.7
2021-10-02,123,99,493.5
2021-10-03,122,80,503.0
2021-10-04,126,154,513.4
2021-10-05,134,107,528.6
2021-10-06,116,129,536.2
2021-10-07,120,107,557.6
2021-10-08,98,109,579.0
2021-10-09,88,125,554.8
2021-10-10,105,105,543.1
2021-10-11,137,112,550.7
2021-10-12,127,98,545.8
2021-10-13,143,112,564.5
2021-10-14,135,93,574.9
2021-10-15,124,146,592.7
2021-10-16,134,156,624.5
2021-10-17,133,141,643.9
2021-10-18,215,164,697.7
2021-10-19,163,134,722.6
2021-10-20,147,180,725.3
2021-10-21,132,178,723.2
2021-10-22,109,154,712.9
2021-10-23,129,116,709.4
2021-10-24,110,77,693.5
2021-10-25,130,177,634.8
2021-10-26,125,113,608.6
2021-10-27,153,133,612.8
2021-10-28,87,133,581.7
2021-10-29,87,144,566.6
2021-10-30,86,66,536.9
2021-10-31,98,95,528.6
2021-11-01,117,101,519.7
2021-11-02,83,103,490.7
2021-11-03,67,117,431.3
2021-11-04,74,62,422.4
2021-11-05,49,59,396.1
2021-11-06,69,72,384.4
2021-11-07,57,67,356.1
2021-11-08,66,64,320.9
2021-11-09,59,66,304.3
2021-11-10,81,56,314.0
2021-11-11,78,71,316.7
2021-11-12,61,71,325.0
2021-11-13,70,64,325.7
2021-11-14,67,44,332.7
2021-11-15,110,96,363.0
2021-11-16,104,80,394.0
2021-11-17,83,89,395.4
2021-11-18,63,102,385.1
2021-11-19,63,76,386.5
2021-11-20,66,70,383.7
2021-11-21,71,55,386.4
2021-11-22,103,95,381.6
2021-11-23,70,71,358.2
2021-11-24,87,80,360.9
2021-11-25,77,90,370.6
2021-11-26,84,83,385.0
2021-11-27,83,86,396.8
2021-11-28,85,98,406.5
2021-11-29,112,76,412.7
2021-11-30,92,88,427.8
2021-12-01,91,92,430.6
2021-12-02,93,73,441.6
2021-12-03,95,100,449.3
2021-12-04,82,97,448.6
2021-12-05,82,107,446.5
2021-12-06,125,94,455.4
2021-12-07,103,85,463.1
2021-12-08,118,92,481.7
2021-12-09,101,84,487.2
2021-12-10,86,127,481.0
2021-12-11,113,135,502.3
2021-12-12,101,55,515.4
2021-12-13,148,32,531.4
2021-12-14,191,165,592.1
2021-12-15,199,179,648.0
2021-12-16,208,158,721.9
2021-12-17,169,196,779.1
2021-12-18,147,232,802.6
2021-12-19,168,153,848.9
2021-12-20,256,186,923.3
2021-12-21,279,152,984.1
2021-12-22,329,228,1073.8
2021-12-23,305,280,1140.7
2021-12-24,289,232,1223.5
2021-12-25,128,340,1210.4
2021-12-26,207,297,1237.3
2021-12-27,354,184,1305.0
2021-12-28,402,268,1389.8
2021-12-29,469,330,1486.4
2021-12-30,422,357,1567.2
2021-12-31,347,436,1607.2
2022-01-01,202,375,1658.3
2022-01-02,284,346,1711.4
2022-01-03,323,244,1690.0
2022-01-04,469,339,1736.3
2022-01-05,389,331,1681.1
2022-01-06,286,289,1587.2
2022-01-07,200,273,1485.8
2022-01-08,167,393,1461.6
2022-01-09,171,279,1383.6
2022-01-10,250,257,1333.3
2022-01-11,198,214,1146.2
2022-01-12,197,274,1013.7
2022-01-13,186,225,944.7
2022-01-14,168,201,922.6
2022-01-15,196,207,942.7
2022-01-16,220,165,976.5
2022-01-17,319,248,1024.0
2022-01-18,282,236,1082.0
2022-01-19,248,315,1117.3
2022-01-20,233,271,1149.7
2022-01-21,221,261,1186.3
2022-01-22,227,190,1207.6
2022-01-23,259,261,1234.6
2022-01-24,303,254,1223.6
2022-01-25,323,274,1251.9
2022-01-26,265,268,1263.5
2022-01-27,148,338,1204.9
2022-01-28,0,263,1204.9
