date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.6
2020-03-15,1,0,1.3
2020-03-16,1,0,1.9
2020-03-17,3,0,3.9
2020-03-18,1,0,4.6
2020-03-19,1,0,5.3
2020-03-20,0,0,5.3
2020-03-21,1,0,5.3
2020-03-22,0,0,4.6
2020-03-23,1,0,4.7
2020-03-24,1,0,3.3
2020-03-25,3,0,4.6
2020-03-26,7,0,8.5
2020-03-27,6,0,12.5
2020-03-28,4,0,14.6
2020-03-29,4,0,17.2
2020-03-30,4,0,19.1
2020-03-31,5,0,21.9
2020-04-01,6,0,23.8
2020-04-02,7,0,23.8
2020-04-03,10,0,26.5
2020-04-04,4,0,26.4
2020-04-05,4,0,26.4
2020-04-06,15,0,33.8
2020-04-07,14,0,39.6
2020-04-08,18,0,47.6
2020-04-09,20,0,56.2
2020-04-10,16,0,60.1
2020-04-11,21,0,71.4
2020-04-12,20,0,82.0
2020-04-13,15,0,82.0
2020-04-14,28,0,91.3
2020-04-15,21,0,93.3
2020-04-16,22,0,94.6
2020-04-17,30,0,103.8
2020-04-18,23,0,105.1
2020-04-19,19,0,104.5
2020-04-20,22,0,109.0
2020-04-21,22,0,105.1
2020-04-22,28,37,109.7
2020-04-23,20,25,108.4
2020-04-24,15,18,98.5
2020-04-25,10,22,90.0
2020-04-26,19,17,89.9
2020-04-27,19,11,88.0
2020-04-28,27,5,91.2
2020-04-29,31,14,93.2
2020-04-30,18,19,91.9
2020-05-01,15,16,92.0
2020-05-02,15,30,95.2
2020-05-03,26,2,99.9
2020-05-04,9,14,93.2
2020-05-05,13,8,84.0
2020-05-06,34,18,86.0
2020-05-07,6,7,78.1
2020-05-08,16,13,78.6
2020-05-09,7,14,73.4
2020-05-10,8,8,61.5
2020-05-11,6,8,59.5
2020-05-12,4,5,53.6
2020-05-13,12,1,39.0
2020-05-14,4,2,37.6
2020-05-15,3,2,29.1
2020-05-16,6,6,28.4
2020-05-17,3,0,25.1
2020-05-18,3,0,23.2
2020-05-19,6,1,24.4
2020-05-20,1,3,17.2
2020-05-21,5,2,17.9
2020-05-22,4,2,18.5
2020-05-23,1,1,15.2
2020-05-24,3,1,15.2
2020-05-25,1,1,13.8
2020-05-26,0,2,9.9
2020-05-27,3,0,11.2
2020-05-28,0,1,7.9
2020-05-29,0,2,5.3
2020-05-30,0,0,4.6
2020-05-31,0,0,2.6
2020-06-01,11,0,9.3
2020-06-02,3,0,11.3
2020-06-03,0,0,9.3
2020-06-04,5,2,12.6
2020-06-05,2,6,13.9
2020-06-06,0,0,13.9
2020-06-07,1,4,14.6
2020-06-08,0,0,7.3
2020-06-09,0,1,5.3
2020-06-10,2,1,6.6
2020-06-11,2,0,4.6
2020-06-12,2,1,4.6
2020-06-13,1,1,5.3
2020-06-14,1,1,5.3
2020-06-15,3,0,7.2
2020-06-16,2,0,8.6
2020-06-17,0,0,7.3
2020-06-18,2,0,7.3
2020-06-19,2,0,7.3
2020-06-20,0,0,6.6
2020-06-21,0,0,5.9
2020-06-22,2,1,5.3
2020-06-23,0,0,3.9
2020-06-24,1,0,4.6
2020-06-25,0,0,3.3
2020-06-26,0,0,2.0
2020-06-27,1,0,2.7
2020-06-28,1,0,3.3
2020-06-29,1,0,2.7
2020-06-30,0,0,2.7
2020-07-01,0,159,2.0
2020-07-02,0,0,2.0
2020-07-03,0,1,2.0
2020-07-04,0,0,1.3
2020-07-05,0,0,0.7
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,1,0,0.6
2020-07-10,0,0,0.6
2020-07-11,0,1,0.6
