date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,1,0,0.0
2020-03-06,0,0,0.0
2020-03-07,1,0,0.5
2020-03-08,0,0,0.5
2020-03-09,1,0,0.9
2020-03-10,1,0,1.4
2020-03-11,1,0,1.8
2020-03-12,0,0,1.8
2020-03-13,1,0,2.3
2020-03-14,0,0,1.8
2020-03-15,1,0,2.2
2020-03-16,3,0,3.2
2020-03-17,5,0,4.9
2020-03-18,1,0,5.0
2020-03-19,1,0,5.4
2020-03-20,3,0,6.2
2020-03-21,6,0,8.9
2020-03-22,1,0,9.0
2020-03-23,10,0,12.0
2020-03-24,7,0,13.0
2020-03-25,8,0,16.0
2020-03-26,15,0,22.4
2020-03-27,11,0,26.0
2020-03-28,13,0,29.1
2020-03-29,7,0,31.7
2020-03-30,11,0,32.2
2020-03-31,18,0,37.1
2020-04-01,16,0,40.7
2020-04-02,9,0,38.0
2020-04-03,17,0,40.7
2020-04-04,17,0,42.5
2020-04-05,12,0,44.7
2020-04-06,17,0,47.4
2020-04-07,28,0,51.8
2020-04-08,36,0,60.8
2020-04-09,23,0,67.0
2020-04-10,18,0,67.5
2020-04-11,16,0,67.0
2020-04-12,16,0,68.9
2020-04-13,20,0,70.2
2020-04-14,25,0,68.9
2020-04-15,26,0,64.4
2020-04-16,16,0,61.3
2020-04-17,16,13,60.3
2020-04-18,26,19,64.9
2020-04-19,18,8,65.7
2020-04-20,30,6,70.2
2020-04-21,19,4,67.5
2020-04-22,26,16,67.5
2020-04-23,18,14,68.4
2020-04-24,18,24,69.3
2020-04-25,11,13,62.6
2020-04-26,9,8,58.6
2020-04-27,19,11,53.7
2020-04-28,16,0,52.3
2020-04-29,18,3,48.8
2020-04-30,12,17,46.0
2020-05-01,12,22,43.4
2020-05-02,5,20,40.6
2020-05-03,9,51,40.7
2020-05-04,14,8,38.4
2020-05-05,22,22,41.2
2020-05-06,21,9,42.5
2020-05-07,18,56,45.2
2020-05-08,19,18,48.3
2020-05-09,6,8,48.8
2020-05-10,6,10,47.4
2020-05-11,8,8,44.7
2020-05-12,15,4,41.5
2020-05-13,14,4,38.4
2020-05-14,26,4,42.0
2020-05-15,17,10,41.1
2020-05-16,15,11,45.1
2020-05-17,7,7,45.6
2020-05-18,21,14,51.5
2020-05-19,20,9,53.7
2020-05-20,12,7,52.8
2020-05-21,18,11,49.2
2020-05-22,16,5,48.8
2020-05-23,11,6,47.0
2020-05-24,6,2,46.5
2020-05-25,9,5,41.1
2020-05-26,9,4,36.2
2020-05-27,15,1,37.5
2020-05-28,20,6,38.5
2020-05-29,12,1,36.6
2020-05-30,11,9,36.6
2020-05-31,14,4,40.2
2020-06-01,22,4,46.0
2020-06-02,26,7,53.7
2020-06-03,8,9,50.5
2020-06-04,13,5,47.4
2020-06-05,19,7,50.5
2020-06-06,5,3,47.9
2020-06-07,10,2,46.1
2020-06-08,10,3,40.7
2020-06-09,15,3,35.7
2020-06-10,18,3,40.3
2020-06-11,16,3,41.5
2020-06-12,17,7,40.7
2020-06-13,5,4,40.7
2020-06-14,9,6,40.2
2020-06-15,12,5,41.2
2020-06-16,21,2,43.9
2020-06-17,18,5,43.8
2020-06-18,19,2,45.2
2020-06-19,19,3,46.1
2020-06-20,12,5,49.2
2020-06-21,18,0,53.2
2020-06-22,11,3,52.7
2020-06-23,4,1,45.1
2020-06-24,15,0,43.8
2020-06-25,15,0,42.0
2020-06-26,16,2,40.7
2020-06-27,13,1,41.1
2020-06-28,10,2,37.6
2020-06-29,11,1,37.6
2020-06-30,12,5,41.1
2020-07-01,6,625,37.1
2020-07-02,5,11,32.7
2020-07-03,11,6,30.4
2020-07-04,8,7,28.2
2020-07-05,22,10,33.5
2020-07-06,15,10,35.3
2020-07-07,8,22,33.6
2020-07-08,12,10,36.2
2020-07-09,15,10,40.6
2020-07-10,7,12,38.9
2020-07-11,12,9,40.6
2020-07-12,7,14,34.0
2020-07-13,9,7,31.3
2020-07-14,20,7,36.6
2020-07-15,15,10,38.0
2020-07-16,25,11,42.5
2020-07-17,13,19,45.1
2020-07-18,16,24,47.0
2020-07-19,8,22,47.4
2020-07-20,15,17,50.1
2020-07-21,15,8,47.9
2020-07-22,11,12,46.1
2020-07-23,13,8,40.7
2020-07-24,9,18,38.9
2020-07-25,10,11,36.2
