date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,3,0,2.0
2020-03-12,2,0,3.4
2020-03-13,1,0,4.1
2020-03-14,1,0,4.8
2020-03-15,0,0,4.8
2020-03-16,1,0,5.4
2020-03-17,1,0,6.1
2020-03-18,1,0,4.8
2020-03-19,2,0,4.8
2020-03-20,2,0,5.4
2020-03-21,5,0,8.2
2020-03-22,2,0,9.5
2020-03-23,6,0,13.0
2020-03-24,3,0,14.4
2020-03-25,9,0,19.8
2020-03-26,11,0,25.9
2020-03-27,3,0,26.7
2020-03-28,8,0,28.6
2020-03-29,6,0,31.4
2020-03-30,7,0,32.1
2020-03-31,21,0,44.4
2020-04-01,11,0,45.8
2020-04-02,4,0,41.0
2020-04-03,12,0,47.1
2020-04-04,6,0,45.8
2020-04-05,12,0,49.9
2020-04-06,7,0,49.9
2020-04-07,10,0,42.3
2020-04-08,12,0,43.0
2020-04-09,4,0,43.0
2020-04-10,5,0,38.2
2020-04-11,7,0,38.9
2020-04-12,4,0,33.4
2020-04-13,11,0,36.1
2020-04-14,7,0,34.1
2020-04-15,7,0,30.7
2020-04-16,14,0,37.6
2020-04-17,15,0,44.4
2020-04-18,14,0,49.2
2020-04-19,4,0,49.2
2020-04-20,12,0,49.9
2020-04-21,25,0,62.2
2020-04-22,6,0,61.5
2020-04-23,2,0,53.2
2020-04-24,2,0,44.4
2020-04-25,3,0,36.8
2020-04-26,1,0,34.8
2020-04-27,10,0,33.5
2020-04-28,7,0,21.1
2020-04-29,4,0,19.8
2020-04-30,13,0,27.3
2020-05-01,3,0,28.0
2020-05-02,5,0,29.4
2020-05-03,2,0,30.1
2020-05-04,2,0,24.5
2020-05-05,6,0,23.9
2020-05-06,2,0,22.5
2020-05-07,1,0,14.4
2020-05-08,5,0,15.7
2020-05-09,5,0,15.7
2020-05-10,5,0,17.7
2020-05-11,3,0,18.5
2020-05-12,7,0,19.1
2020-05-13,2,0,19.1
2020-05-14,4,0,21.1
2020-05-15,8,0,23.2
2020-05-16,4,0,22.5
2020-05-17,4,0,21.9
2020-05-18,4,0,22.5
2020-05-19,4,0,20.5
2020-05-20,6,0,23.2
2020-05-21,4,0,23.3
2020-05-22,5,0,21.2
2020-05-23,5,0,21.9
2020-05-24,2,0,20.5
2020-05-25,5,0,21.2
2020-05-26,2,0,19.8
2020-05-27,5,0,19.1
2020-05-28,4,0,19.1
2020-05-29,2,0,17.0
2020-05-30,1,0,14.3
2020-05-31,5,0,16.3
2020-06-01,2,0,14.3
2020-06-02,1,0,13.7
2020-06-03,0,0,10.3
2020-06-04,1,0,8.2
2020-06-05,1,0,7.6
2020-06-06,3,0,8.9
2020-06-07,1,0,6.2
2020-06-08,1,0,5.5
2020-06-09,3,0,6.8
2020-06-10,0,0,6.8
2020-06-11,3,0,8.2
2020-06-12,2,0,8.8
2020-06-13,2,0,8.2
2020-06-14,3,0,9.5
2020-06-15,2,0,10.2
2020-06-16,1,0,8.9
2020-06-17,0,0,8.9
2020-06-18,0,0,6.8
2020-06-19,1,0,6.2
2020-06-20,0,0,4.8
2020-06-21,0,0,2.8
2020-06-22,0,0,1.4
2020-06-23,1,0,1.4
2020-06-24,0,0,1.4
2020-06-25,1,0,2.0
2020-06-26,2,0,2.7
2020-06-27,1,0,3.4
2020-06-28,0,0,3.4
2020-06-29,3,0,5.4
2020-06-30,0,0,4.7
2020-07-01,0,0,4.7
2020-07-02,1,0,4.8
2020-07-03,2,0,4.8
2020-07-04,0,0,4.1
2020-07-05,0,0,4.1
2020-07-06,3,0,4.1
2020-07-07,1,0,4.8
2020-07-08,1,0,5.5
2020-07-09,0,0,4.8
2020-07-10,0,0,3.4
2020-07-11,0,0,3.4
2020-07-12,0,0,3.4
2020-07-13,0,0,1.4
2020-07-14,0,0,0.7
2020-07-15,1,0,0.7
2020-07-16,0,0,0.7
2020-07-17,0,0,0.7
2020-07-18,0,0,0.7
2020-07-19,0,0,0.7
2020-07-20,1,0,1.4
2020-07-21,0,0,1.4
2020-07-22,4,0,3.4
2020-07-23,1,0,4.1
2020-07-24,0,0,4.1
2020-07-25,0,0,4.1
2020-07-26,0,0,4.1
2020-07-27,0,0,3.4
2020-07-28,0,0,3.4
2020-07-29,0,0,0.7
2020-07-30,0,0,0.0
2020-07-31,0,0,0.0
2020-08-01,0,0,0.0
2020-08-02,0,0,0.0
2020-08-03,1,0,0.7
2020-08-04,2,0,2.0
2020-08-05,3,0,4.1
2020-08-06,0,0,4.1
2020-08-07,4,0,6.8
2020-08-08,2,0,8.2
2020-08-09,3,0,10.2
2020-08-10,5,0,12.9
2020-08-11,7,0,16.4
2020-08-12,1,0,15.0
2020-08-13,3,0,17.0
2020-08-14,1,0,15.0
2020-08-15,1,0,14.3
2020-08-16,1,0,13.0
2020-08-17,4,0,12.3
2020-08-18,7,0,12.3
2020-08-19,4,5,14.3
2020-08-20,5,5,15.8
2020-08-21,6,0,19.2
2020-08-22,3,0,20.5
2020-08-23,6,0,23.9
2020-08-24,4,14,23.9
2020-08-25,5,4,22.5
2020-08-26,4,8,22.6
2020-08-27,5,4,22.5
2020-08-28,5,6,21.8
2020-08-29,4,0,22.5
2020-08-30,2,0,19.8
2020-08-31,3,0,19.1
2020-09-01,6,18,19.8
2020-09-02,12,9,25.2
2020-09-03,11,8,29.3
2020-09-04,12,11,34.1
2020-09-05,8,0,36.9
2020-09-06,20,0,49.2
2020-09-07,8,37,52.6
2020-09-08,12,9,56.7
2020-09-09,7,6,53.3
2020-09-10,7,13,50.6
2020-09-11,7,9,47.2
2020-09-12,10,0,48.5
2020-09-13,8,0,40.2
2020-09-14,13,29,43.7
2020-09-15,6,6,39.6
2020-09-16,16,13,45.7
2020-09-17,12,11,49.1
2020-09-18,5,15,47.8
2020-09-19,11,0,48.5
2020-09-20,9,0,49.2
2020-09-21,4,20,43.0
2020-09-22,13,9,47.8
2020-09-23,4,15,39.6
2020-09-24,13,5,40.3
2020-09-25,5,9,40.2
2020-09-26,13,0,41.6
2020-09-27,17,0,47.1
2020-09-28,9,29,50.6
2020-09-29,22,20,56.7
2020-09-30,33,15,76.5
2020-10-01,27,18,86.1
2020-10-02,26,44,100.4
2020-10-03,31,0,112.7
2020-10-04,35,0,125.0
2020-10-05,36,82,143.4
2020-10-06,46,35,159.8
2020-10-07,54,41,174.1
2020-10-08,35,46,179.5
2020-10-09,45,49,192.6
2020-10-10,62,0,213.7
2020-10-11,71,0,238.3
2020-10-12,76,175,265.6
2020-10-13,63,83,277.2
2020-10-14,70,68,288.2
2020-10-15,82,35,320.3
2020-10-16,67,90,335.2
2020-10-17,58,0,332.5
2020-10-18,44,0,314.1
2020-10-19,60,200,303.1
2020-10-20,86,55,318.9
2020-10-21,78,82,324.3
2020-10-22,82,78,324.3
2020-10-23,76,87,330.5
2020-10-24,64,0,334.6
2020-10-25,57,0,343.4
2020-10-26,67,214,348.3
2020-10-27,59,60,329.8
2020-10-28,63,60,319.6
2020-10-29,54,73,300.5
2020-10-30,49,43,282.0
2020-10-31,42,0,267.0
2020-11-01,59,0,268.4
2020-11-02,60,161,263.6
2020-11-03,59,45,263.5
2020-11-04,38,69,246.5
2020-11-05,45,36,240.3
2020-11-06,35,43,230.8
2020-11-07,39,0,228.7
2020-11-08,21,0,202.8
2020-11-09,37,96,187.0
2020-11-10,36,29,171.4
2020-11-11,32,42,167.3
2020-11-12,27,33,155.0
2020-11-13,46,22,162.5
2020-11-14,16,0,146.8
2020-11-15,18,0,144.7
2020-11-16,45,74,150.3
2020-11-17,23,34,141.4
2020-11-18,20,28,133.1
2020-11-19,18,19,127.0
2020-11-20,17,14,107.2
2020-11-21,27,0,114.8
2020-11-22,18,0,114.8
2020-11-23,21,66,98.3
2020-11-24,17,3,94.2
2020-11-25,26,25,98.4
2020-11-26,14,30,95.6
2020-11-27,18,20,96.3
2020-11-28,17,0,89.4
2020-11-29,25,0,94.2
2020-11-30,20,65,93.5
2020-12-01,34,12,105.2
2020-12-02,25,31,104.4
2020-12-03,24,26,111.3
2020-12-04,29,29,118.8
2020-12-05,32,0,129.1
2020-12-06,32,0,133.8
2020-12-07,24,95,136.6
2020-12-08,23,20,129.0
2020-12-09,27,20,130.4
2020-12-10,34,25,137.3
2020-12-11,29,35,137.3
2020-12-12,27,0,133.8
2020-12-13,20,0,125.7
2020-12-14,40,72,136.6
2020-12-15,24,0,137.3
2020-12-16,38,56,144.8
2020-12-17,42,40,150.2
2020-12-18,35,29,154.3
2020-12-19,30,0,156.4
2020-12-20,27,0,161.1
2020-12-21,37,105,159.1
2020-12-22,53,27,178.8
2020-12-23,39,46,179.6
2020-12-24,44,0,180.9
2020-12-25,15,0,167.3
2020-12-26,54,0,183.6
2020-12-27,81,0,220.5
2020-12-28,99,0,262.8
2020-12-29,155,349,332.6
2020-12-30,130,152,394.6
2020-12-31,114,90,442.5
2021-01-01,58,0,471.8
2021-01-02,115,0,513.5
2021-01-03,84,0,515.6
2021-01-04,83,409,504.6
2021-01-05,76,52,450.6
2021-01-06,78,108,415.2
2021-01-07,59,66,377.6
2021-01-08,56,68,376.2
2021-01-09,50,0,331.9
2021-01-10,54,0,311.3
2021-01-11,78,165,308.0
2021-01-12,67,83,301.8
2021-01-13,46,63,280.0
2021-01-14,48,47,272.4
2021-01-15,50,51,268.4
2021-01-16,33,0,256.7
2021-01-17,35,0,243.8
