date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,1,0,0.7
2020-02-27,1,0,1.3
2020-02-28,0,0,1.3
2020-02-29,0,0,1.3
2020-03-01,0,0,1.3
2020-03-02,0,0,1.3
2020-03-03,1,0,2
2020-03-04,1,0,2.0
2020-03-05,0,0,1.4
2020-03-06,0,0,1.4
2020-03-07,0,0,1.4
2020-03-08,0,0,1.4
2020-03-09,2,0,2.7
2020-03-10,1,0,2.7
2020-03-11,1,0,2.7
2020-03-12,0,0,2.7
2020-03-13,0,0,2.7
2020-03-14,1,0,3.4
2020-03-15,2,0,4.7
2020-03-16,0,0,3.4
2020-03-17,1,0,3.4
2020-03-18,0,0,2.7
2020-03-19,2,0,4.0
2020-03-20,4,0,6.7
2020-03-21,3,0,8.0
2020-03-22,0,0,6.7
2020-03-23,7,0,11.5
2020-03-24,5,0,14.1
2020-03-25,3,0,16.2
2020-03-26,8,0,20.2
2020-03-27,6,0,21.6
2020-03-28,11,0,27.0
2020-03-29,11,0,34.4
2020-03-30,13,0,38.4
2020-03-31,7,0,39.8
2020-04-01,11,0,45.1
2020-04-02,18,0,51.9
2020-04-03,12,0,55.9
2020-04-04,12,0,56.6
2020-04-05,11,0,56.6
2020-04-06,11,0,55.2
2020-04-07,14,0,59.9
2020-04-08,10,0,59.3
2020-04-09,14,0,56.6
2020-04-10,6,0,52.5
2020-04-11,10,0,51.2
2020-04-12,3,0,45.8
2020-04-13,9,0,44.5
2020-04-14,9,0,41.1
2020-04-15,2,0,35.7
2020-04-16,9,0,32.3
2020-04-17,6,0,32.4
2020-04-18,6,0,29.6
2020-04-19,4,0,30.3
2020-04-20,6,0,28.2
2020-04-21,8,0,27.6
2020-04-22,9,5,32.3
2020-04-23,6,7,30.3
2020-04-24,7,1,31.0
2020-04-25,1,9,27.6
2020-04-26,5,4,28.3
2020-04-27,3,3,26.3
2020-04-28,5,6,24.3
2020-04-29,7,1,22.9
2020-04-30,2,5,20.2
2020-05-01,5,3,18.8
2020-05-02,1,2,18.9
2020-05-03,3,0,17.5
2020-05-04,5,1,18.9
2020-05-05,2,0,16.8
2020-05-06,9,2,18.2
2020-05-07,6,2,20.9
2020-05-08,4,5,20.2
2020-05-09,1,4,20.2
2020-05-10,3,0,20.2
2020-05-11,6,6,20.9
2020-05-12,8,9,24.9
2020-05-13,4,1,21.5
2020-05-14,2,2,18.9
2020-05-15,4,1,18.9
2020-05-16,4,1,20.9
2020-05-17,2,0,20.2
2020-05-18,9,3,22.2
2020-05-19,3,4,18.9
2020-05-20,2,2,17.6
2020-05-21,1,1,16.8
2020-05-22,4,2,16.8
2020-05-23,2,3,15.5
2020-05-24,3,0,16.2
2020-05-25,3,0,12.1
2020-05-26,2,0,11.5
2020-05-27,0,3,10.1
2020-05-28,3,0,11.5
2020-05-29,7,3,13.5
2020-05-30,0,1,12.1
2020-05-31,0,1,10.1
2020-06-01,2,1,9.4
2020-06-02,1,0,8.7
2020-06-03,3,0,10.7
2020-06-04,0,0,8.7
2020-06-05,2,2,5.4
2020-06-06,2,0,6.7
2020-06-07,0,2,6.7
2020-06-08,1,0,6.1
2020-06-09,1,2,6.1
2020-06-10,0,0,4.1
2020-06-11,1,0,4.8
2020-06-12,1,0,4.0
2020-06-13,1,1,3.4
2020-06-14,0,0,3.4
2020-06-15,0,0,2.7
2020-06-16,2,0,3.3
2020-06-17,2,0,4.7
2020-06-18,3,1,6.0
2020-06-19,6,0,9.5
2020-06-20,1,2,9.4
2020-06-21,1,1,10.1
