date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,1,0,0.6
2020-03-09,1,0,1.1
2020-03-10,4,0,3.4
2020-03-11,2,0,4.6
2020-03-12,3,0,6.3
2020-03-13,3,0,8.0
2020-03-14,1,0,8.6
2020-03-15,1,0,8.6
2020-03-16,4,0,10.4
2020-03-17,3,0,9.8
2020-03-18,2,0,9.8
2020-03-19,1,0,8.7
2020-03-20,2,0,8.1
2020-03-21,3,0,9.2
2020-03-22,2,0,9.8
2020-03-23,2,0,8.6
2020-03-24,3,0,8.7
2020-03-25,6,0,10.9
2020-03-26,7,0,14.4
2020-03-27,4,0,15.6
2020-03-28,7,0,17.9
2020-03-29,3,0,18.4
2020-03-30,3,0,19.1
2020-03-31,8,0,21.9
2020-04-01,5,0,21.4
2020-04-02,3,0,19.0
2020-04-03,8,0,21.3
2020-04-04,3,0,19.0
2020-04-05,1,0,17.9
2020-04-06,13,0,23.6
2020-04-07,9,0,24.2
2020-04-08,7,0,25.3
2020-04-09,4,0,25.9
2020-04-10,6,0,24.8
2020-04-11,7,0,27.1
2020-04-12,3,0,28.2
2020-04-13,0,0,20.7
2020-04-14,2,0,16.7
2020-04-15,11,0,19.0
2020-04-16,7,0,20.8
2020-04-17,6,0,20.7
2020-04-18,7,0,20.8
2020-04-19,4,0,21.4
2020-04-20,2,0,22.5
2020-04-21,3,0,23.0
2020-04-22,4,8,19.1
2020-04-23,6,2,18.4
2020-04-24,12,2,21.9
2020-04-25,3,3,19.6
2020-04-26,4,0,19.6
2020-04-27,5,9,21.3
2020-04-28,15,4,28.3
2020-04-29,4,0,28.2
2020-04-30,6,3,28.2
2020-05-01,8,1,26.0
2020-05-02,3,5,25.9
2020-05-03,3,1,25.3
2020-05-04,5,1,25.4
2020-05-05,4,3,19.0
2020-05-06,10,0,22.5
2020-05-07,3,2,20.8
2020-05-08,2,3,17.2
2020-05-09,3,2,17.3
2020-05-10,4,2,17.9
2020-05-11,7,0,19.0
2020-05-12,4,1,19.0
2020-05-13,10,1,19.0
2020-05-14,3,4,19.0
2020-05-15,6,1,21.4
2020-05-16,5,4,22.5
2020-05-17,2,0,21.3
2020-05-18,5,1,20.2
2020-05-19,3,1,19.6
2020-05-20,5,1,16.7
2020-05-21,8,1,19.6
2020-05-22,3,0,17.8
2020-05-23,3,2,16.7
2020-05-24,2,3,16.7
2020-05-25,1,2,14.4
2020-05-26,1,1,13.3
2020-05-27,1,0,10.9
2020-05-28,5,1,9.2
2020-05-29,4,0,9.8
2020-05-30,4,0,10.3
2020-05-31,2,2,10.4
2020-06-01,0,0,9.8
2020-06-02,4,0,11.5
2020-06-03,0,0,11.0
2020-06-04,1,1,8.7
2020-06-05,1,0,7.0
2020-06-06,2,2,5.8
2020-06-07,1,0,5.2
2020-06-08,2,0,6.3
2020-06-09,1,2,4.6
2020-06-10,1,1,5.2
2020-06-11,0,1,4.6
2020-06-12,1,1,4.6
2020-06-13,0,2,3.5
2020-06-14,0,2,2.9
2020-06-15,1,0,2.3
2020-06-16,1,0,2.3
2020-06-17,2,0,2.9
2020-06-18,1,0,3.4
2020-06-19,2,0,4.0
2020-06-20,1,4,4.6
2020-06-21,1,1,5.1
2020-06-22,3,0,6.4
2020-06-23,3,0,7.5
2020-06-24,0,0,6.3
2020-06-25,0,0,5.8
2020-06-26,2,0,5.8
2020-06-27,1,0,5.7
2020-06-28,0,0,5.2
2020-06-29,4,0,5.7
2020-06-30,0,0,4.0
2020-07-01,2,153,5.2
2020-07-02,3,1,6.9
2020-07-03,2,4,6.9
2020-07-04,0,1,6.4
2020-07-05,2,3,7.5
2020-07-06,3,1,7.0
2020-07-07,0,1,7.0
2020-07-08,0,5,5.8
2020-07-09,1,0,4.6
2020-07-10,1,0,4.0
2020-07-11,0,0,4.0
2020-07-12,1,1,3.5
2020-07-13,2,0,2.8
2020-07-14,0,1,2.8
2020-07-15,2,1,4.0
2020-07-16,0,1,3.5
2020-07-17,0,1,2.9
2020-07-18,0,0,2.9
2020-07-19,0,0,2.3
2020-07-20,1,1,1.8
2020-07-21,0,0,1.8
2020-07-22,0,0,0.6
2020-07-23,0,2,0.6
2020-07-24,2,0,1.7
2020-07-25,1,0,2.3
2020-07-26,0,0,2.3
2020-07-27,0,3,1.7
2020-07-28,1,0,2.3
2020-07-29,3,1,4.0
2020-07-30,2,0,5.2
2020-07-31,1,0,4.6
2020-08-01,0,4,4.0
2020-08-02,0,2,4.0
2020-08-03,1,2,4.6
2020-08-04,1,0,4.6
2020-08-05,1,0,3.5
2020-08-06,0,0,2.3
2020-08-07,2,1,2.9
2020-08-08,2,0,4.1
2020-08-09,0,3,4.1
2020-08-10,4,2,5.8
2020-08-11,0,1,5.2
2020-08-12,1,4,5.1
2020-08-13,3,0,6.9
2020-08-14,4,1,8.1
2020-08-15,1,0,7.5
2020-08-16,2,4,8.6
2020-08-17,1,2,6.9
2020-08-18,0,3,6.9
2020-08-19,4,2,8.7
2020-08-20,2,0,8.0
2020-08-21,1,2,6.3
2020-08-22,1,1,6.3
2020-08-23,0,3,5.2
2020-08-24,3,2,6.3
2020-08-25,3,0,8.1
2020-08-26,9,2,10.9
2020-08-27,8,2,14.5
2020-08-28,4,9,16.2
2020-08-29,10,8,21.3
2020-08-30,7,3,25.4
2020-08-31,10,7,29.4
2020-09-01,0,6,27.6
2020-09-02,0,4,22.5
2020-09-03,4,6,20.1
2020-09-04,6,3,21.3
2020-09-05,2,3,16.7
2020-09-06,1,2,13.2
2020-09-07,6,6,11.0
2020-09-08,2,3,12.1
2020-09-09,2,3,13.3
2020-09-10,2,3,12.1
2020-09-11,2,8,9.8
2020-09-12,4,3,11.0
2020-09-13,2,0,11.5
2020-09-14,5,2,10.9
2020-09-15,2,4,11.0
2020-09-16,2,4,10.9
2020-09-17,3,5,11.6
2020-09-18,18,0,20.7
2020-09-19,4,3,20.7
2020-09-20,4,4,21.9
2020-09-21,10,11,24.8
2020-09-22,2,5,24.8
2020-09-23,2,12,24.8
2020-09-24,4,8,25.3
2020-09-25,5,6,17.9
2020-09-26,5,2,18.5
2020-09-27,6,5,19.6
2020-09-28,5,2,16.7
2020-09-29,8,6,20.1
2020-09-30,9,4,24.2
2020-10-01,15,5,30.6
2020-10-02,8,8,32.3
2020-10-03,7,10,33.4
2020-10-04,9,24,35.2
2020-10-05,15,13,40.9
2020-10-06,12,16,43.2
2020-10-07,23,19,51.3
2020-10-08,21,18,54.7
2020-10-09,15,16,58.7
2020-10-10,18,25,65.1
2020-10-11,11,5,66.3
2020-10-12,11,16,64.0
2020-10-13,13,17,64.6
2020-10-14,22,40,64.0
2020-10-15,19,19,62.8
2020-10-16,15,18,62.9
2020-10-17,18,16,62.8
2020-10-18,29,26,73.2
2020-10-19,25,15,81.3
2020-10-20,26,15,88.7
2020-10-21,30,45,93.3
2020-10-22,16,29,91.7
2020-10-23,15,23,91.6
2020-10-24,13,29,88.8
2020-10-25,22,16,84.7
2020-10-26,33,16,89.3
2020-10-27,47,17,101.5
2020-10-28,34,31,103.8
2020-10-29,38,40,116.4
2020-10-30,44,40,133.1
2020-10-31,34,19,145.2
2020-11-01,17,52,142.3
2020-11-02,64,34,160.2
2020-11-03,52,20,163.1
2020-11-04,51,52,172.9
2020-11-05,48,41,178.6
2020-11-06,33,57,172.3
2020-11-07,47,47,179.8
2020-11-08,42,35,194.2
2020-11-09,59,50,191.3
2020-11-10,37,34,182.7
2020-11-11,66,60,191.3
2020-11-12,41,48,187.3
2020-11-13,63,74,204.6
2020-11-14,31,50,195.4
2020-11-15,24,44,185.0
2020-11-16,48,0,178.7
2020-11-17,45,43,183.2
