date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,4,0
2020-03-11,2,0
2020-03-12,3,0
2020-03-13,3,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,4,0
2020-03-17,3,0
2020-03-18,2,0
2020-03-19,1,0
2020-03-20,2,0
2020-03-21,3,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,3,0
2020-03-25,6,0
2020-03-26,7,0
2020-03-27,4,0
2020-03-28,7,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,8,0
2020-04-01,5,0
2020-04-02,3,0
2020-04-03,8,0
2020-04-04,3,0
2020-04-05,1,0
2020-04-06,13,0
2020-04-07,10,0
2020-04-08,7,0
2020-04-09,4,0
2020-04-10,6,0
2020-04-11,7,0
2020-04-12,3,0
2020-04-13,0,0
2020-04-14,2,0
2020-04-15,11,0
2020-04-16,7,0
2020-04-17,6,0
2020-04-18,7,0
2020-04-19,4,0
2020-04-20,2,0
2020-04-21,3,0
2020-04-22,4,8
2020-04-23,6,2
2020-04-24,11,2
2020-04-25,3,3
2020-04-26,4,0
2020-04-27,5,9
2020-04-28,16,4
2020-04-29,4,0
2020-04-30,6,3
2020-05-01,8,1
2020-05-02,3,5
2020-05-03,3,1
2020-05-04,5,1
2020-05-05,4,3
2020-05-06,10,0
2020-05-07,3,2
2020-05-08,2,3
2020-05-09,3,2
2020-05-10,5,2
2020-05-11,7,0
2020-05-12,4,1
2020-05-13,10,1
2020-05-14,3,4
2020-05-15,6,1
2020-05-16,5,4
2020-05-17,2,0
2020-05-18,5,1
2020-05-19,3,1
2020-05-20,5,1
2020-05-21,8,1
2020-05-22,3,0
2020-05-23,3,2
2020-05-24,2,3
2020-05-25,1,2
2020-05-26,1,1
2020-05-27,1,0
2020-05-28,5,1
2020-05-29,4,0
2020-05-30,4,0
2020-05-31,2,2
2020-06-01,0,0
2020-06-02,4,0
2020-06-03,0,0
2020-06-04,1,1
2020-06-05,1,0
2020-06-06,2,2
2020-06-07,1,0
2020-06-08,2,0
2020-06-09,1,2
2020-06-10,1,1
2020-06-11,0,1
2020-06-12,1,1
2020-06-13,0,2
2020-06-14,0,2
2020-06-15,1,0
2020-06-16,1,0
2020-06-17,2,0
2020-06-18,1,0
2020-06-19,2,0
2020-06-20,1,4
2020-06-21,1,1
2020-06-22,3,0
2020-06-23,3,0
2020-06-24,0,0
2020-06-25,0,0
2020-06-26,2,0
2020-06-27,1,0
2020-06-28,0,0
2020-06-29,4,0
2020-06-30,0,0
2020-07-01,2,153
2020-07-02,3,1
2020-07-03,2,4
2020-07-04,0,1
2020-07-05,2,3
2020-07-06,3,1
2020-07-07,0,1
2020-07-08,0,5
2020-07-09,1,0
2020-07-10,1,0
2020-07-11,0,0
2020-07-12,1,1
2020-07-13,2,0
2020-07-14,0,1
2020-07-15,2,1
2020-07-16,0,1
2020-07-17,0,1
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,1,1
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,2
2020-07-24,2,0
2020-07-25,1,0
2020-07-26,0,0
2020-07-27,0,3
2020-07-28,1,0
2020-07-29,4,1
2020-07-30,3,0
2020-07-31,1,0
2020-08-01,0,4
2020-08-02,0,2
2020-08-03,1,2
2020-08-04,1,0
2020-08-05,1,0
2020-08-06,0,0
