date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-08,2,0,0.0
2020-03-09,1,0,0.3
2020-03-10,1,0,0.7
2020-03-11,8,0,3.4
2020-03-12,6,0,5.5
2020-03-13,4,0,6.9
2020-03-14,5,0,8.6
2020-03-15,2,0,9.3
2020-03-16,6,0,11.0
2020-03-17,6,0,12.7
2020-03-18,7,0,12.4
2020-03-19,6,0,12.4
2020-03-20,14,0,15.8
2020-03-21,5,0,15.8
2020-03-22,15,0,20.3
2020-03-23,20,0,25.1
2020-03-24,20,0,29.9
2020-03-25,16,0,33.0
2020-03-26,24,0,39.2
2020-03-27,17,0,40.2
2020-03-28,12,0,42.6
2020-03-29,15,0,42.6
2020-03-30,20,0,42.7
2020-03-31,31,0,46.4
2020-04-01,34,0,52.6
2020-04-02,38,0,57.4
2020-04-03,28,0,61.2
2020-04-04,26,0,66.1
2020-04-05,22,0,68.4
2020-04-06,25,0,70.1
2020-04-07,29,0,69.5
2020-04-08,19,0,64.3
2020-04-09,18,0,57.4
2020-04-10,16,0,53.3
2020-04-11,15,0,49.5
2020-04-12,11,0,45.7
2020-04-13,9,0,40.2
2020-04-14,7,0,32.6
2020-04-15,12,0,30.3
2020-04-16,6,0,26.1
2020-04-17,10,0,24.1
2020-04-18,6,0,20.9
2020-04-19,10,0,20.7
2020-04-20,14,0,22.4
2020-04-21,5,0,21.7
2020-04-22,8,0,20.3
2020-04-23,8,0,21.0
2020-04-24,5,0,19.2
2020-04-25,1,0,17.6
2020-04-26,7,0,16.5
2020-04-27,4,0,13.1
2020-04-28,3,0,12.4
2020-04-29,10,0,13.0
2020-04-30,6,0,12.4
2020-05-01,12,0,14.8
2020-05-02,7,0,16.8
2020-05-03,4,0,15.8
2020-05-04,4,0,15.8
2020-05-05,6,0,16.8
2020-05-06,5,0,15.2
2020-05-07,8,0,15.8
2020-05-08,3,0,12.7
2020-05-09,3,0,11.4
2020-05-10,0,0,10.0
2020-05-11,4,0,9.9
2020-05-12,3,0,9.0
2020-05-13,5,0,8.9
2020-05-14,1,0,6.5
2020-05-15,3,0,6.6
2020-05-16,0,0,5.5
2020-05-17,1,0,5.8
2020-05-18,5,0,6.2
2020-05-19,6,0,7.2
2020-05-20,2,0,6.2
2020-05-21,2,0,6.6
2020-05-22,0,0,5.5
2020-05-23,1,0,5.8
2020-05-24,1,0,5.9
2020-05-25,1,0,4.5
2020-05-26,1,0,2.7
2020-05-27,2,0,2.7
2020-05-28,1,0,2.4
2020-05-29,2,0,3.1
2020-05-30,1,0,3.1
2020-05-31,1,0,3.0
2020-06-01,3,0,3.8
2020-06-02,1,0,3.8
2020-06-03,5,0,4.8
2020-06-04,1,0,4.8
2020-06-05,1,0,4.4
2020-06-06,0,0,4.1
2020-06-07,0,0,3.8
2020-06-08,0,0,2.7
2020-06-09,1,0,2.8
2020-06-10,1,0,1.4
2020-06-11,0,0,1.0
2020-06-12,0,0,0.7
2020-06-13,2,0,1.4
2020-06-14,0,0,1.4
2020-06-15,2,0,2.1
2020-06-16,1,0,2.0
2020-06-17,0,0,1.7
2020-06-18,3,0,2.8
2020-06-19,1,0,3.1
2020-06-20,0,0,2.4
2020-06-21,0,0,2.4
2020-06-22,1,0,2.1
2020-06-23,0,0,1.8
2020-06-24,1,0,2.1
2020-06-25,0,0,1.0
2020-06-26,1,0,1.0
2020-06-27,0,0,1.0
2020-06-28,2,0,1.7
2020-06-29,0,0,1.3
2020-06-30,3,0,2.4
2020-07-01,3,0,3.1
2020-07-02,2,0,3.8
2020-07-03,3,0,4.5
2020-07-04,0,2,4.5
2020-07-05,6,2,5.9
2020-07-06,1,1,6.2
2020-07-07,1,2,5.5
2020-07-08,4,5,5.8
2020-07-09,1,2,5.5
2020-07-10,4,2,5.9
2020-07-11,2,2,6.5
2020-07-12,3,4,5.5
2020-07-13,8,1,7.9
2020-07-14,12,4,11.7
2020-07-15,10,4,13.8
2020-07-16,8,11,16.1
2020-07-17,1,9,15.1
2020-07-18,7,6,16.9
2020-07-19,5,1,17.5
2020-07-20,13,9,19.3
2020-07-21,11,5,18.9
2020-07-22,5,13,17.2
2020-07-23,3,8,15.5
2020-07-24,7,4,17.5
2020-07-25,2,3,15.8
2020-07-26,13,9,18.6
2020-07-27,9,5,17.2
2020-07-28,9,7,16.5
2020-07-29,15,7,19.9
2020-07-30,9,13,22.0
2020-07-31,4,9,21.0
2020-08-01,1,12,20.6
2020-08-02,6,9,18.2
2020-08-03,6,7,17.2
2020-08-04,13,6,18.5
2020-08-05,5,2,15.2
2020-08-06,2,15,12.7
2020-08-07,6,4,13.4
