date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,2,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,2,0,1.6
2020-03-07,1,0,2.5
2020-03-08,0,0,2.5
2020-03-09,0,0,2.5
2020-03-10,0,0,2.5
2020-03-11,2,0,4.1
2020-03-12,0,0,4.1
2020-03-13,1,0,3.3
2020-03-14,0,0,2.4
2020-03-15,0,0,2.4
2020-03-16,1,0,3.2
2020-03-17,0,0,3.2
2020-03-18,2,0,3.2
2020-03-19,0,0,3.2
2020-03-20,1,0,3.2
2020-03-21,0,0,3.2
2020-03-22,0,0,3.2
2020-03-23,1,0,3.3
2020-03-24,0,0,3.3
2020-03-25,1,0,2.5
2020-03-26,4,0,5.7
2020-03-27,1,0,5.7
2020-03-28,6,0,10.6
2020-03-29,3,0,13.0
2020-03-30,3,0,14.6
2020-03-31,6,0,19.5
2020-04-01,7,0,24.3
2020-04-02,13,0,31.7
2020-04-03,5,0,35.0
2020-04-04,5,0,34.1
2020-04-05,1,0,32.5
2020-04-06,2,0,31.7
2020-04-07,3,0,29.2
2020-04-08,3,0,26.0
2020-04-09,7,0,21.1
2020-04-10,5,0,21.1
2020-04-11,0,0,17.1
2020-04-12,4,0,19.5
2020-04-13,6,0,22.7
2020-04-14,3,0,22.7
2020-04-15,4,0,23.6
2020-04-16,3,0,20.3
2020-04-17,7,0,21.9
2020-04-18,5,0,26.0
2020-04-19,7,0,28.4
2020-04-20,2,0,25.2
2020-04-21,2,0,24.4
2020-04-22,5,3,25.2
2020-04-23,5,2,26.8
2020-04-24,3,0,23.6
2020-04-25,1,2,20.3
2020-04-26,2,3,16.3
2020-04-27,3,0,17.0
2020-04-28,7,1,21.1
2020-04-29,10,0,25.1
2020-04-30,9,6,28.4
2020-05-01,6,0,30.8
2020-05-02,6,1,34.9
2020-05-03,0,4,33.3
2020-05-04,2,0,32.5
2020-05-05,1,1,27.6
2020-05-06,2,2,21.1
2020-05-07,3,0,16.3
2020-05-08,6,0,16.3
2020-05-09,3,1,13.8
2020-05-10,7,2,19.5
2020-05-11,4,1,21.1
2020-05-12,4,0,23.6
2020-05-13,2,0,23.6
2020-05-14,5,8,25.2
2020-05-15,4,3,23.5
2020-05-16,4,4,24.4
2020-05-17,1,0,19.5
2020-05-18,8,2,22.8
2020-05-19,2,1,21.1
2020-05-20,3,1,21.9
2020-05-21,0,3,17.8
2020-05-22,1,1,15.4
2020-05-23,3,1,14.6
2020-05-24,2,1,15.4
2020-05-25,1,0,9.7
2020-05-26,1,0,8.9
2020-05-27,6,0,11.4
2020-05-28,2,1,13.0
2020-05-29,0,0,12.2
2020-05-30,6,1,14.6
2020-05-31,1,3,13.8
2020-06-01,4,0,16.3
2020-06-02,1,0,16.3
2020-06-03,2,1,13.0
2020-06-04,6,0,16.3
2020-06-05,4,1,19.5
2020-06-06,3,2,17.1
2020-06-07,0,0,16.3
2020-06-08,1,0,13.8
2020-06-09,0,2,13.0
2020-06-10,4,0,14.6
2020-06-11,2,0,11.3
2020-06-12,0,1,8.1
2020-06-13,0,0,5.6
2020-06-14,1,0,6.5
2020-06-15,0,0,5.7
2020-06-16,2,0,7.3
2020-06-17,2,0,5.7
2020-06-18,2,1,5.7
2020-06-19,0,0,5.7
2020-06-20,1,0,6.5
2020-06-21,0,0,5.6
2020-06-22,0,0,5.6
2020-06-23,1,1,4.8
2020-06-24,1,0,4.1
2020-06-25,0,1,2.5
2020-06-26,0,0,2.5
2020-06-27,0,0,1.7
2020-06-28,0,0,1.7
2020-06-29,0,0,1.7
2020-06-30,2,0,2.5
2020-07-01,0,137,1.6
2020-07-02,0,0,1.6
2020-07-03,1,0,2.4
2020-07-04,0,1,2.4
2020-07-05,0,1,2.4
2020-07-06,0,0,2.4
2020-07-07,0,0,0.8
2020-07-08,0,0,0.8
2020-07-09,0,0,0.8
2020-07-10,1,0,0.8
2020-07-11,0,0,0.8
2020-07-12,0,0,0.8
2020-07-13,2,0,2.4
2020-07-14,3,1,4.9
2020-07-15,0,2,4.9
2020-07-16,3,1,7.3
2020-07-17,0,2,6.5
2020-07-18,0,2,6.5
2020-07-19,0,1,6.5
2020-07-20,3,0,7.3
2020-07-21,0,1,4.8
2020-07-22,0,0,4.8
2020-07-23,2,2,4.1
2020-07-24,2,0,5.7
2020-07-25,0,1,5.7
2020-07-26,0,2,5.7
2020-07-27,5,0,7.4
2020-07-28,2,2,9.0
2020-07-29,4,1,12.2
2020-07-30,4,2,13.8
2020-07-31,5,2,16.2
2020-08-01,3,5,18.7
2020-08-02,7,3,24.4
2020-08-03,8,9,26.8
2020-08-04,6,2,30.0
2020-08-05,2,7,28.5
2020-08-06,2,4,26.8
2020-08-07,11,4,31.7
2020-08-08,3,2,31.6
2020-08-09,1,7,26.8
2020-08-10,8,7,26.8
2020-08-11,6,5,26.8
2020-08-12,10,2,33.3
2020-08-13,1,0,32.5
2020-08-14,5,12,27.6
2020-08-15,3,3,27.7
2020-08-16,1,8,27.6
2020-08-17,12,5,30.8
2020-08-18,5,1,30.1
2020-08-19,3,1,24.3
2020-08-20,0,5,23.5
2020-08-21,2,9,21.1
