date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,2,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,1,0,1.2
2020-03-16,1,0,2.5
2020-03-17,0,0,2.5
2020-03-18,2,0,4.9
2020-03-19,0,0,4.9
2020-03-20,0,0,4.9
2020-03-21,3,0,8.7
2020-03-22,4,0,12.4
2020-03-23,7,0,19.8
2020-03-24,4,0,24.8
2020-03-25,3,0,26.1
2020-03-26,4,0,31.0
2020-03-27,6,0,38.5
2020-03-28,6,0,42.1
2020-03-29,7,0,45.9
2020-03-30,8,0,47.1
2020-03-31,6,0,49.6
2020-04-01,16,0,65.7
2020-04-02,10,0,73.2
2020-04-03,4,0,70.7
2020-04-04,2,0,65.8
2020-04-05,6,0,64.5
2020-04-06,14,0,72.0
2020-04-07,6,0,71.9
2020-04-08,9,0,63.3
2020-04-09,7,0,59.6
2020-04-10,6,0,62.0
2020-04-11,6,0,66.9
2020-04-12,9,0,70.7
2020-04-13,4,0,58.3
2020-04-14,7,0,59.5
2020-04-15,13,0,64.5
2020-04-16,4,0,60.7
2020-04-17,10,0,65.7
2020-04-18,4,0,63.3
2020-04-19,3,0,55.8
2020-04-20,3,0,54.5
2020-04-21,13,0,62.1
2020-04-22,5,1,52.1
2020-04-23,4,0,52.1
2020-04-24,9,4,50.9
2020-04-25,2,7,48.4
2020-04-26,1,0,45.9
2020-04-27,6,2,49.6
2020-04-28,6,1,40.9
2020-04-29,3,1,38.4
2020-04-30,5,2,39.7
2020-05-01,2,0,31.0
2020-05-02,1,2,29.7
2020-05-03,0,1,28.5
2020-05-04,4,0,26.1
2020-05-05,3,1,22.3
2020-05-06,0,1,18.6
2020-05-07,16,1,32.3
2020-05-08,2,0,32.2
2020-05-09,1,2,32.3
2020-05-10,5,0,38.5
2020-05-11,1,0,34.7
2020-05-12,5,0,37.2
2020-05-13,0,0,37.2
2020-05-14,1,0,18.6
2020-05-15,2,0,18.6
2020-05-16,2,1,19.8
2020-05-17,1,0,14.9
2020-05-18,0,0,13.7
2020-05-19,1,0,8.7
2020-05-20,0,0,8.7
2020-05-21,1,0,8.6
2020-05-22,1,0,7.5
2020-05-23,2,0,7.5
2020-05-24,0,0,6.2
2020-05-25,2,0,8.6
2020-05-26,0,0,7.4
2020-05-27,0,1,7.4
2020-05-28,2,0,8.7
2020-05-29,0,0,7.4
2020-05-30,1,0,6.2
2020-05-31,0,0,6.2
2020-06-01,0,0,3.8
2020-06-02,0,3,3.8
2020-06-03,0,0,3.8
2020-06-04,0,0,1.3
2020-06-05,2,0,3.7
2020-06-06,0,0,2.4
2020-06-07,1,0,3.7
2020-06-08,1,0,4.9
2020-06-09,0,1,4.9
2020-06-10,1,0,6.2
2020-06-11,1,0,7.4
2020-06-12,2,0,7.5
2020-06-13,0,0,7.5
2020-06-14,0,0,6.2
2020-06-15,1,1,6.2
2020-06-16,0,0,6.2
2020-06-17,1,0,6.2
2020-06-18,0,0,5.0
2020-06-19,1,0,3.7
2020-06-20,0,1,3.7
2020-06-21,0,0,3.7
2020-06-22,0,0,2.5
2020-06-23,1,0,3.8
2020-06-24,0,0,2.5
2020-06-25,0,0,2.5
2020-06-26,0,0,1.3
2020-06-27,0,0,1.3
2020-06-28,0,0,1.3
2020-06-29,1,0,2.5
2020-06-30,0,0,1.2
2020-07-01,0,119,1.2
2020-07-02,1,0,2.4
2020-07-03,0,1,2.4
2020-07-04,0,0,2.4
2020-07-05,0,0,2.4
2020-07-06,0,0,1.2
2020-07-07,3,1,5.0
2020-07-08,1,0,6.2
2020-07-09,0,3,5.0
2020-07-10,0,0,5.0
2020-07-11,1,0,6.2
2020-07-12,1,1,7.5
2020-07-13,0,1,7.5
2020-07-14,0,0,3.7
2020-07-15,1,1,3.7
2020-07-16,0,0,3.7
2020-07-17,0,1,3.7
2020-07-18,0,0,2.5
2020-07-19,0,0,1.2
2020-07-20,0,0,1.2
2020-07-21,1,0,2.5
2020-07-22,0,0,1.3
2020-07-23,0,0,1.3
2020-07-24,0,1,1.3
2020-07-25,1,0,2.5
2020-07-26,1,0,3.7
2020-07-27,0,1,3.7
2020-07-28,0,0,2.4
2020-07-29,1,0,3.7
2020-07-30,1,0,4.9
2020-07-31,0,0,4.9
2020-08-01,0,0,3.7
2020-08-02,0,0,2.5
2020-08-03,0,0,2.5
2020-08-04,0,1,2.5
2020-08-05,0,0,1.2
2020-08-06,0,0,0.0
2020-08-07,1,0,1.3
2020-08-08,0,0,1.3
2020-08-09,0,1,1.3
2020-08-10,0,0,1.3
2020-08-11,2,0,3.7
2020-08-12,1,1,5.0
2020-08-13,1,0,6.2
2020-08-14,1,1,6.2
2020-08-15,0,2,6.2
2020-08-16,0,0,6.2
2020-08-17,0,0,6.2
2020-08-18,1,0,5.0
2020-08-19,1,1,4.9
2020-08-20,0,0,3.7
2020-08-21,0,2,2.4
2020-08-22,0,0,2.4
2020-08-23,0,0,2.4
2020-08-24,2,0,4.9
2020-08-25,0,0,3.7
2020-08-26,2,2,5.0
2020-08-27,1,1,6.2
2020-08-28,4,1,11.2
2020-08-29,1,1,12.4
2020-08-30,1,3,13.7
2020-08-31,1,2,12.4
2020-09-01,1,0,13.7
2020-09-02,6,2,18.6
2020-09-03,2,2,19.9
2020-09-04,4,2,19.8
2020-09-05,1,1,19.9
2020-09-06,3,1,22.3
2020-09-07,4,3,26.1
2020-09-08,0,2,24.8
2020-09-09,0,3,17.4
2020-09-10,2,4,17.3
2020-09-11,1,1,13.7
2020-09-12,1,2,13.6
2020-09-13,0,2,9.9
2020-09-14,2,2,7.4
2020-09-15,1,0,8.6
2020-09-16,3,1,12.4
2020-09-17,2,3,12.5
2020-09-18,4,2,16.1
2020-09-19,0,3,14.9
