date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-16,1,0,0.0
2020-03-17,0,0,0.0
2020-03-18,2,0,2.0
2020-03-19,1,0,3.0
2020-03-20,0,0,3.0
2020-03-21,1,0,4.0
2020-03-22,0,0,4.0
2020-03-23,2,0,6.1
2020-03-24,2,0,8.1
2020-03-25,3,0,9.1
2020-03-26,8,0,16.2
2020-03-27,3,0,19.2
2020-03-28,7,0,25.2
2020-03-29,5,0,30.3
2020-03-30,3,0,31.2
2020-03-31,2,0,31.2
2020-04-01,2,0,30.2
2020-04-02,2,0,24.2
2020-04-03,4,0,25.2
2020-04-04,6,0,24.2
2020-04-05,8,0,27.2
2020-04-06,14,0,38.3
2020-04-07,10,0,46.4
2020-04-08,7,0,51.5
2020-04-09,10,0,59.4
2020-04-10,7,0,62.5
2020-04-11,6,0,62.5
2020-04-12,10,0,64.5
2020-04-13,7,0,57.5
2020-04-14,3,0,50.4
2020-04-15,13,0,56.4
2020-04-16,12,0,58.5
2020-04-17,7,0,58.5
2020-04-18,2,0,54.5
2020-04-19,7,0,51.4
2020-04-20,6,0,50.4
2020-04-21,1,0,48.4
2020-04-22,2,7,37.3
2020-04-23,3,1,28.2
2020-04-24,0,3,21.1
2020-04-25,3,1,22.2
2020-04-26,3,2,18.2
2020-04-27,1,0,13.1
2020-04-28,4,1,16.1
2020-04-29,2,1,16.1
2020-04-30,1,3,14.1
2020-05-01,3,3,17.2
2020-05-02,4,2,18.1
2020-05-03,4,1,19.1
2020-05-04,2,1,20.1
2020-05-05,5,5,21.2
2020-05-06,7,1,26.2
2020-05-07,3,3,28.3
2020-05-08,4,8,29.2
2020-05-09,4,0,29.2
2020-05-10,2,1,27.2
2020-05-11,5,4,30.3
2020-05-12,4,0,29.2
2020-05-13,3,1,25.2
2020-05-14,1,1,23.2
2020-05-15,4,3,23.2
2020-05-16,3,4,22.2
2020-05-17,1,0,21.2
2020-05-18,5,2,21.2
2020-05-19,20,1,37.3
2020-05-20,4,3,38.4
2020-05-21,6,5,43.3
2020-05-22,1,19,40.3
2020-05-23,2,5,39.3
2020-05-24,4,2,42.4
2020-05-25,3,0,40.3
2020-05-26,1,1,21.2
2020-05-27,2,0,19.1
2020-05-28,6,3,19.2
2020-05-29,2,0,20.2
2020-05-30,0,1,18.2
2020-05-31,0,4,14.1
2020-06-01,4,1,15.1
2020-06-02,0,0,14.1
2020-06-03,0,2,12.1
2020-06-04,2,1,8.0
2020-06-05,0,4,6.0
2020-06-06,1,2,7.0
2020-06-07,0,0,7.0
2020-06-08,0,0,3.0
2020-06-09,4,0,7.1
2020-06-10,2,0,9.1
2020-06-11,1,2,8.1
2020-06-12,0,2,8.1
2020-06-13,0,1,7.1
2020-06-14,0,0,7.1
2020-06-15,1,0,8.1
2020-06-16,1,0,5.0
2020-06-17,0,0,3.0
2020-06-18,0,0,2.0
2020-06-19,0,0,2.0
2020-06-20,0,0,2.0
2020-06-21,0,0,2.0
2020-06-22,0,0,1.0
2020-06-23,1,0,1.0
2020-06-24,0,0,1.0
2020-06-25,0,0,1.0
2020-06-26,1,0,2.0
2020-06-27,0,0,2.0
2020-06-28,0,0,2.0
2020-06-29,0,0,2.0
2020-06-30,0,0,1.0
2020-07-01,0,45,1.0
2020-07-02,0,0,1.0
2020-07-03,0,1,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,1,0,1.0
2020-07-11,0,0,1.0
2020-07-12,0,0,1.0
2020-07-13,0,0,1.0
2020-07-14,0,0,1.0
2020-07-15,0,0,1.0
2020-07-16,0,0,1.0
2020-07-17,0,0,0.0
2020-07-18,0,0,0.0
2020-07-19,0,1,0.0
2020-07-20,0,0,0.0
2020-07-21,1,0,1.0
2020-07-22,0,0,1.0
2020-07-23,0,0,1.0
2020-07-24,1,0,2.0
2020-07-25,0,0,2.0
2020-07-26,0,1,2.0
2020-07-27,0,0,2.0
2020-07-28,0,0,1.0
2020-07-29,0,0,1.0
2020-07-30,1,1,2.0
2020-07-31,0,0,1.0
2020-08-01,1,1,2.1
2020-08-02,3,0,5.1
2020-08-03,5,1,10.1
2020-08-04,4,3,14.2
2020-08-05,0,3,14.2
2020-08-06,1,4,14.2
2020-08-07,0,1,14.2
2020-08-08,0,0,13.1
2020-08-09,0,2,10.1
2020-08-10,3,1,8.1
2020-08-11,0,0,4.0
2020-08-12,1,0,5.0
2020-08-13,0,0,4.0
2020-08-14,0,1,4.0
2020-08-15,0,0,4.0
2020-08-16,0,3,4.0
2020-08-17,1,0,2.0
2020-08-18,0,0,2.0
2020-08-19,1,0,2.0
2020-08-20,1,0,3.0
2020-08-21,0,0,3.0
2020-08-22,0,2,3.0
2020-08-23,2,0,5.0
2020-08-24,10,0,14.1
2020-08-25,12,3,26.2
2020-08-26,1,9,26.2
2020-08-27,2,10,27.2
2020-08-28,4,2,31.3
2020-08-29,4,1,35.3
2020-08-30,3,6,36.3
2020-08-31,4,2,30.3
2020-09-01,1,2,19.2
2020-09-02,6,5,24.2
2020-09-03,1,1,23.2
2020-09-04,1,3,20.1
2020-09-05,0,5,16.1
2020-09-06,4,0,17.2
2020-09-07,1,2,14.1
2020-09-08,4,5,17.1
2020-09-09,1,0,12.1
2020-09-10,3,0,14.1
2020-09-11,0,1,13.1
2020-09-12,3,5,16.2
2020-09-13,3,3,15.1
2020-09-14,5,0,19.1
2020-09-15,4,2,19.2
2020-09-16,3,3,21.2
2020-09-17,0,2,18.2
2020-09-18,3,5,21.2
2020-09-19,2,3,20.1
2020-09-20,4,4,21.2
2020-09-21,7,1,23.2
2020-09-22,3,4,22.1
2020-09-23,11,9,30.2
2020-09-24,6,2,36.3
2020-09-25,8,10,41.3
2020-09-26,10,4,49.4
2020-09-27,17,7,62.5
2020-09-28,16,4,71.6
2020-09-29,23,12,91.8
2020-09-30,6,7,86.7
2020-10-01,18,5,98.8
2020-10-02,9,17,99.8
2020-10-03,4,16,93.8
2020-10-04,8,29,84.6
2020-10-05,10,10,78.6
2020-10-06,13,5,68.5
2020-10-07,5,16,67.6
2020-10-08,8,15,57.4
2020-10-09,11,15,59.5
2020-10-10,8,4,63.5
2020-10-11,2,2,57.5
2020-10-12,7,3,54.5
2020-10-13,17,14,58.5
2020-10-14,11,9,64.5
2020-10-15,29,11,85.7
2020-10-16,20,13,94.8
2020-10-17,5,19,91.7
2020-10-18,14,18,103.8
2020-10-19,16,17,112.9
2020-10-20,19,7,114.9
2020-10-21,18,33,122.0
2020-10-22,21,18,113.9
2020-10-23,32,9,126.0
2020-10-24,18,25,139.1
2020-10-25,19,28,144.2
2020-10-26,35,22,163.3
2020-10-27,21,19,165.3
2020-10-28,24,25,171.3
2020-10-29,23,30,173.4
2020-10-30,33,20,174.4
2020-10-31,14,28,170.4
2020-11-01,21,20,172.4
2020-11-02,26,26,163.3
2020-11-03,22,22,164.4
2020-11-04,20,26,160.3
2020-11-05,39,15,176.4
2020-11-06,19,21,162.3
2020-11-07,43,30,191.5
2020-11-08,28,21,198.6
2020-11-09,34,35,206.6
2020-11-10,41,46,225.8
2020-11-11,36,22,242.0
2020-11-12,14,42,216.8
2020-11-13,20,43,217.7
2020-11-14,8,24,182.5
2020-11-15,13,16,167.3
2020-11-16,30,0,163.3
2020-11-17,16,12,138.1
2020-11-18,10,22,111.9
2020-11-19,22,21,119.9
2020-11-20,6,13,105.9
2020-11-21,9,16,106.9
2020-11-22,10,11,103.8
2020-11-23,10,8,83.7
2020-11-24,8,14,75.6
2020-11-25,9,10,74.6
2020-11-26,15,12,67.6
2020-11-27,18,5,79.6
2020-11-28,10,10,80.6
2020-11-29,7,20,77.7
2020-11-30,32,9,99.8
2020-12-01,16,10,107.8
2020-12-02,25,15,123.9
2020-12-03,13,33,122.0
2020-12-04,24,18,128.0
2020-12-05,21,14,139.1
2020-12-06,9,29,141.1
2020-12-07,14,22,123.0
2020-12-08,31,5,138.2
2020-12-09,29,14,142.2
2020-12-10,24,29,153.2
2020-12-11,36,36,165.4
2020-12-12,10,19,154.3
2020-12-13,14,11,159.3
2020-12-14,43,40,188.5
2020-12-15,32,10,189.5
2020-12-16,24,31,184.5
2020-12-17,40,35,200.6
2020-12-18,34,26,198.6
2020-12-19,20,37,208.6
2020-12-20,17,13,211.7
2020-12-21,53,30,221.8
2020-12-22,40,27,229.8
2020-12-23,39,15,244.9
2020-12-24,27,61,231.8
2020-12-25,15,26,212.7
2020-12-26,36,27,228.9
2020-12-27,61,33,273.2
2020-12-28,62,59,282.3
2020-12-29,156,37,399.2
2020-12-30,115,82,475.8
2020-12-31,75,102,524.3
2021-01-01,43,80,552.4
2021-01-02,103,117,619.9
2021-01-03,76,93,635.0
2021-01-04,119,96,692.5
2021-01-05,89,53,625.0
2021-01-06,87,101,596.8
2021-01-07,68,51,589.7
2021-01-08,67,113,613.9
2021-01-09,47,97,557.5
2021-01-10,70,62,551.5
2021-01-11,95,50,527.2
2021-01-12,97,85,535.3
2021-01-13,76,72,524.2
2021-01-14,77,93,533.3
2021-01-15,81,112,547.4
2021-01-16,38,61,538.3
2021-01-17,63,55,531.2
2021-01-18,70,78,506.1
2021-01-19,89,73,498.0
2021-01-20,77,50,499.0
2021-01-21,77,51,499.0
2021-01-22,46,106,463.7
2021-01-23,26,86,451.6
2021-01-24,40,39,428.5
2021-01-25,79,48,437.5
2021-01-26,49,31,397.2
2021-01-27,61,51,381.1
2021-01-28,49,60,352.8
2021-01-29,36,73,342.8
2021-01-30,40,51,356.9
2021-01-31,32,33,348.8
2021-02-01,37,50,306.5
2021-02-02,37,35,294.4
2021-02-03,49,34,282.3
2021-02-04,24,38,257.1
2021-02-05,28,40,249.0
2021-02-06,21,34,229.8
2021-02-07,9,32,206.6
2021-02-08,12,24,181.4
2021-02-09,23,7,167.3
2021-02-10,12,11,130.0
2021-02-11,24,17,130.0
2021-02-12,23,22,125.0
2021-02-13,23,24,127.1
2021-02-14,10,15,128.0
2021-02-15,24,27,140.1
2021-02-16,17,15,134.1
2021-02-17,18,18,140.1
2021-02-18,24,22,140.1
2021-02-19,13,19,130.0
2021-02-20,10,20,116.9
2021-02-21,13,10,120.0
2021-02-22,13,15,108.9
2021-02-23,16,14,107.8
2021-02-24,17,5,106.9
2021-02-25,4,25,86.7
2021-02-26,7,14,80.7
2021-02-27,4,7,74.6
2021-02-28,3,5,64.5
2021-03-01,3,4,54.5
2021-03-02,6,5,44.4
2021-03-03,4,4,31.2
2021-03-04,2,5,29.3
2021-03-05,4,5,26.2
2021-03-06,0,1,22.2
2021-03-07,1,2,20.2
2021-03-08,3,1,20.1
2021-03-09,10,4,24.2
2021-03-10,6,7,26.2
2021-03-11,4,4,28.2
2021-03-12,1,11,25.2
2021-03-13,5,6,30.2
2021-03-14,3,0,32.2
2021-03-15,2,5,31.3
2021-03-16,4,3,25.2
2021-03-17,0,3,19.2
2021-03-18,4,2,19.1
2021-03-19,0,4,18.1
2021-03-20,0,2,13.1
2021-03-21,1,2,11.1
2021-03-22,1,1,10.0
2021-03-23,2,3,8.1
2021-03-24,2,2,10.1
2021-03-25,3,0,9.1
2021-03-26,3,3,12.1
2021-03-27,1,3,13.1
2021-03-28,2,3,14.2
2021-03-29,2,0,15.2
2021-03-30,1,3,14.1
2021-03-31,0,2,12.1
2021-04-01,1,0,10.1
2021-04-02,1,2,8.1
2021-04-03,3,0,10.1
2021-04-04,4,4,12.0
2021-04-05,0,1,10.0
2021-04-06,0,3,9.0
2021-04-07,1,0,10.1
2021-04-08,1,1,10.1
2021-04-09,1,0,10.1
2021-04-10,1,0,8.1
2021-04-11,4,0,8.1
2021-04-12,4,7,12.1
2021-04-13,4,2,16.2
2021-04-14,3,3,18.1
2021-04-15,0,5,17.1
2021-04-16,1,2,17.1
2021-04-17,2,1,18.1
2021-04-18,6,0,20.2
2021-04-19,1,5,17.2
2021-04-20,1,5,14.1
2021-04-21,4,1,15.1
2021-04-22,6,4,21.2
2021-04-23,3,4,23.2
2021-04-24,1,5,22.2
2021-04-25,0,1,16.1
2021-04-26,1,3,16.1
2021-04-27,1,1,16.1
2021-04-28,0,1,12.1
2021-04-29,1,1,7.0
2021-04-30,1,1,5.0
2021-05-01,4,0,8.1
2021-05-02,2,4,10.1
2021-05-03,2,3,11.1
2021-05-04,3,1,13.1
2021-05-05,5,2,18.2
2021-05-06,3,4,20.2
2021-05-07,4,7,23.2
2021-05-08,1,3,20.1
2021-05-09,7,4,25.2
2021-05-10,2,2,25.2
2021-05-11,0,9,22.2
2021-05-12,2,0,19.1
2021-05-13,3,1,19.1
2021-05-14,0,3,15.1
2021-05-15,0,3,14.1
2021-05-16,0,2,7.0
2021-05-17,1,1,6.1
2021-05-18,1,0,7.1
2021-05-19,2,0,7.1
2021-05-20,0,3,4.1
2021-05-21,1,0,5.1
2021-05-22,0,0,5.1
2021-05-23,0,1,5.1
2021-05-24,0,2,4.0
2021-05-25,2,0,5.0
2021-05-26,0,0,3.0
2021-05-27,4,2,7.0
2021-05-28,1,3,7.0
2021-05-29,1,2,8.0
2021-05-30,1,0,9.1
2021-05-31,1,3,10.1
2021-06-01,0,0,8.1
2021-06-02,3,1,11.1
2021-06-03,0,1,7.1
2021-06-04,0,3,6.1
2021-06-05,2,0,7.1
2021-06-06,1,0,7.0
2021-06-07,1,2,7.0
2021-06-08,0,1,7.0
2021-06-09,3,2,7.0
2021-06-10,2,1,9.1
2021-06-11,1,3,10.1
2021-06-12,1,2,9.1
2021-06-13,1,1,9.1
2021-06-14,0,1,8.1
2021-06-15,2,0,10.1
2021-06-16,1,1,8.1
2021-06-17,0,2,6.0
2021-06-18,0,1,5.0
2021-06-19,2,0,6.0
2021-06-20,1,1,6.0
2021-06-21,4,2,10.1
2021-06-22,0,0,8.1
2021-06-23,1,2,8.1
2021-06-24,4,2,12.1
2021-06-25,8,4,20.2
2021-06-26,1,5,19.2
