date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,1,0,0.0
2020-03-03,2,0,0.4
2020-03-04,0,0,0.4
2020-03-05,0,0,0.4
2020-03-06,1,0,0.6
2020-03-07,2,0,1.0
2020-03-08,0,0,1.0
2020-03-09,0,0,1.0
2020-03-10,1,0,0.8
2020-03-11,0,0,0.8
2020-03-12,3,0,1.4
2020-03-13,4,0,2.0
2020-03-14,2,0,2.0
2020-03-15,1,0,2.2
2020-03-16,3,0,2.8
2020-03-17,4,0,3.4
2020-03-18,9,0,5.2
2020-03-19,6,0,5.8
2020-03-20,10,0,7.0
2020-03-21,14,0,9.4
2020-03-22,13,0,11.8
2020-03-23,18,0,14.8
2020-03-24,26,0,19.2
2020-03-25,24,0,22.2
2020-03-26,34,0,27.8
2020-03-27,27,0,31.2
2020-03-28,27,0,33.8
2020-03-29,36,0,38.3
2020-03-30,43,0,43.3
2020-03-31,42,0,46.5
2020-04-01,48,0,51.3
2020-04-02,55,0,55.5
2020-04-03,60,0,62.1
2020-04-04,48,0,66.3
2020-04-05,46,0,68.4
2020-04-06,51,0,70.0
2020-04-07,66,0,74.8
2020-04-08,76,0,80.3
2020-04-09,66,0,82.5
2020-04-10,34,0,77.3
2020-04-11,40,0,75.7
2020-04-12,35,0,73.5
2020-04-13,37,0,70.7
2020-04-14,30,0,63.5
2020-04-15,44,0,57.2
2020-04-16,54,0,54.8
2020-04-17,36,18,55.2
2020-04-18,46,41,56.4
2020-04-19,28,50,55.0
2020-04-20,44,26,56.4
2020-04-21,42,27,58.7
2020-04-22,53,38,60.5
2020-04-23,33,24,56.3
2020-04-24,38,23,56.7
2020-04-25,43,21,56.1
2020-04-26,19,30,54.3
2020-04-27,38,25,53.1
2020-04-28,38,12,52.4
2020-04-29,47,18,51.2
2020-04-30,39,29,52.4
2020-05-01,43,11,53.4
2020-05-02,30,25,50.8
2020-05-03,30,26,53.0
2020-05-04,19,13,49.2
2020-05-05,31,16,47.8
2020-05-06,23,14,42.9
2020-05-07,23,3,39.7
2020-05-08,26,3,36.3
2020-05-09,14,1,33.1
2020-05-10,16,4,30.3
2020-05-11,17,1,29.9
2020-05-12,39,3,31.5
2020-05-13,23,3,31.6
2020-05-14,13,5,29.6
2020-05-15,31,6,30.6
2020-05-16,7,12,29.2
2020-05-17,10,11,28.0
2020-05-18,10,9,26.6
2020-05-19,15,0,21.8
2020-05-20,16,6,20.4
2020-05-21,14,8,20.6
2020-05-22,9,4,16.2
2020-05-23,14,5,17.6
2020-05-24,22,10,20.0
2020-05-25,14,1,20.8
2020-05-26,16,10,21.0
2020-05-27,18,5,21.4
2020-05-28,13,0,21.2
2020-05-29,7,8,20.8
2020-05-30,11,9,20.2
2020-05-31,6,4,17.0
2020-06-01,6,2,15.4
2020-06-02,6,1,13.4
2020-06-03,7,3,11.2
2020-06-04,11,0,10.8
2020-06-05,5,2,10.4
2020-06-06,4,2,9.0
2020-06-07,4,2,8.6
2020-06-08,2,0,7.8
2020-06-09,2,2,7.0
2020-06-10,6,0,6.8
2020-06-11,6,3,5.8
2020-06-12,6,18,6.0
2020-06-13,6,2,6.4
2020-06-14,3,0,6.2
2020-06-15,4,4,6.6
2020-06-16,5,4,7.2
2020-06-17,13,0,8.6
2020-06-18,2,2,7.8
2020-06-19,2,2,7.0
2020-06-20,1,5,6.0
2020-06-21,6,0,6.6
2020-06-22,9,1,7.5
2020-06-23,4,1,7.3
2020-06-24,6,3,5.9
2020-06-25,7,0,6.9
2020-06-26,2,3,6.9
2020-06-27,6,0,7.9
2020-06-28,7,5,8.1
2020-06-29,13,0,9.0
2020-06-30,6,3,9.4
2020-07-01,8,723,9.8
2020-07-02,10,6,10.4
2020-07-03,7,9,11.4
2020-07-04,1,6,10.4
2020-07-05,9,13,10.8
2020-07-06,3,4,8.8
2020-07-07,4,3,8.4
2020-07-08,4,5,7.6
2020-07-09,3,0,6.2
2020-07-10,1,4,5.0
2020-07-11,4,3,5.6
2020-07-12,3,5,4.4
2020-07-13,4,2,4.6
2020-07-14,1,5,4.0
2020-07-15,1,4,3.4
2020-07-16,3,0,3.4
2020-07-17,3,4,3.8
2020-07-18,4,1,3.8
2020-07-19,1,0,3.4
2020-07-20,2,7,3.0
2020-07-21,7,1,4.2
2020-07-22,12,0,6.4
2020-07-23,0,4,5.8
2020-07-24,4,8,6.0
2020-07-25,6,7,6.4
2020-07-26,13,0,8.8
2020-07-27,15,8,11.4
2020-07-28,2,10,10.4
2020-07-29,16,10,11.2
2020-07-30,7,11,12.6
2020-07-31,14,15,14.6
2020-08-01,4,4,14.2
2020-08-02,9,10,13.4
2020-08-03,10,15,12.4
2020-08-04,6,5,13.2
2020-08-05,14,13,12.8
2020-08-06,10,5,13.4
2020-08-07,7,13,12.0
2020-08-08,8,4,12.8
2020-08-09,4,6,11.8
2020-08-10,17,8,13.2
2020-08-11,7,9,13.4
2020-08-12,7,11,12.0
2020-08-13,12,0,12.4
2020-08-14,11,20,13.2
2020-08-15,3,6,12.2
2020-08-16,9,14,13.2
2020-08-17,22,10,14.2
2020-08-18,14,2,15.6
2020-08-19,18,14,17.8
2020-08-20,8,19,17.0
2020-08-21,15,16,17.8
2020-08-22,8,10,18.8
2020-08-23,4,13,17.8
2020-08-24,12,5,15.8
2020-08-25,10,9,15.0
2020-08-26,11,11,13.6
2020-08-27,9,13,13.8
2020-08-28,20,10,14.8
2020-08-29,10,16,15.1
2020-08-30,14,17,17.1
2020-08-31,16,14,17.9
2020-09-01,16,7,19.1
2020-09-02,36,14,24.1
2020-09-03,46,18,31.5
2020-09-04,62,22,39.9
2020-09-05,63,18,50.6
2020-09-06,35,51,54.8
2020-09-07,65,72,64.6
2020-09-08,59,35,73.2
2020-09-09,92,43,84.4
2020-09-10,91,58,93.3
2020-09-11,86,39,98.1
2020-09-12,74,80,100.3
2020-09-13,78,107,108.9
2020-09-14,80,64,111.9
2020-09-15,92,86,118.5
2020-09-16,123,136,124.6
2020-09-17,161,78,138.7
2020-09-18,171,141,155.7
2020-09-19,167,110,174.2
2020-09-20,186,171,195.8
2020-09-21,166,153,213.0
2020-09-22,206,134,235.7
2020-09-23,247,132,260.6
2020-09-24,258,264,279.9
2020-09-25,277,264,301.1
2020-09-26,269,183,321.5
2020-09-27,290,203,342.3
2020-09-28,422,158,393.4
2020-09-29,436,205,439.4
2020-09-30,519,274,493.7
2020-10-01,555,272,553.1
2020-10-02,463,255,590.2
2020-10-03,397,433,615.9
2020-10-04,451,899,648.0
2020-10-05,593,428,682.2
2020-10-06,636,541,722.1
2020-10-07,622,430,742.7
2020-10-08,643,579,760.3
2020-10-09,463,332,760.3
2020-10-10,347,437,750.2
2020-10-11,352,420,730.5
2020-10-12,573,609,726.5
2020-10-13,491,503,697.6
2020-10-14,427,448,658.6
2020-10-15,449,625,619.8
2020-10-16,373,297,601.8
2020-10-17,313,467,595.1
2020-10-18,253,412,575.2
2020-10-19,526,478,565.8
2020-10-20,400,444,547.7
2020-10-21,360,507,534.3
2020-10-22,345,340,513.5
2020-10-23,290,299,497.0
2020-10-24,204,323,475.1
2020-10-25,194,309,463.4
2020-10-26,317,295,421.6
2020-10-27,294,389,400.4
2020-10-28,245,282,377.4
2020-10-29,248,295,358.1
2020-10-30,238,297,347.6
2020-10-31,139,256,334.7
2020-11-01,134,204,322.7
2020-11-02,259,192,311.1
2020-11-03,217,175,295.7
2020-11-04,175,212,281.8
2020-11-05,189,258,269.9
2020-11-06,220,147,266.4
