date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-14,1,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,1,0,0.9
2020-03-18,1,0,1.8
2020-03-19,0,0,1.8
2020-03-20,0,0,1.8
2020-03-21,0,0,1.8
2020-03-22,0,0,1.8
2020-03-23,0,0,1.8
2020-03-24,2,0,2.7
2020-03-25,2,0,3.6
2020-03-26,1,0,4.5
2020-03-27,2,0,6.3
2020-03-28,3,0,9.1
2020-03-29,5,0,13.6
2020-03-30,0,0,13.6
2020-03-31,0,0,11.8
2020-04-01,4,0,13.6
2020-04-02,2,0,14.5
2020-04-03,3,0,15.4
2020-04-04,4,0,16.2
2020-04-05,4,0,15.4
2020-04-06,12,0,26.2
2020-04-07,12,0,37.1
2020-04-08,4,0,37.1
2020-04-09,5,0,39.8
2020-04-10,6,0,42.5
2020-04-11,4,0,42.5
2020-04-12,6,0,44.3
2020-04-13,4,0,37.1
2020-04-14,6,0,31.6
2020-04-15,6,0,33.4
2020-04-16,6,0,34.4
2020-04-17,8,0,36.2
2020-04-18,9,0,40.7
2020-04-19,5,0,39.8
2020-04-20,8,0,43.4
2020-04-21,12,0,48.9
2020-04-22,13,4,55.2
2020-04-23,13,10,61.5
2020-04-24,11,11,64.2
2020-04-25,13,4,67.9
2020-04-26,7,3,69.6
2020-04-27,7,5,68.7
2020-04-28,11,5,67.8
2020-04-29,12,2,66.9
2020-04-30,7,4,61.5
2020-05-01,5,7,56.1
2020-05-02,4,8,47.9
2020-05-03,9,2,49.7
2020-05-04,10,1,52.5
2020-05-05,2,1,44.3
2020-05-06,2,5,35.3
2020-05-07,8,3,36.1
2020-05-08,6,0,37.1
2020-05-09,6,1,38.9
2020-05-10,2,0,32.6
2020-05-11,6,1,28.9
2020-05-12,6,0,32.6
2020-05-13,2,12,32.6
2020-05-14,3,0,28.1
2020-05-15,2,1,24.4
2020-05-16,0,0,19.0
2020-05-17,0,0,17.2
2020-05-18,14,0,24.4
2020-05-19,16,0,33.4
2020-05-20,0,0,31.6
2020-05-21,3,0,31.6
2020-05-22,3,0,32.5
2020-05-23,2,8,34.4
2020-05-24,0,2,34.4
2020-05-25,0,0,21.8
2020-05-26,3,0,10.0
2020-05-27,1,0,10.9
2020-05-28,3,1,10.9
2020-05-29,2,0,10.0
2020-05-30,3,0,10.8
2020-05-31,4,0,14.4
2020-06-01,1,1,15.3
2020-06-02,6,0,18.1
2020-06-03,3,0,19.9
2020-06-04,2,0,19.0
2020-06-05,2,0,19.0
2020-06-06,3,0,19.0
2020-06-07,0,0,15.4
2020-06-08,0,0,14.5
2020-06-09,0,0,9.0
2020-06-10,0,0,6.3
2020-06-11,0,0,4.5
2020-06-12,0,0,2.7
2020-06-13,0,0,0.0
2020-06-14,0,0,0.0
2020-06-15,1,0,0.9
2020-06-16,0,0,0.9
2020-06-17,3,0,3.6
2020-06-18,0,1,3.6
2020-06-19,1,0,4.5
2020-06-20,1,0,5.4
2020-06-21,0,0,5.4
2020-06-22,0,0,4.5
2020-06-23,0,0,4.5
2020-06-24,0,2,1.8
2020-06-25,0,0,1.8
2020-06-26,0,0,0.9
2020-06-27,1,0,0.9
2020-06-28,0,0,0.9
2020-06-29,1,0,1.8
2020-06-30,1,0,2.7
2020-07-01,0,173,2.7
2020-07-02,0,1,2.7
2020-07-03,0,1,2.7
2020-07-04,0,0,1.8
2020-07-05,1,0,2.7
2020-07-06,0,0,1.8
2020-07-07,0,0,0.9
2020-07-08,0,0,0.9
2020-07-09,0,0,0.9
2020-07-10,2,0,2.8
2020-07-11,0,1,2.8
2020-07-12,3,1,4.6
2020-07-13,3,0,7.3
2020-07-14,0,2,7.3
2020-07-15,1,0,8.2
2020-07-16,1,1,9.1
2020-07-17,1,3,8.1
2020-07-18,0,0,8.1
2020-07-19,1,1,6.3
2020-07-20,0,0,3.6
2020-07-21,1,0,4.5
2020-07-22,1,1,4.5
2020-07-23,0,3,3.6
2020-07-24,0,1,2.7
2020-07-25,1,0,3.6
2020-07-26,0,0,2.7
2020-07-27,1,0,3.6
2020-07-28,0,1,2.7
2020-07-29,1,1,2.7
2020-07-30,0,1,2.7
2020-07-31,0,0,2.7
2020-08-01,0,1,1.8
2020-08-02,1,0,2.7
2020-08-03,1,0,2.7
2020-08-04,0,1,2.7
2020-08-05,1,1,2.7
2020-08-06,1,0,3.6
2020-08-07,0,0,3.6
2020-08-08,0,0,3.6
2020-08-09,0,0,2.7
2020-08-10,1,0,2.7
2020-08-11,0,1,2.7
2020-08-12,1,1,2.7
2020-08-13,1,0,2.7
2020-08-14,1,0,3.7
2020-08-15,0,0,3.7
2020-08-16,1,0,4.6
2020-08-17,0,1,3.7
2020-08-18,2,1,5.5
2020-08-19,1,1,5.5
2020-08-20,0,0,4.6
2020-08-21,1,1,4.5
2020-08-22,0,0,4.5
2020-08-23,0,2,3.6
2020-08-24,3,0,6.3
2020-08-25,0,0,4.5
2020-08-26,0,1,3.6
2020-08-27,1,2,4.5
2020-08-28,3,2,6.3
2020-08-29,0,0,6.3
2020-08-30,1,2,7.2
2020-08-31,0,0,4.5
2020-09-01,4,2,8.1
2020-09-02,3,1,10.8
2020-09-03,13,1,21.7
2020-09-04,5,2,23.5
2020-09-05,6,8,28.9
2020-09-06,2,7,29.9
2020-09-07,4,5,33.5
2020-09-08,6,4,35.3
2020-09-09,1,8,33.5
2020-09-10,2,6,23.5
2020-09-11,1,0,19.9
2020-09-12,5,2,19.0
2020-09-13,0,2,17.1
2020-09-14,6,2,19.0
2020-09-15,8,4,20.8
2020-09-16,7,1,26.2
2020-09-17,3,5,27.1
2020-09-18,7,5,32.6
2020-09-19,2,2,29.9
2020-09-20,1,6,30.8
2020-09-21,8,6,32.5
2020-09-22,7,3,31.7
2020-09-23,5,2,29.9
2020-09-24,1,12,28.1
2020-09-25,8,5,28.9
2020-09-26,0,2,27.1
2020-09-27,1,5,27.1
2020-09-28,1,3,20.8
2020-09-29,2,3,16.2
2020-09-30,5,1,16.3
2020-10-01,6,2,20.8
2020-10-02,1,2,14.5
2020-10-03,1,4,15.4
2020-10-04,5,7,19.0
2020-10-05,2,6,19.9
2020-10-06,4,6,21.7
2020-10-07,4,4,20.8
2020-10-08,4,7,19.0
2020-10-09,3,5,20.8
2020-10-10,1,2,20.8
2020-10-11,2,4,18.1
2020-10-12,2,1,18.1
2020-10-13,6,6,19.9
2020-10-14,10,8,25.3
2020-10-15,4,3,25.3
2020-10-16,14,8,35.3
2020-10-17,2,8,36.2
2020-10-18,2,4,36.2
2020-10-19,12,8,45.2
2020-10-20,22,11,59.7
2020-10-21,6,13,56.1
2020-10-22,18,14,68.7
2020-10-23,13,19,67.8
2020-10-24,9,8,74.1
2020-10-25,6,15,77.8
2020-10-26,16,11,81.4
2020-10-27,14,15,74.2
2020-10-28,19,12,85.9
2020-10-29,19,11,86.9
2020-10-30,16,17,89.5
2020-10-31,14,8,94.1
2020-11-01,6,26,94.0
