date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,2,0,1.8
2020-03-13,1,0,2.7
2020-03-14,0,0,2.7
2020-03-15,0,0,2.7
2020-03-16,0,0,2.7
2020-03-17,2,0,4.4
2020-03-18,0,0,4.4
2020-03-19,1,0,3.5
2020-03-20,1,0,3.5
2020-03-21,4,0,7.1
2020-03-22,4,0,10.6
2020-03-23,2,0,12.4
2020-03-24,10,0,19.6
2020-03-25,8,0,26.7
2020-03-26,6,0,31.1
2020-03-27,10,0,39.1
2020-03-28,6,0,40.8
2020-03-29,6,0,42.6
2020-03-30,10,0,49.7
2020-03-31,7,0,47.0
2020-04-01,7,0,46.1
2020-04-02,5,0,45.3
2020-04-03,7,0,42.6
2020-04-04,5,0,41.7
2020-04-05,3,0,39.1
2020-04-06,9,0,38.2
2020-04-07,8,0,39.1
2020-04-08,10,0,41.8
2020-04-09,3,0,39.9
2020-04-10,6,0,39.1
2020-04-11,1,0,35.6
2020-04-12,5,0,37.3
2020-04-13,6,0,34.6
2020-04-14,8,0,34.6
2020-04-15,9,0,33.7
2020-04-16,9,0,39.1
2020-04-17,14,0,46.2
2020-04-18,4,0,48.8
2020-04-19,6,0,49.7
2020-04-20,7,0,50.6
2020-04-21,5,0,48.0
2020-04-22,3,0,42.7
2020-04-23,4,0,38.2
2020-04-24,3,0,28.4
2020-04-25,4,0,28.4
2020-04-26,5,0,27.6
2020-04-27,5,0,25.8
2020-04-28,6,0,26.6
2020-04-29,4,0,27.5
2020-04-30,5,0,28.4
2020-05-01,9,0,33.7
2020-05-02,9,0,38.2
2020-05-03,5,0,38.1
2020-05-04,10,0,42.6
2020-05-05,5,0,41.8
2020-05-06,10,0,47.0
2020-05-07,9,0,50.6
2020-05-08,6,0,48.0
2020-05-09,10,0,48.8
2020-05-10,3,0,47.1
2020-05-11,3,0,40.9
2020-05-12,5,0,40.8
2020-05-13,6,0,37.3
2020-05-14,3,0,32.0
2020-05-15,6,0,31.9
2020-05-16,5,0,27.6
2020-05-17,2,0,26.7
2020-05-18,2,0,25.7
2020-05-19,0,0,21.3
2020-05-20,3,0,18.7
2020-05-21,2,0,17.8
2020-05-22,2,0,14.2
2020-05-23,0,0,9.7
2020-05-24,2,0,9.7
2020-05-25,6,0,13.3
2020-05-26,15,0,26.7
2020-05-27,2,0,25.7
2020-05-28,0,0,23.9
2020-05-29,0,0,22.2
2020-05-30,1,0,23.1
2020-05-31,0,0,21.3
2020-06-01,0,0,16.0
2020-06-02,1,0,3.5
2020-06-03,1,0,2.7
2020-06-04,0,0,2.7
2020-06-05,0,0,2.7
2020-06-06,0,0,1.8
2020-06-07,0,0,1.8
2020-06-08,0,0,1.8
2020-06-09,0,0,0.9
2020-06-10,0,0,0.0
2020-06-11,0,0,0.0
2020-06-12,0,0,0.0
2020-06-13,0,0,0.0
2020-06-14,0,0,0.0
2020-06-15,0,0,0.0
2020-06-16,0,0,0.0
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,0,0,0.0
2020-06-26,0,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,1,0,0.9
2020-07-02,0,0,0.9
2020-07-03,0,0,0.9
2020-07-04,0,0,0.9
2020-07-05,0,0,0.9
2020-07-06,0,0,0.9
2020-07-07,0,0,0.9
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,1,0,0.9
2020-07-12,0,0,0.9
2020-07-13,0,0,0.9
2020-07-14,0,0,0.9
2020-07-15,0,0,0.9
2020-07-16,0,0,0.9
2020-07-17,0,0,0.9
2020-07-18,0,0,0.0
2020-07-19,1,0,0.9
2020-07-20,0,0,0.9
2020-07-21,0,0,0.9
2020-07-22,0,0,0.9
2020-07-23,0,0,0.9
2020-07-24,0,0,0.9
2020-07-25,0,0,0.9
2020-07-26,0,0,0.0
2020-07-27,0,0,0.0
2020-07-28,0,0,0.0
2020-07-29,0,0,0.0
2020-07-30,0,0,0.0
2020-07-31,0,0,0.0
2020-08-01,0,0,0.0
2020-08-02,0,0,0.0
2020-08-03,1,0,0.9
2020-08-04,0,0,0.9
2020-08-05,0,1,0.9
2020-08-06,1,0,1.7
2020-08-07,0,0,1.7
2020-08-08,0,1,1.7
2020-08-09,0,0,1.7
2020-08-10,0,0,0.8
2020-08-11,1,0,1.7
2020-08-12,1,0,2.6
2020-08-13,0,1,1.8
2020-08-14,0,0,1.8
2020-08-15,0,0,1.8
2020-08-16,0,1,1.8
2020-08-17,1,0,2.7
2020-08-18,0,0,1.8
2020-08-19,0,3,0.9
2020-08-20,1,0,1.8
2020-08-21,1,0,2.7
2020-08-22,1,0,3.6
2020-08-23,4,1,7.1
2020-08-24,0,0,6.2
2020-08-25,2,2,8.0
2020-08-26,8,1,15.1
2020-08-27,4,1,17.8
2020-08-28,2,4,18.6
2020-08-29,3,3,20.4
2020-08-30,4,7,20.5
2020-08-31,2,4,22.2
2020-09-01,2,4,22.2
2020-09-02,5,2,19.5
2020-09-03,6,3,21.3
2020-09-04,4,4,23.1
2020-09-05,2,6,22.2
2020-09-06,3,4,21.3
2020-09-07,3,3,22.2
2020-09-08,4,2,24.0
2020-09-09,7,5,25.8
2020-09-10,1,2,21.3
2020-09-11,3,5,20.4
2020-09-12,3,1,21.3
2020-09-13,1,4,19.5
2020-09-14,5,4,21.3
2020-09-15,3,5,20.4
2020-09-16,4,3,17.8
2020-09-17,1,3,17.7
2020-09-18,1,4,16.0
2020-09-19,0,1,13.3
2020-09-20,1,1,13.3
2020-09-21,6,1,14.3
2020-09-22,6,3,16.9
2020-09-23,7,7,19.5
2020-09-24,11,4,28.5
2020-09-25,10,7,36.4
2020-09-26,7,13,42.7
2020-09-27,2,7,43.5
2020-09-28,4,0,41.7
2020-09-29,2,9,38.2
2020-09-30,10,3,40.8
2020-10-01,14,4,43.5
2020-10-02,10,10,43.6
2020-10-03,10,16,46.1
2020-10-04,3,8,47.1
2020-10-05,9,8,51.5
2020-10-06,12,2,60.3
2020-10-07,8,11,58.7
2020-10-08,19,11,63.0
2020-10-09,21,12,72.8
2020-10-10,17,13,79.1
2020-10-11,13,23,87.9
2020-10-12,20,15,97.7
2020-10-13,40,17,122.6
2020-10-14,27,15,139.4
2020-10-15,24,36,143.9
2020-10-16,17,26,140.3
2020-10-17,12,30,135.8
2020-10-18,13,4,135.9
2020-10-19,20,9,135.8
2020-10-20,29,26,126.1
2020-10-21,41,25,138.5
2020-10-22,36,33,149.2
2020-10-23,33,24,163.4
2020-10-24,16,42,167.0
2020-10-25,16,39,169.6
2020-10-26,23,20,172.3
2020-10-27,28,14,171.4
2020-10-28,16,24,149.2
2020-10-29,39,32,151.8
2020-10-30,17,16,137.6
2020-10-31,28,38,148.3
2020-11-01,43,22,172.3
2020-11-02,27,30,175.8
2020-11-03,36,49,182.9
2020-11-04,27,21,192.7
2020-11-05,21,34,176.7
2020-11-06,24,20,183.0
2020-11-07,14,23,170.5
2020-11-08,24,31,153.6
2020-11-09,40,17,165.2
2020-11-10,16,25,147.4
2020-11-11,39,27,158.1
2020-11-12,17,23,154.6
2020-11-13,31,32,160.7
2020-11-14,29,18,174.0
2020-11-15,14,35,165.2
2020-11-16,28,21,154.5
2020-11-17,26,30,163.4
2020-11-18,32,18,157.1
2020-11-19,13,30,153.6
2020-11-20,11,26,135.9
2020-11-21,18,12,126.1
2020-11-22,13,5,125.2
2020-11-23,30,25,127.0
2020-11-24,33,18,133.2
2020-11-25,15,29,118.1
2020-11-26,16,0,120.8
2020-11-27,19,48,127.8
2020-11-28,12,14,122.6
2020-11-29,14,14,123.4
2020-11-30,17,18,111.9
2020-12-01,17,18,97.7
2020-12-02,19,16,101.3
2020-12-03,15,16,100.3
2020-12-04,13,20,95.0
2020-12-05,14,12,96.8
2020-12-06,11,16,94.1
2020-12-07,25,15,101.2
2020-12-08,22,19,105.7
2020-12-09,30,13,115.4
2020-12-10,9,19,110.1
2020-12-11,14,31,111.0
2020-12-12,21,23,117.2
2020-12-13,25,11,129.7
2020-12-14,14,22,119.9
2020-12-15,24,20,121.6
2020-12-16,11,16,104.8
2020-12-17,21,10,115.5
2020-12-18,19,9,119.9
2020-12-19,7,20,107.4
2020-12-20,11,13,95.0
2020-12-21,24,21,103.9
2020-12-22,18,18,98.6
2020-12-23,18,26,104.8
2020-12-24,16,17,100.3
2020-12-25,10,0,92.4
2020-12-26,19,0,103.1
2020-12-27,22,0,112.8
2020-12-28,16,0,105.7
2020-12-29,55,84,138.5
2020-12-30,48,25,165.2
2020-12-31,29,55,176.7
2021-01-01,32,0,196.2
2021-01-02,40,0,214.9
2021-01-03,43,0,233.5
2021-01-04,55,0,268.2
2021-01-05,57,193,270.0
2021-01-06,38,58,261.0
2021-01-07,38,47,269.1
2021-01-08,41,32,277.1
2021-01-09,27,31,265.5
2021-01-10,37,37,260.2
2021-01-11,38,34,245.1
2021-01-12,34,44,224.7
2021-01-13,38,32,224.7
2021-01-14,43,36,229.1
2021-01-15,45,41,232.7
2021-01-16,25,47,230.9
2021-01-17,30,43,224.7
