date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,2,0,1.7
2020-03-14,1,0,2.5
2020-03-15,0,0,2.5
2020-03-16,1,0,3.3
2020-03-17,2,0,5.0
2020-03-18,1,0,5.8
2020-03-19,1,0,6.6
2020-03-20,1,0,5.7
2020-03-21,0,0,4.9
2020-03-22,0,0,4.9
2020-03-23,2,0,5.8
2020-03-24,1,0,4.9
2020-03-25,4,0,7.4
2020-03-26,9,0,14.0
2020-03-27,4,0,16.5
2020-03-28,2,0,18.2
2020-03-29,7,0,23.9
2020-03-30,4,0,25.5
2020-03-31,7,0,30.5
2020-04-01,3,0,29.7
2020-04-02,1,0,23.1
2020-04-03,12,0,29.7
2020-04-04,2,0,29.6
2020-04-05,2,0,25.6
2020-04-06,3,0,24.7
2020-04-07,8,0,25.5
2020-04-08,3,0,25.5
2020-04-09,5,0,28.8
2020-04-10,0,0,18.9
2020-04-11,4,0,20.6
2020-04-12,1,0,19.7
2020-04-13,5,0,21.4
2020-04-14,5,0,19.0
2020-04-15,3,0,18.9
2020-04-16,14,0,26.4
2020-04-17,6,0,31.3
2020-04-18,7,0,33.8
2020-04-19,4,0,36.3
2020-04-20,5,0,36.3
2020-04-21,6,0,37.0
2020-04-22,11,5,43.7
2020-04-23,16,3,45.3
2020-04-24,6,0,45.3
2020-04-25,5,5,43.6
2020-04-26,4,4,43.6
2020-04-27,7,3,45.3
2020-04-28,7,0,46.1
2020-04-29,5,0,41.2
2020-04-30,4,10,31.3
2020-05-01,9,0,33.8
2020-05-02,1,2,30.5
2020-05-03,1,0,28.0
2020-05-04,1,0,23.0
2020-05-05,3,1,19.8
2020-05-06,2,0,17.3
2020-05-07,4,2,17.2
2020-05-08,2,1,11.5
2020-05-09,2,4,12.3
2020-05-10,1,1,12.4
2020-05-11,16,0,24.7
2020-05-12,8,1,28.8
2020-05-13,6,2,32.1
2020-05-14,3,3,31.3
2020-05-15,8,4,36.2
2020-05-16,5,4,38.8
2020-05-17,1,4,38.7
2020-05-18,2,1,27.2
2020-05-19,1,2,21.4
2020-05-20,1,0,17.3
2020-05-21,11,1,23.9
2020-05-22,7,1,23.1
2020-05-23,0,6,18.9
2020-05-24,2,0,19.7
2020-05-25,2,0,19.8
2020-05-26,12,0,28.9
2020-05-27,1,0,28.8
2020-05-28,4,3,23.1
2020-05-29,1,1,18.1
2020-05-30,2,0,19.8
2020-05-31,3,0,20.6
2020-06-01,1,0,19.8
2020-06-02,5,0,14.0
2020-06-03,4,0,16.5
2020-06-04,2,1,14.8
2020-06-05,1,2,14.8
2020-06-06,0,1,13.1
2020-06-07,1,1,11.6
2020-06-08,0,0,10.7
