date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,1,0,0.1
2020-03-02,1,0,0.2
2020-03-03,0,0,0.2
2020-03-04,0,0,0.2
2020-03-05,1,0,0.3
2020-03-06,0,0,0.3
2020-03-07,0,0,0.3
2020-03-08,1,0,0.3
2020-03-09,1,0,0.2
2020-03-10,4,0,0.6
2020-03-11,6,0,1.1
2020-03-12,7,0,1.6
2020-03-13,14,0,2.9
2020-03-14,7,0,3.5
2020-03-15,12,0,4.4
2020-03-16,15,0,5.7
2020-03-17,24,0,7.4
2020-03-18,32,0,9.7
2020-03-19,35,0,12.2
2020-03-20,52,0,15.5
2020-03-21,30,0,17.5
2020-03-22,26,0,18.8
2020-03-23,64,0,23.1
2020-03-24,67,0,26.8
2020-03-25,61,0,29.4
2020-03-26,92,0,34.3
2020-03-27,70,0,35.9
2020-03-28,79,0,40.2
2020-03-29,107,0,47.3
2020-03-30,122,0,52.3
2020-03-31,132,0,58.1
2020-04-01,106,0,62.0
2020-04-02,102,0,62.9
2020-04-03,82,0,63.9
2020-04-04,87,0,64.6
2020-04-05,72,0,61.5
2020-04-06,63,0,56.4
2020-04-07,76,0,51.5
2020-04-08,78,0,49.0
2020-04-09,49,0,44.4
2020-04-10,60,0,42.5
2020-04-11,33,0,37.8
2020-04-12,46,0,35.5
2020-04-13,37,0,33.2
2020-04-14,71,0,32.7
2020-04-15,78,0,32.8
2020-04-16,116,0,38.6
2020-04-17,97,82,41.8
2020-04-18,109,69,48.5
2020-04-19,64,110,50.1
2020-04-20,59,67,52.1
2020-04-21,87,51,53.5
2020-04-22,107,70,55.9
2020-04-23,91,52,53.8
2020-04-24,73,69,51.7
2020-04-25,65,66,47.8
2020-04-26,50,41,46.6
2020-04-27,57,46,46.4
2020-04-28,44,28,42.6
2020-04-29,75,49,39.9
2020-04-30,78,19,38.7
2020-05-01,79,43,39.2
2020-05-02,39,25,37.0
2020-05-03,53,35,37.2
2020-05-04,27,24,34.6
2020-05-05,55,26,35.6
2020-05-06,40,23,32.5
2020-05-07,47,34,29.8
2020-05-08,56,49,27.8
2020-05-09,37,15,27.5
2020-05-10,36,28,26.1
2020-05-11,41,22,27.3
2020-05-12,38,37,25.8
2020-05-13,48,30,26.5
2020-05-14,36,24,25.6
2020-05-15,42,16,24.4
2020-05-16,32,28,24.0
2020-05-17,19,15,22.4
2020-05-18,27,28,21.2
2020-05-19,31,16,20.6
2020-05-20,29,21,18.9
2020-05-21,23,8,17.8
2020-05-22,27,25,16.4
2020-05-23,22,20,15.5
2020-05-24,23,9,16.0
2020-05-25,16,9,15.0
2020-05-26,32,14,15.1
2020-05-27,31,13,15.3
2020-05-28,26,21,15.5
2020-05-29,18,33,14.7
2020-05-30,18,0,14.4
2020-05-31,17,0,13.8
2020-06-01,14,6,13.6
2020-06-02,16,4,12.2
2020-06-03,17,1,11.0
2020-06-04,19,9,10.4
2020-06-05,20,6,10.6
2020-06-06,15,4,10.3
2020-06-07,9,9,9.6
2020-06-08,21,0,10.3
2020-06-09,20,15,10.6
2020-06-10,7,6,9.7
2020-06-11,9,11,8.8
2020-06-12,18,4,8.7
2020-06-13,7,3,8.0
2020-06-14,16,4,8.6
2020-06-15,28,3,9.2
2020-06-16,20,0,9.2
2020-06-17,18,7,10.2
2020-06-18,15,5,10.7
2020-06-19,9,7,9.9
2020-06-20,8,3,10.0
2020-06-21,14,0,9.8
