date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,1,0,0.4
2020-03-03,0,0,0.4
2020-03-04,0,0,0.4
2020-03-05,0,0,0.4
2020-03-06,0,0,0.4
2020-03-07,0,0,0.4
2020-03-08,0,0,0.4
2020-03-09,2,0,0.7
2020-03-10,1,0,1.1
2020-03-11,0,0,1.1
2020-03-12,0,0,1.1
2020-03-13,1,0,1.5
2020-03-14,0,0,1.5
2020-03-15,0,0,1.5
2020-03-16,1,0,1.2
2020-03-17,2,0,1.5
2020-03-18,3,0,2.6
2020-03-19,2,0,3.4
2020-03-20,3,0,4.1
2020-03-21,4,0,5.6
2020-03-22,9,0,9.0
2020-03-23,10,0,12.4
2020-03-24,12,0,16.2
2020-03-25,9,0,18.5
2020-03-26,16,0,23.7
2020-03-27,10,0,26.4
2020-03-28,17,0,31.3
2020-03-29,27,0,38.1
2020-03-30,27,0,44.5
2020-03-31,29,0,50.9
2020-04-01,22,0,55.8
2020-04-02,15,0,55.4
2020-04-03,18,0,58.4
2020-04-04,11,0,56.1
2020-04-05,9,0,49.3
2020-04-06,8,0,42.2
2020-04-07,20,0,38.8
2020-04-08,21,0,38.4
2020-04-09,22,0,41.1
2020-04-10,22,0,42.6
2020-04-11,11,0,42.6
2020-04-12,28,0,49.8
2020-04-13,35,0,59.9
2020-04-14,20,0,59.9
2020-04-15,34,0,64.8
2020-04-16,14,0,61.8
2020-04-17,22,22,61.8
2020-04-18,28,24,68.2
2020-04-19,26,25,67.4
2020-04-20,23,0,62.9
2020-04-21,20,37,62.9
2020-04-22,33,15,62.5
2020-04-23,27,7,67.4
2020-04-24,37,36,73.1
2020-04-25,25,16,72.0
2020-04-26,20,16,69.7
2020-04-27,43,11,77.2
2020-04-28,26,39,79.5
2020-04-29,41,11,82.6
2020-04-30,32,14,84.4
2020-05-01,31,26,82.1
2020-05-02,28,14,83.2
2020-05-03,17,16,82.2
2020-05-04,24,11,75.0
2020-05-05,23,14,73.9
2020-05-06,20,7,65.9
2020-05-07,22,14,62.2
2020-05-08,14,11,55.8
2020-05-09,9,6,48.7
2020-05-10,9,6,45.5
2020-05-11,28,9,47.1
2020-05-12,23,11,47.1
2020-05-13,23,6,48.2
2020-05-14,6,4,42.2
2020-05-15,17,8,43.3
2020-05-16,11,7,44.0
2020-05-17,12,1,45.3
2020-05-18,21,9,42.6
2020-05-19,26,2,43.7
2020-05-20,15,10,40.7
2020-05-21,26,11,48.2
2020-05-22,19,17,49.0
2020-05-23,26,14,54.7
2020-05-24,22,6,58.4
2020-05-25,16,9,56.5
2020-05-26,15,10,52.3
2020-05-27,13,8,51.6
2020-05-28,24,10,50.9
2020-05-29,11,3,47.8
2020-05-30,13,10,42.9
2020-05-31,14,1,39.9
2020-06-01,21,8,41.8
2020-06-02,14,4,41.5
2020-06-03,17,6,43.0
2020-06-04,13,2,38.8
2020-06-05,9,7,38.1
2020-06-06,11,8,37.3
2020-06-07,16,0,38.0
2020-06-08,9,1,33.5
2020-06-09,8,4,31.3
2020-06-10,17,1,31.3
2020-06-11,13,3,31.3
2020-06-12,13,5,32.8
2020-06-13,8,3,31.7
2020-06-14,8,3,28.7
2020-06-15,7,4,27.9
2020-06-16,9,4,28.2
2020-06-17,14,4,27.1
2020-06-18,16,8,28.2
2020-06-19,24,2,32.4
2020-06-20,14,4,34.6
2020-06-21,7,0,34.3
