date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,1,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,1,0,0.6
2020-03-07,0,0,0.6
2020-03-08,1,0,1.3
2020-03-09,0,0,1.3
2020-03-10,6,0,5.2
2020-03-11,2,0,6.6
2020-03-12,1,0,7.2
2020-03-13,1,0,7.3
2020-03-14,0,0,7.3
2020-03-15,1,0,7.2
2020-03-16,2,0,8.6
2020-03-17,2,0,6.0
2020-03-18,4,0,7.2
2020-03-19,4,0,9.3
2020-03-20,1,0,9.2
2020-03-21,2,0,10.5
2020-03-22,3,0,11.9
2020-03-23,2,0,11.8
2020-03-24,3,0,12.5
2020-03-25,1,0,10.6
2020-03-26,4,0,10.5
2020-03-27,7,0,14.5
2020-03-28,5,0,16.5
2020-03-29,4,0,17.2
2020-03-30,13,0,24.4
2020-03-31,19,0,35.0
2020-04-01,13,0,42.8
2020-04-02,22,0,54.8
2020-04-03,27,0,68.0
2020-04-04,13,0,73.3
2020-04-05,13,0,79.1
2020-04-06,21,0,84.5
2020-04-07,31,0,92.3
2020-04-08,20,0,97.0
2020-04-09,19,0,95.0
2020-04-10,30,0,97.0
2020-04-11,8,0,93.6
2020-04-12,11,0,92.4
2020-04-13,11,0,85.7
2020-04-14,21,0,79.2
2020-04-15,12,0,73.9
2020-04-16,14,0,70.5
2020-04-17,11,0,58.0
2020-04-18,12,0,60.7
2020-04-19,7,0,58.0
2020-04-20,11,0,58.1
2020-04-21,8,0,49.5
2020-04-22,7,11,46.2
2020-04-23,16,9,47.5
2020-04-24,20,3,53.4
2020-04-25,6,10,49.5
2020-04-26,11,8,52.2
2020-04-27,4,13,47.5
2020-04-28,5,8,45.5
2020-04-29,8,2,46.2
2020-04-30,9,3,41.6
2020-05-01,4,3,31.0
2020-05-02,8,4,32.3
2020-05-03,2,7,26.3
2020-05-04,9,5,29.7
2020-05-05,22,1,40.9
2020-05-06,12,1,43.5
2020-05-07,8,9,42.9
2020-05-08,15,16,50.2
2020-05-09,18,7,56.8
2020-05-10,7,9,60.1
2020-05-11,14,3,63.3
2020-05-12,15,12,58.7
2020-05-13,14,13,60.0
2020-05-14,9,8,60.7
2020-05-15,9,4,56.7
2020-05-16,1,15,45.5
2020-05-17,5,13,44.2
2020-05-18,9,9,40.9
2020-05-19,9,2,36.9
2020-05-20,8,1,33.0
2020-05-21,8,5,32.3
2020-05-22,2,8,27.7
2020-05-23,1,3,27.7
2020-05-24,3,5,26.4
2020-05-25,2,4,21.8
2020-05-26,5,1,19.2
2020-05-27,10,2,20.5
2020-05-28,4,1,17.8
2020-05-29,4,6,19.2
2020-05-30,0,1,18.5
2020-05-31,1,4,17.1
2020-06-01,9,1,21.8
2020-06-02,4,0,21.1
2020-06-03,4,1,17.1
