date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-13,1,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,1,0,0.7
2020-03-17,0,0,0.7
2020-03-18,1,0,1.4
2020-03-19,0,0,1.4
2020-03-20,1,0,2.1
2020-03-21,0,0,2.1
2020-03-22,2,0,3.5
2020-03-23,4,0,5.7
2020-03-24,2,0,7.1
2020-03-25,3,0,8.5
2020-03-26,4,0,11.4
2020-03-27,3,0,12.8
2020-03-28,3,0,14.9
2020-03-29,3,0,15.6
2020-03-30,7,0,17.7
2020-03-31,6,0,20.5
2020-04-01,3,0,20.5
2020-04-02,4,0,20.5
2020-04-03,4,0,21.2
2020-04-04,8,0,24.8
2020-04-05,7,0,27.6
2020-04-06,4,0,25.5
2020-04-07,5,0,24.8
2020-04-08,5,0,26.2
2020-04-09,6,0,27.6
2020-04-10,4,0,27.6
2020-04-11,9,0,28.3
2020-04-12,4,0,26.2
2020-04-13,8,0,29.0
2020-04-14,8,0,31.2
2020-04-15,9,0,34.0
2020-04-16,4,0,32.6
2020-04-17,6,0,34.0
2020-04-18,7,0,32.6
2020-04-19,12,0,38.3
2020-04-20,4,0,35.4
2020-04-21,3,0,31.8
2020-04-22,15,3,36.1
2020-04-23,12,5,41.7
2020-04-24,6,1,41.8
2020-04-25,7,11,41.7
2020-04-26,5,8,36.8
2020-04-27,10,6,41.0
2020-04-28,19,4,52.4
2020-04-29,11,4,49.6
2020-04-30,8,4,46.7
2020-05-01,10,9,49.5
2020-05-02,9,13,51.0
2020-05-03,5,2,50.9
2020-05-04,3,10,46.1
2020-05-05,9,3,38.9
2020-05-06,3,1,33.3
2020-05-07,11,2,35.4
2020-05-08,7,1,33.3
2020-05-09,3,2,29.0
2020-05-10,4,8,28.4
2020-05-11,12,2,34.7
2020-05-12,7,1,33.3
2020-05-13,11,0,38.9
2020-05-14,3,1,33.3
2020-05-15,12,2,36.8
2020-05-16,2,5,36.1
2020-05-17,4,2,36.1
2020-05-18,4,14,30.4
2020-05-19,4,1,28.3
2020-05-20,5,1,24.1
2020-05-21,1,1,22.7
2020-05-22,6,1,18.4
2020-05-23,1,2,17.7
2020-05-24,2,0,16.2
2020-05-25,2,0,14.9
2020-05-26,2,1,13.5
2020-05-27,2,1,11.3
2020-05-28,7,2,15.5
2020-05-29,1,2,12.1
2020-05-30,2,0,12.8
2020-05-31,1,2,12.1
2020-06-01,2,0,12.0
2020-06-02,0,2,10.6
2020-06-03,1,2,9.9
2020-06-04,1,0,5.7
2020-06-05,0,2,4.9
2020-06-06,1,0,4.2
2020-06-07,1,0,4.2
2020-06-08,2,0,4.2
2020-06-09,1,0,5.0
2020-06-10,1,0,5.0
2020-06-11,1,1,5.0
2020-06-12,0,1,5.0
2020-06-13,0,1,4.3
2020-06-14,2,0,5.0
2020-06-15,0,0,3.6
2020-06-16,1,0,3.5
2020-06-17,0,0,2.8
2020-06-18,1,0,2.8
2020-06-19,1,1,3.5
2020-06-20,0,0,3.5
2020-06-21,0,0,2.1
2020-06-22,1,0,2.8
2020-06-23,0,0,2.1
2020-06-24,0,0,2.1
2020-06-25,0,0,1.4
2020-06-26,2,0,2.1
2020-06-27,0,0,2.1
2020-06-28,0,0,2.1
2020-06-29,0,0,1.4
2020-06-30,0,1,1.4
2020-07-01,0,132,1.4
2020-07-02,0,1,1.4
2020-07-03,1,0,0.7
2020-07-04,1,0,1.4
2020-07-05,0,0,1.4
2020-07-06,0,0,1.4
2020-07-07,0,3,1.4
2020-07-08,0,0,1.4
2020-07-09,0,1,1.4
2020-07-10,0,0,0.7
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,0,0,0.0
2020-07-14,1,0,0.8
2020-07-15,0,1,0.8
2020-07-16,0,0,0.8
2020-07-17,0,0,0.8
2020-07-18,0,0,0.8
2020-07-19,1,0,1.5
2020-07-20,1,0,2.2
2020-07-21,0,1,1.4
2020-07-22,1,2,2.1
2020-07-23,0,0,2.1
2020-07-24,2,1,3.5
2020-07-25,0,0,3.5
2020-07-26,0,0,2.8
2020-07-27,1,0,2.8
2020-07-28,1,3,3.5
2020-07-29,1,0,3.5
2020-07-30,2,1,4.9
2020-07-31,0,2,3.5
2020-08-01,0,0,3.5
2020-08-02,0,0,3.5
2020-08-03,1,2,3.5
2020-08-04,1,2,3.5
2020-08-05,1,0,3.6
2020-08-06,1,1,2.9
2020-08-07,0,0,2.9
2020-08-08,0,0,2.9
