date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,2,0,1.7
2020-03-21,0,0,1.7
2020-03-22,2,0,3.4
2020-03-23,0,0,3.4
2020-03-24,2,0,5.1
2020-03-25,1,0,5.9
2020-03-26,1,0,6.8
2020-03-27,1,0,5.9
2020-03-28,7,0,11.9
2020-03-29,4,0,13.6
2020-03-30,8,0,20.4
2020-03-31,9,0,26.4
2020-04-01,7,0,31.5
2020-04-02,1,0,31.5
2020-04-03,3,0,33.2
2020-04-04,5,0,31.5
2020-04-05,1,0,28.9
2020-04-06,0,0,22.1
2020-04-07,5,0,18.7
2020-04-08,10,0,21.3
2020-04-09,11,0,29.8
2020-04-10,4,0,30.7
2020-04-11,6,0,31.5
2020-04-12,10,0,39.2
2020-04-13,8,0,46.0
2020-04-14,2,0,43.4
2020-04-15,10,0,43.4
2020-04-16,9,0,41.7
2020-04-17,9,0,45.9
2020-04-18,5,0,45.1
2020-04-19,2,0,38.3
2020-04-20,1,0,32.4
2020-04-21,1,0,31.5
2020-04-22,6,12,28.1
2020-04-23,5,3,24.7
2020-04-24,10,1,25.6
2020-04-25,4,2,24.7
2020-04-26,6,0,28.1
2020-04-27,4,0,30.6
2020-04-28,2,5,31.5
2020-04-29,7,5,32.4
2020-04-30,10,5,36.6
2020-05-01,10,7,36.6
2020-05-02,5,3,37.4
2020-05-03,3,1,34.9
2020-05-04,2,0,33.2
2020-05-05,2,4,33.2
2020-05-06,6,5,32.3
2020-05-07,7,9,29.8
2020-05-08,0,2,21.3
2020-05-09,8,0,23.9
2020-05-10,5,0,25.5
2020-05-11,4,0,27.2
2020-05-12,6,7,30.7
2020-05-13,8,0,32.4
2020-05-14,9,3,34.0
2020-05-15,6,2,39.1
2020-05-16,2,3,34.0
2020-05-17,14,1,41.8
2020-05-18,4,2,41.8
2020-05-19,15,9,49.3
2020-05-20,9,3,50.2
2020-05-21,7,3,48.6
2020-05-22,38,7,75.8
2020-05-23,2,2,75.8
2020-05-24,2,0,65.5
2020-05-25,4,0,65.5
2020-05-26,3,0,55.4
2020-05-27,1,4,48.5
2020-05-28,2,3,44.2
2020-05-29,5,0,16.2
2020-05-30,3,1,17.0
2020-05-31,2,0,17.0
