date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,2,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.8
2020-03-10,0,0,0.8
2020-03-11,0,0,0.8
2020-03-12,0,0,0.8
2020-03-13,1,0,1.7
2020-03-14,0,0,1.7
2020-03-15,1,0,2.5
2020-03-16,1,0,2.5
2020-03-17,0,0,2.5
2020-03-18,1,0,3.4
2020-03-19,1,0,4.2
2020-03-20,2,0,5.0
2020-03-21,1,0,5.9
2020-03-22,0,0,5.1
2020-03-23,4,0,7.6
2020-03-24,2,0,9.3
2020-03-25,5,0,12.6
2020-03-26,2,0,13.5
2020-03-27,6,0,16.8
2020-03-28,0,0,15.9
2020-03-29,3,0,18.5
2020-03-30,7,0,21.1
2020-03-31,8,0,26.1
2020-04-01,5,0,26.1
2020-04-02,8,0,31.1
2020-04-03,9,0,33.7
2020-04-04,10,0,42.1
2020-04-05,8,0,46.2
2020-04-06,10,0,48.7
2020-04-07,9,0,49.6
2020-04-08,5,0,49.6
2020-04-09,9,0,50.5
2020-04-10,8,0,49.6
2020-04-11,9,0,48.8
2020-04-12,6,0,47.1
2020-04-13,12,0,48.8
2020-04-14,11,0,50.5
2020-04-15,16,0,59.7
2020-04-16,17,0,66.5
2020-04-17,10,0,68.2
2020-04-18,20,0,77.4
2020-04-19,13,0,83.3
2020-04-20,7,0,79.1
2020-04-21,6,0,74.9
2020-04-22,22,5,80.0
2020-04-23,7,6,71.5
2020-04-24,11,3,72.3
2020-04-25,10,12,63.9
2020-04-26,5,5,57.2
2020-04-27,15,3,63.9
2020-04-28,9,6,66.4
2020-04-29,6,7,53.0
2020-04-30,12,6,57.2
2020-05-01,8,2,54.7
2020-05-02,5,6,50.5
2020-05-03,13,0,57.2
2020-05-04,5,4,48.8
2020-05-05,14,3,53.0
2020-05-06,3,5,50.4
2020-05-07,9,5,47.9
2020-05-08,7,6,47.1
2020-05-09,5,1,47.1
2020-05-10,10,2,44.6
2020-05-11,10,2,48.8
2020-05-12,11,3,46.3
2020-05-13,10,3,52.2
