date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,1,0,0.7
2020-03-14,0,0,0.7
2020-03-15,0,0,0.7
2020-03-16,1,0,1.4
2020-03-17,1,0,2.1
2020-03-18,1,0,2.8
2020-03-19,1,0,3.5
2020-03-20,1,0,3.5
2020-03-21,0,0,3.5
2020-03-22,1,0,4.2
2020-03-23,1,0,4.2
2020-03-24,4,0,6.3
2020-03-25,1,0,6.3
2020-03-26,4,0,8.4
2020-03-27,4,0,10.5
2020-03-28,3,0,12.6
2020-03-29,1,0,12.6
2020-03-30,2,0,13.3
2020-03-31,5,0,14.0
2020-04-01,1,0,14.0
2020-04-02,2,0,12.6
2020-04-03,9,0,16.1
2020-04-04,3,0,16.1
2020-04-05,2,0,16.7
2020-04-06,5,0,18.8
2020-04-07,5,0,18.8
2020-04-08,6,0,22.3
2020-04-09,3,0,23.0
2020-04-10,3,0,18.8
2020-04-11,5,0,20.2
2020-04-12,2,0,20.3
2020-04-13,10,0,23.8
2020-04-14,7,0,25.2
2020-04-15,2,0,22.4
2020-04-16,3,0,22.4
2020-04-17,2,0,21.7
2020-04-18,4,0,21.0
2020-04-19,6,0,23.8
2020-04-20,3,0,18.9
2020-04-21,11,0,21.7
2020-04-22,14,3,30.1
2020-04-23,4,9,30.8
2020-04-24,10,10,36.3
2020-04-25,10,7,40.5
2020-04-26,7,4,41.2
2020-04-27,10,12,46.1
2020-04-28,9,2,44.7
2020-04-29,6,3,39.1
2020-04-30,26,8,54.5
2020-05-01,9,2,53.9
2020-05-02,6,23,51.1
2020-05-03,5,3,49.7
2020-05-04,10,2,49.6
2020-05-05,5,4,46.8
2020-05-06,3,3,44.7
2020-05-07,4,2,29.3
2020-05-08,4,7,25.8
2020-05-09,2,1,23.0
2020-05-10,4,4,22.3
2020-05-11,3,0,17.5
2020-05-12,3,2,16.1
2020-05-13,0,0,14.0
2020-05-14,1,0,11.9
2020-05-15,4,1,11.9
2020-05-16,3,0,12.6
2020-05-17,3,0,11.9
2020-05-18,3,4,11.9
2020-05-19,1,3,10.5
2020-05-20,3,2,12.6
2020-05-21,1,1,12.6
2020-05-22,1,1,10.5
2020-05-23,0,1,8.4
2020-05-24,1,0,7.0
2020-05-25,1,0,5.6
2020-05-26,1,0,5.6
2020-05-27,1,2,4.2
2020-05-28,1,2,4.2
2020-05-29,1,1,4.2
2020-05-30,1,1,4.9
2020-05-31,0,0,4.2
2020-06-01,1,1,4.2
2020-06-02,0,0,3.5
2020-06-03,0,1,2.8
2020-06-04,1,0,2.8
2020-06-05,1,2,2.8
2020-06-06,0,0,2.1
2020-06-07,2,1,3.5
2020-06-08,0,0,2.8
2020-06-09,0,0,2.8
2020-06-10,2,1,4.2
2020-06-11,0,0,3.5
2020-06-12,1,0,3.5
2020-06-13,1,0,4.2
2020-06-14,0,0,2.8
2020-06-15,0,0,2.8
2020-06-16,0,0,2.8
2020-06-17,1,0,2.1
2020-06-18,0,0,2.1
2020-06-19,0,0,1.4
2020-06-20,1,0,1.4
2020-06-21,0,0,1.4
2020-06-22,0,0,1.4
2020-06-23,0,0,1.4
2020-06-24,1,0,1.4
2020-06-25,0,0,1.4
2020-06-26,1,0,2.1
2020-06-27,0,0,1.4
2020-06-28,0,0,1.4
2020-06-29,2,0,2.8
2020-06-30,0,1,2.8
2020-07-01,0,73,2.1
2020-07-02,1,0,2.8
2020-07-03,0,0,2.1
2020-07-04,0,0,2.1
2020-07-05,0,1,2.1
2020-07-06,0,0,0.7
2020-07-07,0,1,0.7
2020-07-08,1,1,1.4
2020-07-09,0,0,0.7
2020-07-10,0,1,0.7
2020-07-11,0,0,0.7
2020-07-12,0,0,0.7
2020-07-13,1,0,1.4
2020-07-14,1,0,2.1
2020-07-15,0,0,1.4
2020-07-16,0,0,1.4
2020-07-17,0,0,1.4
2020-07-18,0,2,1.4
2020-07-19,0,0,1.4
2020-07-20,2,0,2.1
2020-07-21,0,0,1.4
2020-07-22,0,0,1.4
2020-07-23,0,0,1.4
2020-07-24,0,0,1.4
2020-07-25,0,1,1.4
2020-07-26,1,1,2.1
2020-07-27,0,0,0.7
2020-07-28,0,1,0.7
2020-07-29,0,0,0.7
2020-07-30,0,0,0.7
2020-07-31,0,0,0.7
2020-08-01,0,0,0.7
2020-08-02,0,0,0.0
2020-08-03,1,0,0.7
2020-08-04,0,0,0.7
2020-08-05,0,1,0.7
2020-08-06,2,0,2.1
2020-08-07,0,0,2.1
2020-08-08,0,0,2.1
2020-08-09,0,0,2.1
2020-08-10,0,1,1.4
2020-08-11,1,1,2.1
2020-08-12,0,0,2.1
2020-08-13,0,0,0.7
2020-08-14,3,0,2.8
2020-08-15,0,1,2.8
