date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,1,0,0.8
2020-02-26,0,0,0.8
2020-02-27,0,0,0.8
2020-02-28,1,0,1.6
2020-02-29,0,0,1.6
2020-03-01,0,0,1.6
2020-03-02,0,0,1.6
2020-03-03,0,0,0.8
2020-03-04,0,0,0.8
2020-03-05,0,0,0.8
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,0.8
2020-03-11,0,0,0.8
2020-03-12,0,0,0.8
2020-03-13,1,0,1.6
2020-03-14,1,0,2.4
2020-03-15,1,0,3.1
2020-03-16,3,0,5.5
2020-03-17,6,0,9.5
2020-03-18,1,0,10.3
2020-03-19,4,0,13.4
2020-03-20,3,0,15.0
2020-03-21,3,0,16.6
2020-03-22,3,0,18.3
2020-03-23,3,0,18.2
2020-03-24,3,0,15.8
2020-03-25,3,0,17.4
2020-03-26,5,0,18.2
2020-03-27,3,0,18.2
2020-03-28,8,0,22.1
2020-03-29,8,0,26.1
2020-03-30,6,0,28.5
2020-03-31,4,0,29.3
2020-04-01,7,0,32.4
2020-04-02,6,0,33.3
2020-04-03,3,0,33.3
2020-04-04,3,0,29.3
2020-04-05,4,0,26.1
2020-04-06,2,0,23.0
2020-04-07,8,0,26.1
2020-04-08,3,0,23.0
2020-04-09,2,0,19.8
2020-04-10,14,0,28.5
2020-04-11,5,0,30.1
2020-04-12,10,0,34.8
2020-04-13,15,0,45.1
2020-04-14,8,0,45.1
2020-04-15,16,0,55.4
2020-04-16,12,0,63.3
2020-04-17,8,0,58.5
2020-04-18,9,0,61.8
2020-04-19,6,0,58.6
2020-04-20,13,0,57.0
2020-04-21,20,0,66.5
2020-04-22,11,3,62.5
2020-04-23,12,5,62.5
2020-04-24,14,20,67.3
2020-04-25,13,3,70.4
2020-04-26,5,10,69.7
2020-04-27,8,11,65.7
2020-04-28,10,4,57.8
2020-04-29,5,4,53.1
2020-04-30,7,6,49.1
2020-05-01,11,4,46.7
2020-05-02,8,3,42.8
2020-05-03,4,2,41.9
2020-05-04,6,3,40.4
2020-05-05,8,2,38.8
2020-05-06,3,1,37.2
2020-05-07,10,5,39.6
2020-05-08,7,3,36.4
2020-05-09,2,4,31.6
2020-05-10,1,3,29.3
2020-05-11,6,2,29.3
2020-05-12,10,0,30.9
2020-05-13,11,1,37.2
2020-05-14,3,1,31.7
2020-05-15,3,3,28.5
2020-05-16,1,3,27.7
2020-05-17,1,0,27.7
2020-05-18,1,0,23.7
2020-05-19,1,1,16.6
2020-05-20,4,0,11.1
2020-05-21,5,0,12.6
2020-05-22,3,1,12.7
2020-05-23,0,3,11.9
2020-05-24,0,2,11.1
2020-05-25,1,1,11.1
2020-05-26,0,0,10.3
2020-05-27,1,0,7.9
2020-05-28,3,0,6.4
2020-05-29,0,0,4.0
2020-05-30,2,0,5.5
2020-05-31,1,0,6.3
2020-06-01,1,0,6.3
2020-06-02,1,0,7.1
2020-06-03,0,1,6.3
2020-06-04,0,0,3.9
2020-06-05,1,0,4.7
2020-06-06,1,0,4.0
2020-06-07,0,0,3.2
2020-06-08,0,0,2.4
2020-06-09,1,0,2.4
2020-06-10,0,0,2.4
2020-06-11,2,1,4.0
2020-06-12,0,0,3.2
2020-06-13,0,0,2.4
2020-06-14,0,0,2.4
2020-06-15,1,0,3.2
2020-06-16,1,0,3.2
2020-06-17,0,1,3.2
2020-06-18,0,0,1.6
2020-06-19,0,1,1.6
2020-06-20,0,0,1.6
2020-06-21,0,0,1.6
