date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-04,1,0,0.0
2020-03-05,0,0,0.0
2020-03-06,3,0,1.7
2020-03-07,0,0,1.7
2020-03-08,0,0,1.7
2020-03-09,4,0,3.9
2020-03-10,1,0,4.5
2020-03-11,2,0,5.6
2020-03-12,13,0,12.9
2020-03-13,3,0,12.9
2020-03-14,0,0,12.9
2020-03-15,0,0,12.9
2020-03-16,3,0,12.4
2020-03-17,5,0,14.6
2020-03-18,3,0,15.2
2020-03-19,6,0,11.3
2020-03-20,7,0,13.5
2020-03-21,1,0,14.1
2020-03-22,1,0,14.6
2020-03-23,13,0,20.2
2020-03-24,7,0,21.4
2020-03-25,8,0,24.2
2020-03-26,19,0,31.5
2020-03-27,14,0,35.4
2020-03-28,24,0,48.3
2020-03-29,14,0,55.7
2020-03-30,27,0,63.6
2020-03-31,23,0,72.5
2020-04-01,19,0,78.7
2020-04-02,27,0,83.2
2020-04-03,32,0,93.4
2020-04-04,17,0,89.5
2020-04-05,19,0,92.3
2020-04-06,27,0,92.3
2020-04-07,20,0,90.6
2020-04-08,21,0,91.7
2020-04-09,20,0,87.8
2020-04-10,25,0,83.8
2020-04-11,10,0,79.9
2020-04-12,10,0,74.8
2020-04-13,18,0,69.7
2020-04-14,15,0,67.0
2020-04-15,11,0,61.3
2020-04-16,12,0,56.8
2020-04-17,9,0,47.9
2020-04-18,9,0,47.2
2020-04-19,14,0,49.5
2020-04-20,12,0,46.1
2020-04-21,17,0,47.2
2020-04-22,18,13,51.2
2020-04-23,13,9,51.7
2020-04-24,7,6,50.6
2020-04-25,14,8,53.5
2020-04-26,7,6,49.5
2020-04-27,13,5,50.1
2020-04-28,20,5,51.8
2020-04-29,6,9,45.0
2020-04-30,11,2,43.9
2020-05-01,11,6,46.1
2020-05-02,5,4,41.0
2020-05-03,10,5,42.8
2020-05-04,19,3,46.1
2020-05-05,6,5,38.2
2020-05-06,3,6,36.6
2020-05-07,8,3,34.9
2020-05-08,6,1,32.1
2020-05-09,4,4,31.5
2020-05-10,5,2,28.6
2020-05-11,15,1,26.5
2020-05-12,3,1,24.8
2020-05-13,17,15,32.6
2020-05-14,1,0,28.7
2020-05-15,5,3,28.1
2020-05-16,2,1,27.0
2020-05-17,3,2,25.9
2020-05-18,9,1,22.5
2020-05-19,29,5,37.1
2020-05-20,6,2,31.0
2020-05-21,6,7,33.7
2020-05-22,14,21,38.8
2020-05-23,6,3,41.1
2020-05-24,6,5,42.8
2020-05-25,14,1,45.5
2020-05-26,4,3,31.5
2020-05-27,4,12,30.4
2020-05-28,5,0,29.9
2020-05-29,1,0,22.5
2020-05-30,1,2,19.7
2020-05-31,3,0,18.0
2020-06-01,3,1,11.9
2020-06-02,11,0,15.8
2020-06-03,2,4,14.6
2020-06-04,3,0,13.5
2020-06-05,2,0,14.1
2020-06-06,1,2,14.1
2020-06-07,1,1,12.9
2020-06-08,1,0,11.8
2020-06-09,1,0,6.1
2020-06-10,2,0,6.2
2020-06-11,0,1,4.5
2020-06-12,0,2,3.4
2020-06-13,0,0,2.8
2020-06-14,1,0,2.8
2020-06-15,0,0,2.2
2020-06-16,0,0,1.7
2020-06-17,0,0,0.5
2020-06-18,0,0,0.5
2020-06-19,0,0,0.5
2020-06-20,1,0,1.1
2020-06-21,0,0,0.6
2020-06-22,0,1,0.6
2020-06-23,1,0,1.2
2020-06-24,0,0,1.2
2020-06-25,0,0,1.2
2020-06-26,1,0,1.7
2020-06-27,0,0,1.1
2020-06-28,0,0,1.1
2020-06-29,0,0,1.1
2020-06-30,0,0,0.5
2020-07-01,1,204,1.1
2020-07-02,1,0,1.6
2020-07-03,0,0,1.1
2020-07-04,0,1,1.1
2020-07-05,0,0,1.1
2020-07-06,0,1,1.1
2020-07-07,1,0,1.7
2020-07-08,0,0,1.1
2020-07-09,0,0,0.6
2020-07-10,0,0,0.6
2020-07-11,0,1,0.6
2020-07-12,0,0,0.6
2020-07-13,0,0,0.6
2020-07-14,2,0,1.1
2020-07-15,0,1,1.1
2020-07-16,0,1,1.1
2020-07-17,0,0,1.1
2020-07-18,0,0,1.1
2020-07-19,0,0,1.1
2020-07-20,1,0,1.7
2020-07-21,0,0,0.6
2020-07-22,1,1,1.2
2020-07-23,0,3,1.2
2020-07-24,1,0,1.7
2020-07-25,0,0,1.7
2020-07-26,0,1,1.7
2020-07-27,2,0,2.2
2020-07-28,3,0,3.9
2020-07-29,2,1,4.5
2020-07-30,0,2,4.5
2020-07-31,0,0,4.0
2020-08-01,0,2,4.0
2020-08-02,0,2,4.0
2020-08-03,0,0,2.9
2020-08-04,1,0,1.7
2020-08-05,0,0,0.5
2020-08-06,1,0,1.1
2020-08-07,0,0,1.1
2020-08-08,0,1,1.1
2020-08-09,0,0,1.1
2020-08-10,0,0,1.1
2020-08-11,0,1,0.6
2020-08-12,0,0,0.6
2020-08-13,0,0,0.0
2020-08-14,1,0,0.5
2020-08-15,0,0,0.5
2020-08-16,1,0,1.1
2020-08-17,0,0,1.1
2020-08-18,2,1,2.2
2020-08-19,1,1,2.8
2020-08-20,1,0,3.4
2020-08-21,2,1,4.0
2020-08-22,0,0,4.0
2020-08-23,2,2,4.5
2020-08-24,0,0,4.5
2020-08-25,3,5,5.1
2020-08-26,0,0,4.5
2020-08-27,2,0,5.0
2020-08-28,1,0,4.5
2020-08-29,1,2,5.0
2020-08-30,2,2,5.1
2020-08-31,0,1,5.1
2020-09-01,4,2,5.6
2020-09-02,0,2,5.6
2020-09-03,5,2,7.3
2020-09-04,0,2,6.7
2020-09-05,1,2,6.8
2020-09-06,0,0,5.6
2020-09-07,1,1,6.2
2020-09-08,3,1,5.6
2020-09-09,4,3,7.9
2020-09-10,0,2,5.1
2020-09-11,0,5,5.1
2020-09-12,0,0,4.5
2020-09-13,1,0,5.1
2020-09-14,0,2,4.5
2020-09-15,1,1,3.4
2020-09-16,3,0,2.8
2020-09-17,3,0,4.5
2020-09-18,6,1,7.9
2020-09-19,1,3,8.4
2020-09-20,3,1,9.5
2020-09-21,1,3,10.1
2020-09-22,4,5,11.8
2020-09-23,1,4,10.7
2020-09-24,4,3,11.2
2020-09-25,6,4,11.2
2020-09-26,6,0,14.1
2020-09-27,0,4,12.4
2020-09-28,3,4,13.5
2020-09-29,7,5,15.2
2020-09-30,8,2,19.1
2020-10-01,2,2,18.0
2020-10-02,8,2,19.1
2020-10-03,12,9,22.5
2020-10-04,7,9,26.4
2020-10-05,6,8,28.1
2020-10-06,15,11,32.6
2020-10-07,10,9,33.8
2020-10-08,18,18,42.8
2020-10-09,10,14,43.9
2020-10-10,12,10,43.9
2020-10-11,11,3,46.2
2020-10-12,7,5,46.7
2020-10-13,26,22,52.9
2020-10-14,10,25,52.9
2020-10-15,12,9,49.5
2020-10-16,24,20,57.4
2020-10-17,13,12,57.9
