date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-15,2,0,0.0
2020-03-16,1,0,0.6
2020-03-17,2,0,1.7
2020-03-18,0,0,1.7
2020-03-19,1,0,2.3
2020-03-20,1,0,2.8
2020-03-21,1,0,3.4
2020-03-22,1,0,4.0
2020-03-23,0,0,3.4
2020-03-24,3,0,4.0
2020-03-25,1,0,4.5
2020-03-26,2,0,5.1
2020-03-27,3,0,6.3
2020-03-28,0,0,5.7
2020-03-29,3,0,6.7
2020-03-30,4,0,9.0
2020-03-31,4,0,9.6
2020-04-01,2,0,10.2
2020-04-02,4,0,11.2
2020-04-03,4,0,11.8
2020-04-04,6,0,15.2
2020-04-05,4,0,15.8
2020-04-06,4,0,15.8
2020-04-07,3,0,15.2
2020-04-08,6,0,17.5
2020-04-09,2,0,16.4
2020-04-10,5,0,16.9
2020-04-11,2,0,14.6
2020-04-12,2,0,13.6
2020-04-13,1,0,11.8
2020-04-14,3,0,11.8
2020-04-15,3,0,10.1
2020-04-16,9,0,14.1
2020-04-17,6,0,14.7
2020-04-18,5,0,16.4
2020-04-19,13,0,22.5
2020-04-20,8,0,26.5
2020-04-21,8,0,29.4
2020-04-22,27,2,42.9
2020-04-23,11,9,44.0
2020-04-24,14,5,48.5
2020-04-25,15,7,54.1
2020-04-26,8,4,51.4
2020-04-27,10,7,52.5
2020-04-28,11,8,54.1
2020-04-29,17,3,48.5
2020-04-30,15,4,50.8
2020-05-01,10,6,48.5
2020-05-02,7,6,44.0
2020-05-03,4,1,41.7
2020-05-04,7,4,40.0
2020-05-05,9,5,38.9
2020-05-06,19,3,40.0
2020-05-07,4,10,33.8
2020-05-08,5,2,31.0
2020-05-09,7,5,31.1
2020-05-10,9,3,33.8
2020-05-11,14,0,37.8
2020-05-12,6,1,36.1
2020-05-13,9,0,30.5
2020-05-14,3,2,29.9
2020-05-15,7,2,31.0
2020-05-16,3,0,28.7
2020-05-17,4,3,26.0
2020-05-18,8,1,22.6
2020-05-19,3,2,20.9
2020-05-20,5,1,18.6
2020-05-21,7,2,20.9
2020-05-22,4,4,19.2
2020-05-23,3,5,19.2
2020-05-24,2,1,18.0
2020-05-25,2,6,14.7
2020-05-26,2,1,14.1
2020-05-27,6,2,14.7
2020-05-28,1,1,11.2
2020-05-29,5,1,11.9
2020-05-30,2,1,11.3
2020-05-31,1,2,10.7
2020-06-01,1,1,10.1
2020-06-02,8,0,13.5
2020-06-03,6,1,13.5
2020-06-04,4,2,15.3
2020-06-05,1,1,12.9
2020-06-06,1,2,12.4
2020-06-07,1,0,12.5
2020-06-08,2,2,13.0
2020-06-09,0,0,8.5
2020-06-10,3,0,6.8
2020-06-11,0,0,4.5
2020-06-12,0,1,4.0
2020-06-13,0,0,3.4
2020-06-14,0,0,2.8
2020-06-15,1,0,2.2
2020-06-16,1,0,2.8
2020-06-17,0,0,1.1
2020-06-18,1,0,1.7
2020-06-19,0,0,1.7
2020-06-20,0,0,1.7
2020-06-21,0,0,1.7
2020-06-22,0,0,1.2
2020-06-23,0,0,0.6
2020-06-24,0,0,0.6
2020-06-25,0,0,0.0
2020-06-26,1,0,0.5
2020-06-27,0,0,0.5
2020-06-28,0,0,0.5
2020-06-29,1,0,1.1
2020-06-30,0,10,1.1
2020-07-01,3,221,2.8
2020-07-02,3,1,4.5
2020-07-03,2,1,5.1
2020-07-04,1,3,5.7
2020-07-05,0,3,5.7
2020-07-06,0,0,5.1
2020-07-07,0,1,5.1
2020-07-08,1,1,3.9
2020-07-09,0,0,2.2
2020-07-10,0,0,1.1
2020-07-11,1,1,1.1
