date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,1,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,1,0,0.4
2020-03-08,0,0,0.4
2020-03-09,0,0,0.4
2020-03-10,0,0,0.4
2020-03-11,0,0,0.4
2020-03-12,0,0,0.4
2020-03-13,3,0,1.3
2020-03-14,3,0,1.9
2020-03-15,5,0,3.6
2020-03-16,6,0,5.5
2020-03-17,8,0,8.1
2020-03-18,13,0,12.4
2020-03-19,12,0,16.3
2020-03-20,5,0,17.0
2020-03-21,10,0,19.3
2020-03-22,12,0,21.5
2020-03-23,19,0,25.9
2020-03-24,12,0,27.2
2020-03-25,15,0,27.8
2020-03-26,15,0,28.8
2020-03-27,21,0,34.1
2020-03-28,15,0,35.7
2020-03-29,20,0,38.3
2020-03-30,24,0,39.9
2020-03-31,28,0,45.1
2020-04-01,22,0,47.4
2020-04-02,30,0,52.3
2020-04-03,21,0,52.3
2020-04-04,27,0,56.3
2020-04-05,23,0,57.3
2020-04-06,26,0,57.9
2020-04-07,54,0,66.5
2020-04-08,34,0,70.4
2020-04-09,33,0,71.4
2020-04-10,11,0,68.1
2020-04-11,14,0,63.7
2020-04-12,28,0,65.4
2020-04-13,20,0,63.5
2020-04-14,14,0,50.3
2020-04-15,12,0,43.2
2020-04-16,16,0,37.6
2020-04-17,20,18,40.5
2020-04-18,7,15,38.3
2020-04-19,8,8,31.7
2020-04-20,17,8,30.7
2020-04-21,15,3,31.1
2020-04-22,17,10,32.7
2020-04-23,14,15,32.1
2020-04-24,5,14,27.2
2020-04-25,10,6,28.2
2020-04-26,14,4,30.1
2020-04-27,26,3,33.1
2020-04-28,11,2,31.7
2020-04-29,12,4,30.1
2020-04-30,25,9,33.7
2020-05-01,9,5,35.0
2020-05-02,10,6,35.0
2020-05-03,9,5,33.4
2020-05-04,14,1,29.4
2020-05-05,25,12,34.1
2020-05-06,17,5,35.6
2020-05-07,21,4,34.3
2020-05-08,7,5,33.7
2020-05-09,4,20,31.7
2020-05-10,7,2,31.1
2020-05-11,3,1,27.5
2020-05-12,6,3,21.2
2020-05-13,5,2,17.4
2020-05-14,1,1,10.8
2020-05-15,3,0,9.5
2020-05-16,6,6,10.1
2020-05-17,4,1,9.2
2020-05-18,4,0,9.5
2020-05-19,8,0,10.2
2020-05-20,8,2,11.1
2020-05-21,0,1,10.8
2020-05-22,5,5,11.4
2020-05-23,2,1,10.2
2020-05-24,0,1,8.8
2020-05-25,2,0,8.1
2020-05-26,1,0,5.9
2020-05-27,3,0,4.3
2020-05-28,1,0,4.6
2020-05-29,0,0,3.0
2020-05-30,0,0,2.3
2020-05-31,3,1,3.3
2020-06-01,3,1,3.6
2020-06-02,2,0,3.9
2020-06-03,4,0,4.2
