date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,1,0,0.3
2020-03-14,0,0,0.3
2020-03-15,2,0,0.9
2020-03-16,1,0,1.2
2020-03-17,2,0,1.9
2020-03-18,1,0,2.2
2020-03-19,2,0,2.8
2020-03-20,1,0,2.8
2020-03-21,0,0,2.8
2020-03-22,3,0,3.1
2020-03-23,7,0,5.0
2020-03-24,8,0,6.8
2020-03-25,8,0,9.0
2020-03-26,12,0,12.1
2020-03-27,7,0,14.0
2020-03-28,10,0,17.1
2020-03-29,6,0,18
2020-03-30,7,0,18.0
2020-03-31,17,0,20.8
2020-04-01,40,0,30.7
2020-04-02,25,0,34.7
2020-04-03,23,0,39.7
2020-04-04,25,0,44.3
2020-04-05,23,0,49.6
2020-04-06,28,0,56.1
2020-04-07,31,0,60.4
2020-04-08,35,0,58.9
2020-04-09,36,0,62.4
2020-04-10,24,0,62.6
2020-04-11,39,0,67.0
2020-04-12,37,0,71.4
2020-04-13,31,0,72.3
2020-04-14,37,0,74.2
2020-04-15,25,0,71.0
2020-04-16,46,0,74.1
2020-04-17,39,28,78.8
2020-04-18,52,15,82.8
2020-04-19,35,26,82.2
2020-04-20,31,29,82.2
2020-04-21,35,21,81.5
2020-04-22,41,26,86.5
2020-04-23,30,21,81.6
2020-04-24,46,13,83.7
2020-04-25,20,11,73.8
2020-04-26,16,3,67.9
2020-04-27,31,14,67.9
2020-04-28,25,20,64.9
2020-04-29,31,3,61.8
2020-04-30,49,16,67.6
2020-05-01,27,28,61.7
2020-05-02,14,11,59.9
2020-05-03,16,14,59.8
2020-05-04,14,8,54.6
2020-05-05,15,4,51.4
2020-05-06,32,6,51.8
2020-05-07,26,13,44.6
2020-05-08,15,15,41.0
2020-05-09,10,14,39.7
2020-05-10,15,4,39.4
2020-05-11,39,2,47.1
2020-05-12,24,5,50.0
2020-05-13,12,25,43.7
2020-05-14,10,3,38.8
2020-05-15,8,5,36.6
2020-05-16,8,3,36.0
2020-05-17,5,5,32.9
2020-05-18,8,2,23.3
2020-05-19,6,2,17.6
2020-05-20,6,2,15.8
2020-05-21,11,1,16.1
2020-05-22,5,2,15.2
2020-05-23,0,3,12.7
2020-05-24,7,2,13.3
2020-05-25,10,2,13.9
2020-05-26,4,1,13.4
2020-05-27,23,2,18.6
2020-05-28,10,2,18.3
2020-05-29,7,0,18.9
2020-05-30,11,4,22.3
2020-05-31,4,68,21.4
2020-06-01,9,3,21.1
2020-06-02,5,14,21.4
2020-06-03,2,6,14.9
2020-06-04,5,0,13.4
2020-06-05,0,4,11.2
2020-06-06,7,1,9.9
2020-06-07,4,1,10.0
2020-06-08,3,0,8.1
2020-06-09,6,9,8.4
2020-06-10,7,0,9.9
2020-06-11,0,1,8.3
2020-06-12,3,2,9.3
2020-06-13,3,1,8.1
2020-06-14,5,0,8.3
2020-06-15,2,3,8.1
2020-06-16,1,5,6.5
2020-06-17,5,1,5.9
2020-06-18,1,4,6.2
2020-06-19,2,4,5.8
2020-06-20,0,1,4.9
2020-06-21,0,1,3.4
2020-06-22,3,1,3.7
2020-06-23,1,0,3.7
