date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-13,1,0,0.0
2020-03-14,1,0,0.6
2020-03-15,1,0,1.1
2020-03-16,0,0,1.1
2020-03-17,1,0,1.6
2020-03-18,0,0,1.6
2020-03-19,2,0,2.7
2020-03-20,1,0,3.2
2020-03-21,0,0,2.6
2020-03-22,7,0,5.9
2020-03-23,9,0,10.7
2020-03-24,8,0,14.4
2020-03-25,12,0,20.8
2020-03-26,10,0,25.1
2020-03-27,4,0,26.7
2020-03-28,7,0,30.4
2020-03-29,7,0,30.4
2020-03-30,11,0,31.4
2020-03-31,12,0,33.6
2020-04-01,15,0,35.2
2020-04-02,18,0,39.4
2020-04-03,10,0,42.6
2020-04-04,14,0,46.4
2020-04-05,5,0,45.3
2020-04-06,23,0,51.7
2020-04-07,21,0,56.5
2020-04-08,16,0,57.1
2020-04-09,8,0,51.7
2020-04-10,4,0,48.6
2020-04-11,6,0,44.3
2020-04-12,7,0,45.3
2020-04-13,9,0,37.9
2020-04-14,3,0,28.3
2020-04-15,6,0,22.9
2020-04-16,9,0,23.5
2020-04-17,10,0,26.6
2020-04-18,8,0,27.7
2020-04-19,11,0,29.9
2020-04-20,15,0,33.0
2020-04-21,22,0,43.2
2020-04-22,21,3,51.2
2020-04-23,19,19,56.5
2020-04-24,23,4,63.5
2020-04-25,23,17,71.4
2020-04-26,12,13,71.9
2020-04-27,23,26,76.3
2020-04-28,12,16,70.9
2020-04-29,14,5,67.2
2020-04-30,12,12,63.5
2020-05-01,13,8,58.1
2020-05-02,8,7,50.1
2020-05-03,15,1,51.7
2020-05-04,11,1,45.3
2020-05-05,7,10,42.6
2020-05-06,3,3,36.7
2020-05-07,31,4,46.9
2020-05-08,6,5,43.2
2020-05-09,1,5,39.5
2020-05-10,8,1,35.8
2020-05-11,9,22,34.7
2020-05-12,2,5,32.0
2020-05-13,9,4,35.2
2020-05-14,4,3,20.8
2020-05-15,0,3,17.6
2020-05-16,0,2,17.1
2020-05-17,2,3,13.8
2020-05-18,8,1,13.3
2020-05-19,5,0,15.0
2020-05-20,0,0,10.2
2020-05-21,3,3,9.6
2020-05-22,6,0,12.8
2020-05-23,7,0,16.5
2020-05-24,5,1,18.2
2020-05-25,6,0,17.1
2020-05-26,7,0,18.1
2020-05-27,2,2,19.2
2020-05-28,8,6,21.8
2020-05-29,6,5,21.8
2020-05-30,5,1,20.8
2020-05-31,3,0,19.7
2020-06-01,4,0,18.6
2020-06-02,11,0,20.8
2020-06-03,10,0,25.0
2020-06-04,2,2,21.9
2020-06-05,4,2,20.8
2020-06-06,3,0,19.7
2020-06-07,2,0,19.2
2020-06-08,2,1,18.1
2020-06-09,5,0,14.9
2020-06-10,2,0,10.7
2020-06-11,4,0,11.7
