date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.6
2020-03-15,1,0,1.2
2020-03-16,0,0,1.2
2020-03-17,0,0,1.2
2020-03-18,0,0,1.2
2020-03-19,2,0,2.4
2020-03-20,0,0,2.4
2020-03-21,0,0,1.8
2020-03-22,0,0,1.2
2020-03-23,10,0,7.2
2020-03-24,2,0,8.4
2020-03-25,5,0,11.4
2020-03-26,6,0,13.8
2020-03-27,3,0,15.6
2020-03-28,7,0,19.8
2020-03-29,6,0,23.4
2020-03-30,5,0,20.4
2020-03-31,4,0,21.6
2020-04-01,11,0,25.2
2020-04-02,10,0,27.6
2020-04-03,9,0,31.2
2020-04-04,4,0,29.4
2020-04-05,6,0,29.4
2020-04-06,14,0,34.8
2020-04-07,9,0,37.8
2020-04-08,9,0,36.6
2020-04-09,15,0,39.6
2020-04-10,9,0,39.5
2020-04-11,7,0,41.3
2020-04-12,19,0,49.1
2020-04-13,23,0,54.5
2020-04-14,9,0,54.5
2020-04-15,13,0,56.9
2020-04-16,20,0,59.9
2020-04-17,18,0,65.4
2020-04-18,10,0,67.2
2020-04-19,8,0,60.6
2020-04-20,15,0,55.8
2020-04-21,15,0,59.4
2020-04-22,15,8,60.6
2020-04-23,6,18,52.2
2020-04-24,21,13,54.0
2020-04-25,9,24,53.4
2020-04-26,9,6,54.0
2020-04-27,6,13,48.6
2020-04-28,9,0,45.0
2020-04-29,9,0,41.4
2020-04-30,6,0,41.4
2020-05-01,8,0,33.6
2020-05-02,10,0,34.2
2020-05-03,8,1,33.6
2020-05-04,10,4,36.0
2020-05-05,11,7,37.1
2020-05-06,9,41,37.1
2020-05-07,13,7,41.3
2020-05-08,7,5,40.7
2020-05-09,6,8,38.3
2020-05-10,5,7,36.5
2020-05-11,8,10,35.3
2020-05-12,14,5,37.2
2020-05-13,5,3,34.8
2020-05-14,9,5,32.4
2020-05-15,7,6,32.4
2020-05-16,2,2,30.0
2020-05-17,8,5,31.8
2020-05-18,13,6,34.8
2020-05-19,3,1,28.2
2020-05-20,6,5,28.8
2020-05-21,9,12,28.8
2020-05-22,3,2,26.4
2020-05-23,0,2,25.2
2020-05-24,5,2,23.4
2020-05-25,2,2,16.8
2020-05-26,4,1,17.4
2020-05-27,2,1,15.0
2020-05-28,4,3,12.0
2020-05-29,1,1,10.8
2020-05-30,0,1,10.8
2020-05-31,7,1,12.0
2020-06-01,5,0,13.8
2020-06-02,6,0,15.0
2020-06-03,3,6,15.6
2020-06-04,4,2,15.6
2020-06-05,2,3,16.2
2020-06-06,0,3,16.2
2020-06-07,4,0,14.4
2020-06-08,3,0,13.2
2020-06-09,4,2,12.0
2020-06-10,1,3,10.8
2020-06-11,1,5,9.0
2020-06-12,1,1,8.4
2020-06-13,2,0,9.6
2020-06-14,2,0,8.4
2020-06-15,1,2,7.2
2020-06-16,6,1,8.4
2020-06-17,2,2,9.0
2020-06-18,4,0,10.8
2020-06-19,1,2,10.8
2020-06-20,0,3,9.6
2020-06-21,1,4,9.0
2020-06-22,1,1,9.0
2020-06-23,3,0,7.2
2020-06-24,3,1,7.8
2020-06-25,2,2,6.6
2020-06-26,0,2,6.0
2020-06-27,0,2,6.0
2020-06-28,3,0,7.2
2020-06-29,2,1,7.8
2020-06-30,1,0,6.6
2020-07-01,0,116,4.8
2020-07-02,4,2,6.0
2020-07-03,1,1,6.6
2020-07-04,1,3,7.2
2020-07-05,2,1,6.6
2020-07-06,0,1,5.4
2020-07-07,1,0,5.4
2020-07-08,5,1,8.4
2020-07-09,5,0,9.0
2020-07-10,0,4,8.4
2020-07-11,0,5,7.8
2020-07-12,1,2,7.2
2020-07-13,4,2,9.6
2020-07-14,4,0,11.4
2020-07-15,1,1,9.0
2020-07-16,1,4,6.6
2020-07-17,2,2,7.8
2020-07-18,4,2,10.2
2020-07-19,2,3,10.8
2020-07-20,3,2,10.2
2020-07-21,2,2,9.0
2020-07-22,3,3,10.2
2020-07-23,0,1,9.6
2020-07-24,1,1,9.0
2020-07-25,0,0,6.6
2020-07-26,1,1,6.0
2020-07-27,3,3,6.0
2020-07-28,1,1,5.4
2020-07-29,1,3,4.2
2020-07-30,0,2,4.2
2020-07-31,0,1,3.6
2020-08-01,1,0,4.2
2020-08-02,0,0,3.6
2020-08-03,1,0,2.4
2020-08-04,1,1,2.4
2020-08-05,0,0,1.8
2020-08-06,0,1,1.8
2020-08-07,0,1,1.8
2020-08-08,1,1,1.8
2020-08-09,1,0,2.4
2020-08-10,0,0,1.8
2020-08-11,1,1,1.8
2020-08-12,1,0,2.4
2020-08-13,0,0,2.4
2020-08-14,0,1,2.4
2020-08-15,0,1,1.8
