date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,1,0,1.0
2020-03-11,1,0,2.0
2020-03-12,1,0,2.9
2020-03-13,0,0,2.9
2020-03-14,0,0,2.9
2020-03-15,0,0,2.9
2020-03-16,1,0,3.9
2020-03-17,1,0,3.9
2020-03-18,0,0,2.9
2020-03-19,5,0,7.0
2020-03-20,1,0,7.9
2020-03-21,1,0,8.9
2020-03-22,3,0,11.9
2020-03-23,2,0,12.9
2020-03-24,5,0,16.8
2020-03-25,7,0,23.7
2020-03-26,5,0,23.7
2020-03-27,3,0,25.7
2020-03-28,9,0,33.6
2020-03-29,5,0,35.5
2020-03-30,8,0,41.4
2020-03-31,9,0,45.4
2020-04-01,3,0,41.5
2020-04-02,4,0,40.4
2020-04-03,5,0,42.5
2020-04-04,7,0,40.5
2020-04-05,3,0,38.5
2020-04-06,4,0,34.6
2020-04-07,6,0,31.6
2020-04-08,4,0,32.6
2020-04-09,4,0,32.6
2020-04-10,8,0,35.5
2020-04-11,7,0,35.5
2020-04-12,8,0,40.5
2020-04-13,3,0,39.5
2020-04-14,8,0,41.5
2020-04-15,7,0,44.4
2020-04-16,6,0,46.4
2020-04-17,12,0,50.4
2020-04-18,12,0,55.3
2020-04-19,12,0,59.3
2020-04-20,7,0,63.2
2020-04-21,10,0,65.1
2020-04-22,19,5,77.0
2020-04-23,16,6,86.9
2020-04-24,3,1,78.0
2020-04-25,5,4,71.1
2020-04-26,11,3,70.0
2020-04-27,6,0,69.1
2020-04-28,7,3,66.2
2020-04-29,17,2,64.2
2020-04-30,0,5,48.4
2020-05-01,6,7,51.3
2020-05-02,7,3,53.3
2020-05-03,8,0,50.4
2020-05-04,3,0,47.4
2020-05-05,5,4,45.4
2020-05-06,7,2,35.5
2020-05-07,2,2,37.5
2020-05-08,8,0,39.5
2020-05-09,2,4,34.6
2020-05-10,3,1,29.6
2020-05-11,4,1,30.6
2020-05-12,9,5,34.5
2020-05-13,0,1,27.6
2020-05-14,4,3,29.6
2020-05-15,7,6,28.6
2020-05-16,2,1,28.6
2020-05-17,0,0,25.7
2020-05-18,3,3,24.6
2020-05-19,5,3,20.8
2020-05-20,2,0,22.8
2020-05-21,2,1,20.7
2020-05-22,2,1,15.8
2020-05-23,0,2,13.8
2020-05-24,3,1,16.8
2020-05-25,1,2,14.9
2020-05-26,1,1,10.8
2020-05-27,5,0,13.8
2020-05-28,2,1,13.9
2020-05-29,1,2,12.8
2020-05-30,0,0,12.8
2020-05-31,0,0,9.8
2020-06-01,0,0,8.8
2020-06-02,0,1,7.9
2020-06-03,0,6,2.9
2020-06-04,2,0,2.9
2020-06-05,2,0,4.0
2020-06-06,0,0,4.0
2020-06-07,0,1,4.0
2020-06-08,1,0,5.0
2020-06-09,0,1,5.0
2020-06-10,1,0,6.0
2020-06-11,1,1,5.0
2020-06-12,0,1,3.0
2020-06-13,0,0,3.0
2020-06-14,0,1,3.0
2020-06-15,2,0,3.9
2020-06-16,0,0,3.9
2020-06-17,0,0,2.9
2020-06-18,1,0,2.9
2020-06-19,2,0,4.9
2020-06-20,0,0,4.9
2020-06-21,1,0,5.9
2020-06-22,0,0,4.0
2020-06-23,0,0,4.0
2020-06-24,0,0,4.0
2020-06-25,1,0,4.0
2020-06-26,0,0,2.0
2020-06-27,1,0,2.9
2020-06-28,0,0,1.9
2020-06-29,0,0,1.9
2020-06-30,0,0,1.9
2020-07-01,1,157,2.9
2020-07-02,0,0,1.9
2020-07-03,1,0,2.9
2020-07-04,0,0,2.0
2020-07-05,0,1,2.0
2020-07-06,0,0,2.0
2020-07-07,0,1,2.0
2020-07-08,0,0,1.0
2020-07-09,0,0,1.0
2020-07-10,0,1,0.0
2020-07-11,0,0,0.0
2020-07-12,0,1,0.0
2020-07-13,0,0,0.0
2020-07-14,0,0,0.0
2020-07-15,1,0,1.0
2020-07-16,1,0,2.0
2020-07-17,0,0,2.0
2020-07-18,0,2,2.0
2020-07-19,0,0,2.0
