date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-20,1,0,0.0
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,3,0,4.2
2020-03-24,0,0,4.2
2020-03-25,2,0,7.0
2020-03-26,1,0,8.4
2020-03-27,0,0,8.4
2020-03-28,1,0,9.8
2020-03-29,2,0,12.6
2020-03-30,5,0,15.4
2020-03-31,2,0,18.2
2020-04-01,2,0,18.2
2020-04-02,2,0,19.6
2020-04-03,5,0,26.6
2020-04-04,3,0,29.4
2020-04-05,1,0,28.0
2020-04-06,0,0,21.0
2020-04-07,6,0,26.6
2020-04-08,5,0,30.8
2020-04-09,2,0,30.8
2020-04-10,2,0,26.6
2020-04-11,7,0,32.2
2020-04-12,2,0,33.6
2020-04-13,7,0,43.4
2020-04-14,2,0,37.8
2020-04-15,5,0,37.8
2020-04-16,8,0,46.2
2020-04-17,5,0,50.4
2020-04-18,10,0,54.6
2020-04-19,6,0,60.2
2020-04-20,4,0,56.0
2020-04-21,9,0,65.8
2020-04-22,14,1,78.4
2020-04-23,14,2,86.8
2020-04-24,3,5,84.0
2020-04-25,8,5,81.2
2020-04-26,1,8,74.2
2020-04-27,1,2,70.0
2020-04-28,3,2,61.6
2020-04-29,6,2,50.4
2020-04-30,13,0,49.0
2020-05-01,14,2,64.4
2020-05-02,3,8,57.4
2020-05-03,5,16,63.0
2020-05-04,5,6,68.6
2020-05-05,4,2,70.0
2020-05-06,9,2,74.2
2020-05-07,2,8,58.8
2020-05-08,7,2,49.0
2020-05-09,6,5,53.2
2020-05-10,0,2,46.2
2020-05-11,2,1,42.0
2020-05-12,1,2,37.8
2020-05-13,1,1,26.6
2020-05-14,5,3,30.8
2020-05-15,1,1,22.4
2020-05-16,6,2,22.4
2020-05-17,2,1,25.2
2020-05-18,1,0,23.8
2020-05-19,2,1,25.2
2020-05-20,2,0,26.6
2020-05-21,0,1,19.6
2020-05-22,1,0,19.6
2020-05-23,3,0,15.4
2020-05-24,0,0,12.6
2020-05-25,3,0,15.4
2020-05-26,2,1,15.4
2020-05-27,3,0,16.8
2020-05-28,1,1,18.2
2020-05-29,3,0,21.0
2020-05-30,1,1,18.2
2020-05-31,0,0,18.2
2020-06-01,0,1,14.0
2020-06-02,3,0,15.4
2020-06-03,0,1,11.2
2020-06-04,2,0,12.6
2020-06-05,0,1,8.4
2020-06-06,2,1,9.8
2020-06-07,1,0,11.2
2020-06-08,0,0,11.2
2020-06-09,1,0,8.4
2020-06-10,1,0,9.8
2020-06-11,0,0,7.0
2020-06-12,0,0,7.0
2020-06-13,0,0,4.2
2020-06-14,1,0,4.2
2020-06-15,1,0,5.6
2020-06-16,0,0,4.2
2020-06-17,0,0,2.8
2020-06-18,0,0,2.8
2020-06-19,0,0,2.8
2020-06-20,0,0,2.8
2020-06-21,0,0,1.4
2020-06-22,2,0,2.8
2020-06-23,0,1,2.8
2020-06-24,0,0,2.8
2020-06-25,0,0,2.8
2020-06-26,0,0,2.8
2020-06-27,0,0,2.8
2020-06-28,0,0,2.8
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,103,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,3,0,4.2
2020-07-10,1,0,5.6
2020-07-11,1,3,7.0
2020-07-12,0,0,7.0
2020-07-13,0,0,7.0
2020-07-14,0,0,7.0
2020-07-15,1,0,8.4
2020-07-16,3,0,8.4
2020-07-17,2,2,9.8
2020-07-18,0,3,8.4
2020-07-19,0,1,8.4
2020-07-20,3,0,12.6
2020-07-21,0,1,12.6
2020-07-22,1,2,12.6
2020-07-23,0,1,8.4
2020-07-24,0,2,5.6
2020-07-25,0,0,5.6
2020-07-26,0,0,5.6
2020-07-27,2,0,4.2
2020-07-28,0,0,4.2
2020-07-29,4,2,8.4
2020-07-30,0,1,8.4
2020-07-31,1,3,9.8
2020-08-01,0,0,9.8
2020-08-02,0,0,9.8
2020-08-03,0,1,7.0
2020-08-04,0,0,7.0
2020-08-05,2,0,4.2
2020-08-06,1,0,5.6
2020-08-07,4,0,9.8
2020-08-08,0,1,9.8
2020-08-09,1,0,11.2
2020-08-10,1,3,12.6
2020-08-11,1,3,14.0
2020-08-12,0,0,11.2
2020-08-13,0,0,9.8
2020-08-14,1,2,5.6
