date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,1,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,4,0,0.1
2020-02-09,1,0,0.1
2020-02-10,0,0,0.1
2020-02-11,0,0,0.1
2020-02-12,0,0,0.1
2020-02-13,0,0,0.1
2020-02-14,0,0,0.1
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,0,0.0
2020-02-18,0,0,0.0
2020-02-19,0,0,0.0
2020-02-20,0,0,0.0
2020-02-21,0,0,0.0
2020-02-22,0,0,0.0
2020-02-23,1,0,0.0
2020-02-24,1,0,0.0
2020-02-25,1,0,0.0
2020-02-26,0,0,0.0
2020-02-27,2,0,0.0
2020-02-28,2,0,0.0
2020-02-29,2,0,0.1
2020-03-01,0,0,0.1
2020-03-02,1,0,0.1
2020-03-03,9,0,0.2
2020-03-04,7,0,0.2
2020-03-05,5,0,0.3
2020-03-06,16,0,0.5
2020-03-07,4,0,0.4
2020-03-08,10,0,0.5
2020-03-09,24,0,0.8
2020-03-10,36,0,1.1
2020-03-11,50,0,1.6
2020-03-12,86,0,2.5
2020-03-13,54,0,2.9
2020-03-14,41,0,3.3
2020-03-15,53,0,3.8
2020-03-16,78,0,4.3
2020-03-17,89,0,4.9
2020-03-18,122,0,5.7
2020-03-19,127,0,6.1
2020-03-20,127,0,6.9
2020-03-21,128,0,7.9
2020-03-22,170,0,9.1
2020-03-23,282,0,11.4
2020-03-24,238,0,13.0
2020-03-25,307,0,15.0
2020-03-26,320,0,17.1
2020-03-27,329,0,19.3
2020-03-28,340,0,21.6
2020-03-29,295,0,23.0
2020-03-30,477,0,25.1
2020-03-31,469,0,27.6
2020-04-01,547,0,30.3
2020-04-02,484,0,32.1
2020-04-03,517,0,34.1
2020-04-04,454,0,35.3
2020-04-05,424,0,36.8
2020-04-06,593,0,38.0
2020-04-07,716,0,40.7
2020-04-08,564,0,40.9
2020-04-09,522,0,41.3
2020-04-10,575,0,41.9
2020-04-11,382,0,41.2
2020-04-12,483,0,41.7
2020-04-13,578,0,41.6
2020-04-14,554,0,39.9
2020-04-15,713,0,41.4
2020-04-16,656,0,42.9
2020-04-17,706,552,44.4
2020-04-18,519,414,45.8
2020-04-19,415,678,45.1
2020-04-20,490,315,44.2
2020-04-21,633,778,45.0
2020-04-22,694,397,44.8
2020-04-23,680,359,45.0
2020-04-24,657,562,44.5
2020-04-25,515,479,44.5
2020-04-26,501,357,45.5
2020-04-27,554,318,46.1
2020-04-28,659,195,46.4
2020-04-29,688,236,46.4
2020-04-30,650,272,46.1
2020-05-01,523,264,44.6
2020-05-02,416,229,43.5
2020-05-03,362,213,41.9
2020-05-04,488,219,41.2
2020-05-05,474,243,39.2
2020-05-06,446,510,36.6
2020-05-07,419,187,34.0
2020-05-08,352,236,32.2
2020-05-09,247,187,30.4
2020-05-10,308,118,29.8
2020-05-11,476,107,29.7
2020-05-12,410,105,29.0
2020-05-13,484,157,29.3
2020-05-14,295,170,28.1
2020-05-15,262,159,27.0
2020-05-16,192,136,26.4
2020-05-17,221,154,25.5
2020-05-18,359,103,24.2
2020-05-19,386,86,23.9
2020-05-20,340,96,22.4
2020-05-21,303,127,22.4
2020-05-22,247,179,22.3
2020-05-23,121,166,21.5
2020-05-24,150,110,20.8
2020-05-25,186,80,18.9
2020-05-26,183,63,16.7
2020-05-27,202,104,15.2
2020-05-28,202,66,14.1
2020-05-29,163,62,13.2
2020-05-30,132,78,13.3
2020-05-31,134,52,13.1
2020-06-01,184,34,13.1
2020-06-02,218,48,13.4
2020-06-03,136,84,12.7
2020-06-04,158,60,12.2
2020-06-05,140,36,12.0
2020-06-06,85,92,11.5
2020-06-07,61,46,10.7
2020-06-08,124,16,10.0
2020-06-09,114,77,8.9
2020-06-10,125,35,8.8
2020-06-11,94,54,8.1
2020-06-12,86,38,7.5
2020-06-13,66,55,7.3
2020-06-14,71,36,7.4
2020-06-15,98,46,7.1
2020-06-16,96,23,7
2020-06-17,82,26,6.5
2020-06-18,75,61,6.3
