date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,1,0,0
2020-02-29,0,0,0
2020-03-01,7,0,0.1
2020-03-02,6,0,0.2
2020-03-03,7,0,0.3
2020-03-04,2,0,0.3
2020-03-05,10,0,0.4
2020-03-06,2,0,0.5
2020-03-07,9,0,0.6
2020-03-08,5,0,0.6
2020-03-09,7,0,0.6
2020-03-10,15,0,0.7
2020-03-11,17,0,0.9
2020-03-12,40,0,1.3
2020-03-13,43,0,1.8
2020-03-14,25,0,2.1
2020-03-15,24,0,2.3
2020-03-16,56,0,3.0
2020-03-17,55,0,3.5
2020-03-18,84,0,4.5
2020-03-19,98,0,5.3
2020-03-20,82,0,5.8
2020-03-21,115,0,7.0
2020-03-22,117,0,8.3
2020-03-23,175,0,9.8
2020-03-24,256,0,12.6
2020-03-25,255,0,14.9
2020-03-26,357,0,18.5
2020-03-27,333,0,21.9
2020-03-28,322,0,24.7
2020-03-29,359,0,28.0
2020-03-30,508,0,32.6
2020-03-31,553,0,36.6
2020-04-01,620,0,41.6
2020-04-02,678,0,45.9
2020-04-03,681,0,50.7
2020-04-04,597,0,54.4
2020-04-05,625,0,58.0
2020-04-06,872,0,63.0
2020-04-07,790,0,66.3
2020-04-08,853,0,69.4
2020-04-09,805,0,71.2
2020-04-10,602,0,70.1
2020-04-11,610,0,70.3
2020-04-12,489,0,68.4
2020-04-13,609,0,64.8
2020-04-14,634,0,62.7
2020-04-15,694,0,60.5
2020-04-16,779,0,60.1
2020-04-17,580,594,59.8
2020-04-18,867,550,63.3
2020-04-19,613,634,65.1
2020-04-20,676,457,66
2020-04-21,701,460,66.9
2020-04-22,920,421,70.0
2020-04-23,864,473,71.2
2020-04-24,754,570,73.5
2020-04-25,553,457,69.3
2020-04-26,429,380,66.7
2020-04-27,622,394,66
2020-04-28,712,340,66.1
2020-04-29,795,283,64.4
2020-04-30,773,417,63.1
2020-05-01,725,420,62.8
2020-05-02,414,492,60.8
2020-05-03,492,690,61.7
2020-05-04,425,303,59
2020-05-05,576,340,57.2
2020-05-06,587,232,54.4
2020-05-07,510,600,50.8
2020-05-08,484,263,47.5
2020-05-09,345,285,46.6
2020-05-10,346,194,44.6
2020-05-11,531,168,46.1
2020-05-12,547,156,45.6
2020-05-13,527,187,44.8
2020-05-14,429,237,43.7
2020-05-15,394,212,42.5
2020-05-16,407,174,43.3
2020-05-17,301,134,42.7
2020-05-18,410,176,41.0
2020-05-19,584,151,41.6
2020-05-20,497,195,41.2
2020-05-21,428,163,41.2
2020-05-22,376,227,40.9
2020-05-23,290,198,39.4
2020-05-24,263,170,38.8
2020-05-25,269,121,36.9
2020-05-26,309,147,33.1
2020-05-27,295,102,30.3
2020-05-28,324,78,28.9
2020-05-29,303,95,28.0
2020-05-30,216,122,26.9
2020-05-31,234,82,26.6
2020-06-01,262,86,26.5
2020-06-02,287,73,26.2
2020-06-03,256,95,25.7
2020-06-04,240,93,24.5
2020-06-05,205,70,23.1
2020-06-06,132,79,22.0
2020-06-07,128,76,20.6
2020-06-08,165,14,19.2
2020-06-09,217,97,18.3
2020-06-10,225,27,17.8
2020-06-11,177,65,17.1
2020-06-12,171,91,16.6
2020-06-13,128,91,16.5
2020-06-14,148,98,16.7
2020-06-15,166,67,16.8
2020-06-16,212,52,16.7
2020-06-17,183,48,16.2
2020-06-18,179,52,16.1
2020-06-19,163,37,16.0
2020-06-20,117,68,15.9
2020-06-21,99,38,15.3
2020-06-22,158,53,15.1
