date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,1,0,0.6
2020-03-16,0,0,0.6
2020-03-17,2,0,1.9
2020-03-18,1,0,2.6
2020-03-19,1,0,3.2
2020-03-20,1,0,3.9
2020-03-21,1,0,4.6
2020-03-22,0,0,4.0
2020-03-23,3,0,5.9
2020-03-24,5,0,7.9
2020-03-25,8,0,12.5
2020-03-26,8,0,17.2
2020-03-27,10,0,23.0
2020-03-28,7,0,26.9
2020-03-29,1,0,27.6
2020-03-30,3,0,27.7
2020-03-31,7,0,29.0
2020-04-01,7,0,28.3
2020-04-02,11,0,30.2
2020-04-03,7,0,28.3
2020-04-04,7,0,28.3
2020-04-05,3,0,29.6
2020-04-06,25,0,44.1
2020-04-07,15,0,49.3
2020-04-08,11,0,52.0
2020-04-09,4,0,47.4
2020-04-10,8,0,48.1
2020-04-11,4,0,46.1
2020-04-12,3,0,46.1
2020-04-13,9,0,35.5
2020-04-14,14,0,34.9
2020-04-15,10,0,34.2
2020-04-16,12,0,39.5
2020-04-17,14,0,43.4
2020-04-18,0,0,40.8
2020-04-19,2,0,40.1
2020-04-20,18,0,46.1
2020-04-21,9,0,42.8
2020-04-22,3,0,38.2
2020-04-23,5,0,33.6
2020-04-24,3,0,26.3
2020-04-25,1,0,27.0
2020-04-26,4,0,28.3
2020-04-27,11,0,23.7
2020-04-28,9,0,23.7
2020-04-29,1,0,22.4
2020-04-30,4,0,21.7
2020-05-01,6,0,23.7
2020-05-02,7,0,27.6
2020-05-03,1,0,25.7
2020-05-04,6,0,22.3
2020-05-05,1,0,17.1
2020-05-06,1,0,17.1
2020-05-07,3,0,16.4
2020-05-08,3,0,14.5
2020-05-09,0,0,9.9
2020-05-10,0,0,9.2
2020-05-11,3,0,7.3
2020-05-12,3,0,8.6
2020-05-13,0,0,7.9
2020-05-14,1,0,6.6
2020-05-15,3,0,6.6
2020-05-16,1,0,7.3
2020-05-17,0,0,7.3
2020-05-18,0,0,5.3
2020-05-19,1,0,3.9
2020-05-20,0,0,3.9
2020-05-21,0,0,3.3
2020-05-22,1,0,2.0
2020-05-23,0,0,1.3
2020-05-24,0,0,1.3
2020-05-25,0,0,1.3
2020-05-26,2,0,2.0
2020-05-27,0,0,2.0
2020-05-28,0,0,2.0
2020-05-29,0,0,1.3
2020-05-30,0,0,1.3
2020-05-31,0,0,1.3
2020-06-01,1,0,1.9
2020-06-02,1,0,1.3
2020-06-03,0,0,1.3
2020-06-04,0,0,1.3
2020-06-05,0,0,1.3
2020-06-06,0,0,1.3
2020-06-07,0,0,1.3
2020-06-08,0,0,0.7
2020-06-09,0,0,0.0
2020-06-10,0,0,0.0
2020-06-11,0,0,0.0
2020-06-12,0,0,0.0
2020-06-13,0,0,0.0
2020-06-14,0,0,0.0
2020-06-15,0,0,0.0
2020-06-16,0,0,0.0
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,0,0,0.0
2020-06-26,0,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,0,0.0
2020-07-02,1,0,0.7
2020-07-03,0,0,0.7
2020-07-04,0,0,0.7
2020-07-05,0,0,0.7
2020-07-06,0,0,0.7
2020-07-07,0,0,0.7
2020-07-08,0,0,0.7
2020-07-09,0,0,0.0
2020-07-10,2,0,1.3
2020-07-11,0,0,1.3
2020-07-12,0,0,1.3
2020-07-13,0,0,1.3
2020-07-14,0,0,1.3
2020-07-15,0,0,1.3
2020-07-16,0,0,1.3
2020-07-17,1,0,0.6
2020-07-18,0,0,0.6
2020-07-19,0,0,0.6
2020-07-20,0,0,0.6
2020-07-21,1,0,1.3
2020-07-22,0,0,1.3
2020-07-23,0,0,1.3
2020-07-24,0,0,0.7
2020-07-25,0,0,0.7
2020-07-26,0,0,0.7
2020-07-27,0,0,0.7
2020-07-28,0,0,0.0
2020-07-29,0,0,0.0
2020-07-30,3,0,2.0
2020-07-31,0,3,2.0
2020-08-01,0,0,2.0
