date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-28,1,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,2,0,0.2
2020-03-06,1,0,0.2
2020-03-07,1,0,0.3
2020-03-08,1,0,0.3
2020-03-09,2,0,0.5
2020-03-10,5,0,0.8
2020-03-11,3,0,1.0
2020-03-12,6,0,1.1
2020-03-13,7,0,1.6
2020-03-14,5,0,1.8
2020-03-15,5,0,2.1
2020-03-16,8,0,2.4
2020-03-17,5,0,2.4
2020-03-18,12,0,3.0
2020-03-19,14,0,3.6
2020-03-20,16,0,4.1
2020-03-21,6,0,4.2
2020-03-22,21,0,5.2
2020-03-23,46,0,7.6
2020-03-24,36,0,9.5
2020-03-25,56,0,12.3
2020-03-26,55,0,14.8
2020-03-27,57,0,17.4
2020-03-28,49,0,20.1
2020-03-29,59,0,22.5
2020-03-30,65,0,23.7
2020-03-31,95,0,27.5
2020-04-01,112,0,30.9
2020-04-02,82,0,32.7
2020-04-03,94,0,35.0
2020-04-04,68,0,36.2
2020-04-05,72,0,37.0
2020-04-06,143,0,41.9
2020-04-07,123,0,43.6
2020-04-08,105,0,43.3
2020-04-09,120,0,45.6
2020-04-10,125,0,47.6
2020-04-11,60,0,47.1
2020-04-12,120,0,50.1
2020-04-13,121,0,48.7
2020-04-14,71,0,45.5
2020-04-15,182,0,50.2
2020-04-16,168,0,53.3
2020-04-17,182,150,56.9
2020-04-18,101,85,59.4
2020-04-19,85,115,57.3
2020-04-20,119,94,57.2
2020-04-21,135,195,61.2
2020-04-22,132,88,58.1
2020-04-23,102,141,53.9
2020-04-24,130,133,50.6
2020-04-25,98,167,50.4
2020-04-26,81,59,50.1
2020-04-27,99,47,48.9
2020-04-28,140,11,49.2
2020-04-29,161,29,51.0
2020-04-30,124,59,52.4
2020-05-01,92,25,50.0
2020-05-02,91,23,49.6
2020-05-03,73,39,49.1
2020-05-04,79,63,47.8
2020-05-05,124,63,46.8
2020-05-06,95,367,42.7
2020-05-07,89,57,40.5
2020-05-08,85,82,40.0
2020-05-09,50,60,37.5
2020-05-10,54,31,36.3
2020-05-11,120,50,38.8
2020-05-12,101,38,37.4
2020-05-13,113,25,38.5
2020-05-14,85,54,38.2
2020-05-15,73,50,37.5
2020-05-16,34,53,36.5
2020-05-17,66,30,37.2
2020-05-18,105,34,36.3
2020-05-19,128,32,38.0
2020-05-20,109,55,37.7
2020-05-21,101,56,38.8
2020-05-22,51,78,37.4
2020-05-23,23,40,36.6
2020-05-24,52,28,35.8
2020-05-25,67,35,33.4
2020-05-26,62,36,29.2
2020-05-27,62,34,26.3
2020-05-28,52,28,23.2
2020-05-29,52,39,23.3
2020-05-30,50,26,25.0
2020-05-31,45,27,24.6
2020-06-01,64,19,24.4
2020-06-02,69,27,24.8
2020-06-03,64,48,25.0
2020-06-04,47,27,24.6
2020-06-05,62,12,25.2
2020-06-06,34,56,24.3
2020-06-07,20,23,22.6
2020-06-08,56,10,22.1
2020-06-09,50,45,21.0
2020-06-10,55,22,20.3
2020-06-11,19,24,18.6
2020-06-12,33,21,16.8
2020-06-13,24,21,16.1
2020-06-14,30,6,16.8
2020-06-15,38,22,15.7
2020-06-16,37,11,14.8
2020-06-17,28,11,13.2
2020-06-18,38,13,14.4
2020-06-19,29,26,14.1
2020-06-20,29,18,14.4
2020-06-21,22,19,13.9
2020-06-22,42,11,14.2
2020-06-23,22,27,13.3
2020-06-24,19,8,12.7
2020-06-25,25,42,11.8
2020-06-26,28,14,11.8
2020-06-27,14,13,10.9
2020-06-28,24,6,11.0
2020-06-29,30,16,10.2
2020-06-30,24,16,10.3
2020-07-01,26,1900,10.7
2020-07-02,22,28,10.6
2020-07-03,28,20,10.6
2020-07-04,13,33,10.5
2020-07-05,17,13,10.0
2020-07-06,14,22,9.0
2020-07-07,16,12,8.5
2020-07-08,26,20,8.6
2020-07-09,26,12,8.8
2020-07-10,23,28,8.5
2020-07-11,13,21,8.5
2020-07-12,11,14,8.2
2020-07-13,24,21,8.8
2020-07-14,21,18,9.1
2020-07-15,24,20,8.9
2020-07-16,24,25,8.8
2020-07-17,20,13,8.6
2020-07-18,20,35,9.0
2020-07-19,17,16,9.4
2020-07-20,33,24,10.0
2020-07-21,26,17,10.3
2020-07-22,30,23,10.7
2020-07-23,23,19,10.7
2020-07-24,16,23,10.4
2020-07-25,11,29,9.9
2020-07-26,12,22,9.5
2020-07-27,24,19,8.9
2020-07-28,23,16,8.8
2020-07-29,27,17,8.6
2020-07-30,16,27,8.1
2020-07-31,10,18,7.7
2020-08-01,7,22,7.4
2020-08-02,3,18,6.9
2020-08-03,25,8,7.0
2020-08-04,12,12,6.3
2020-08-05,15,7,5.5
2020-08-06,16,21,5.5
2020-08-07,8,13,5.4
2020-08-08,8,14,5.5
2020-08-09,6,6,5.7
2020-08-10,18,13,5.2
2020-08-11,11,11,5.1
2020-08-12,11,9,4.9
2020-08-13,10,0,4.5
2020-08-14,9,20,4.6
2020-08-15,6,4,4.5
2020-08-16,3,21,4.3
2020-08-17,21,11,4.5
2020-08-18,3,4,4.0
2020-08-19,17,12,4.4
2020-08-20,18,12,4.9
2020-08-21,14,16,5.2
2020-08-22,6,9,5.1
2020-08-23,7,11,5.4
2020-08-24,11,11,4.8
2020-08-25,11,15,5.3
2020-08-26,11,12,4.9
2020-08-27,13,10,4.6
2020-08-28,16,9,4.7
2020-08-29,10,9,5.0
2020-08-30,21,13,5.8
2020-08-31,17,12,6.2
2020-09-01,12,18,6.3
2020-09-02,28,15,7.3
2020-09-03,20,11,7.8
2020-09-04,26,14,8.4
2020-09-05,11,13,8.5
2020-09-06,44,10,10.0
2020-09-07,27,22,10.6
2020-09-08,19,42,11.0
2020-09-09,22,36,10.7
