date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-12,1,0,0.0
2020-02-13,0,0,0.0
2020-02-14,0,0,0.0
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,0,0.0
2020-02-18,0,0,0.0
2020-02-19,0,0,0.0
2020-02-20,0,0,0.0
2020-02-21,0,0,0.0
2020-02-22,0,0,0.0
2020-02-23,0,0,0.0
2020-02-24,0,0,0.0
2020-02-25,0,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,2,0,0.3
2020-03-10,3,0,0.8
2020-03-11,4,0,1.5
2020-03-12,4,0,2.1
2020-03-13,0,0,2.1
2020-03-14,1,0,2.3
2020-03-15,4,0,3.0
2020-03-16,3,0,3.2
2020-03-17,6,0,3.7
2020-03-18,5,0,3.8
2020-03-19,9,0,4.7
2020-03-20,14,0,7.1
2020-03-21,13,0,9.0
2020-03-22,9,0,9.8
2020-03-23,14,0,11.7
2020-03-24,18,0,13.7
2020-03-25,22,0,16.6
2020-03-26,23,0,18.9
2020-03-27,22,0,20.2
2020-03-28,35,0,23.9
2020-03-29,27,0,27.0
2020-03-30,45,0,32.1
2020-03-31,37,0,35.3
2020-04-01,34,0,37.3
2020-04-02,31,0,38.6
2020-04-03,36,0,41.0
2020-04-04,17,0,38.0
2020-04-05,28,0,38.1
2020-04-06,38,0,36.9
2020-04-07,46,0,38.4
2020-04-08,41,0,39.6
2020-04-09,39,0,41.0
2020-04-10,35,0,40.8
2020-04-11,42,0,45.0
2020-04-12,22,0,44.0
2020-04-13,25,0,41.8
2020-04-14,47,0,42.0
2020-04-15,44,0,42.5
2020-04-16,57,0,45.5
2020-04-17,77,44,52.5
2020-04-18,68,43,56.8
2020-04-19,61,40,63.3
2020-04-20,34,42,64.9
2020-04-21,58,29,66.7
2020-04-22,66,47,70.3
2020-04-23,81,22,74.4
2020-04-24,32,12,66.8
2020-04-25,38,24,61.9
2020-04-26,39,14,58.2
2020-04-27,34,12,58.2
2020-04-28,30,25,53.5
2020-04-29,55,9,51.7
2020-04-30,25,26,42.3
