date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-27,1,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,1,0,0.5
2020-03-04,0,0,0.5
2020-03-05,1,0,1.1
2020-03-06,0,0,1.1
2020-03-07,0,0,1.1
2020-03-08,0,0,1.1
2020-03-09,0,0,1.1
2020-03-10,2,0,1.8
2020-03-11,3,0,3.5
2020-03-12,2,0,4.0
2020-03-13,0,0,4.0
2020-03-14,0,0,4.0
2020-03-15,2,0,5.2
2020-03-16,0,0,5.2
2020-03-17,1,0,4.6
2020-03-18,4,0,5.2
2020-03-19,2,0,5.2
2020-03-20,2,0,6.4
2020-03-21,0,0,6.4
2020-03-22,3,0,6.9
2020-03-23,1,0,7.5
2020-03-24,1,0,7.4
2020-03-25,2,0,6.3
2020-03-26,6,0,8.6
2020-03-27,11,0,13.8
2020-03-28,7,0,17.8
2020-03-29,13,0,23.6
2020-03-30,15,0,31.6
2020-03-31,8,0,35.7
2020-04-01,14,0,42.5
2020-04-02,4,0,41.4
2020-04-03,10,0,40.8
2020-04-04,9,0,42.0
2020-04-05,8,0,39.1
2020-04-06,7,0,34.5
2020-04-07,10,0,35.6
2020-04-08,12,0,34.5
2020-04-09,5,0,35.1
2020-04-10,16,0,38.5
2020-04-11,3,0,35.0
2020-04-12,11,0,36.8
2020-04-13,18,0,43.1
2020-04-14,21,0,49.5
2020-04-15,13,0,50.0
2020-04-16,17,0,56.9
2020-04-17,28,9,63.8
2020-04-18,4,0,64.4
2020-04-19,9,21,63.2
2020-04-20,7,1,56.9
2020-04-21,17,43,54.6
2020-04-22,29,8,63.9
2020-04-23,3,2,55.8
2020-04-24,8,26,44.3
2020-04-25,10,14,47.7
2020-04-26,11,14,48.9
2020-04-27,6,8,48.3
2020-04-28,7,10,42.5
2020-04-29,9,5,31.0
2020-04-30,11,0,35.6
2020-05-01,14,4,39.1
2020-05-02,8,4,38.0
2020-05-03,4,7,33.9
2020-05-04,5,9,33.4
2020-05-05,5,11,32.2
2020-05-06,16,4,36.2
2020-05-07,7,0,33.9
2020-05-08,3,6,27.6
2020-05-09,2,1,24.1
2020-05-10,3,5,23.5
2020-05-11,7,5,24.7
2020-05-12,6,1,25.3
2020-05-13,5,1,19.0
2020-05-14,9,2,20.2
2020-05-15,2,3,19.5
2020-05-16,2,1,19.6
2020-05-17,3,4,19.6
2020-05-18,5,2,18.4
2020-05-19,3,1,16.7
2020-05-20,7,3,17.8
2020-05-21,2,3,13.8
2020-05-22,2,2,13.8
2020-05-23,1,2,13.2
2020-05-24,2,0,12.6
2020-05-25,0,0,9.7
2020-05-26,1,0,8.6
2020-05-27,1,1,5.2
2020-05-28,2,0,5.1
2020-05-29,0,1,4.0
2020-05-30,3,1,5.2
2020-05-31,2,1,5.2
2020-06-01,0,0,5.2
2020-06-02,3,1,6.3
2020-06-03,2,1,6.9
2020-06-04,1,1,6.4
2020-06-05,2,1,7.5
2020-06-06,0,0,5.7
2020-06-07,2,2,5.8
2020-06-08,0,0,5.8
2020-06-09,1,0,4.6
2020-06-10,0,1,3.4
2020-06-11,6,0,6.3
2020-06-12,2,0,6.3
2020-06-13,0,5,6.3
2020-06-14,1,0,5.7
2020-06-15,0,0,5.7
2020-06-16,1,0,5.8
2020-06-17,0,0,5.8
2020-06-18,0,0,2.3
2020-06-19,0,0,1.2
2020-06-20,0,0,1.2
2020-06-21,0,0,0.6
2020-06-22,0,0,0.6
2020-06-23,2,0,1.1
2020-06-24,0,0,1.1
2020-06-25,1,0,1.7
2020-06-26,1,0,2.3
2020-06-27,1,0,2.9
2020-06-28,0,0,2.9
2020-06-29,0,0,2.9
2020-06-30,2,0,2.9
2020-07-01,0,126,2.9
2020-07-02,1,0,2.9
2020-07-03,0,1,2.3
2020-07-04,0,2,1.7
2020-07-05,1,0,2.3
2020-07-06,1,0,2.8
2020-07-07,1,0,2.3
2020-07-08,3,1,4.0
2020-07-09,1,1,4.0
2020-07-10,2,1,5.2
2020-07-11,3,2,6.9
2020-07-12,0,3,6.3
2020-07-13,0,3,5.8
2020-07-14,0,0,5.2
2020-07-15,0,0,3.5
2020-07-16,2,0,4.0
2020-07-17,0,1,2.8
2020-07-18,0,1,1.1
2020-07-19,0,0,1.1
2020-07-20,0,1,1.1
2020-07-21,1,0,1.7
2020-07-22,2,1,2.9
2020-07-23,0,0,1.8
2020-07-24,1,1,2.3
2020-07-25,0,0,2.3
2020-07-26,0,1,2.3
2020-07-27,1,1,2.9
2020-07-28,1,0,2.9
2020-07-29,1,0,2.3
2020-07-30,1,0,2.8
2020-07-31,0,2,2.3
2020-08-01,0,0,2.3
2020-08-02,0,0,2.3
2020-08-03,2,1,2.9
2020-08-04,0,0,2.3
2020-08-05,1,0,2.3
2020-08-06,1,1,2.3
2020-08-07,0,2,2.3
2020-08-08,1,0,2.9
2020-08-09,0,0,2.9
2020-08-10,0,1,1.7
2020-08-11,0,1,1.7
2020-08-12,0,0,1.1
2020-08-13,3,0,2.3
2020-08-14,0,0,2.3
2020-08-15,1,2,2.3
2020-08-16,0,0,2.3
2020-08-17,2,1,3.5
2020-08-18,1,1,4.0
2020-08-19,4,1,6.3
2020-08-20,1,1,5.2
2020-08-21,1,0,5.8
2020-08-22,1,3,5.8
2020-08-23,2,2,6.9
2020-08-24,1,2,6.3
2020-08-25,2,2,6.9
2020-08-26,1,1,5.2
2020-08-27,4,1,6.9
2020-08-28,3,0,8.0
2020-08-29,2,3,8.6
2020-08-30,2,3,8.6
2020-08-31,5,1,10.9
2020-09-01,2,4,11.0
2020-09-02,3,5,12.1
2020-09-03,3,1,11.5
2020-09-04,5,2,12.7
2020-09-05,1,3,12.1
2020-09-06,0,1,11.0
2020-09-07,7,6,12.1
2020-09-08,2,0,12.0
2020-09-09,2,2,11.5
2020-09-10,4,0,12.1
2020-09-11,3,9,10.9
2020-09-12,1,2,10.9
2020-09-13,0,0,10.9
2020-09-14,1,1,7.5
2020-09-15,2,2,7.5
2020-09-16,2,3,7.5
2020-09-17,3,2,6.9
2020-09-18,2,3,6.3
2020-09-19,5,3,8.6
2020-09-20,4,1,10.9
2020-09-21,9,1,15.5
2020-09-22,4,3,16.7
2020-09-23,5,8,18.3
2020-09-24,8,8,21.2
2020-09-25,7,7,24.2
2020-09-26,1,8,21.8
2020-09-27,6,7,23.0
2020-09-28,7,3,21.8
2020-09-29,7,8,23.5
2020-09-30,10,5,26.5
2020-10-01,11,4,28.2
2020-10-02,9,5,29.3
2020-10-03,8,9,33.4
2020-10-04,7,23,33.9
2020-10-05,9,14,35.1
2020-10-06,11,7,37.4
2020-10-07,10,13,37.4
2020-10-08,17,14,40.8
2020-10-09,14,20,43.7
2020-10-10,10,15,44.8
2020-10-11,7,12,44.9
2020-10-12,13,12,47.1
2020-10-13,21,17,52.9
2020-10-14,26,16,62.1
2020-10-15,25,22,66.7
2020-10-16,23,12,71.8
2020-10-17,9,37,71.3
2020-10-18,12,14,74.1
2020-10-19,37,16,88.0
2020-10-20,36,15,96.6
2020-10-21,38,38,103.4
2020-10-22,27,40,104.7
2020-10-23,21,14,103.5
2020-10-24,17,16,108.1
2020-10-25,11,32,107.5
2020-10-26,29,19,102.9
2020-10-27,24,23,96.0
2020-10-28,16,24,83.4
2020-10-29,24,30,81.6
2020-10-30,28,17,85.7
2020-10-31,16,19,85.1
2020-11-01,13,30,86.3
2020-11-02,64,23,106.4
2020-11-03,19,19,103.5
2020-11-04,27,18,109.8
2020-11-05,33,22,115.0
2020-11-06,39,31,121.3
2020-11-07,24,42,125.9
2020-11-08,31,51,136.2
2020-11-09,49,17,127.6
2020-11-10,41,26,140.2
2020-11-11,38,42,146.6
2020-11-12,43,58,152.3
2020-11-13,40,31,152.9
2020-11-14,13,33,146.6
2020-11-15,22,33,141.4
2020-11-16,30,0,130.5
2020-11-17,31,18,124.8
2020-11-18,37,19,124.2
2020-11-19,30,22,116.7
2020-11-20,21,31,105.8
2020-11-21,28,33,114.4
2020-11-22,19,40,112.7
2020-11-23,27,30,110.9
2020-11-24,25,11,107.5
2020-11-25,28,38,102.3
2020-11-26,28,29,101.2
2020-11-27,38,24,110.9
2020-11-28,16,17,104.0
2020-11-29,16,29,102.3
2020-11-30,47,27,113.9
2020-12-01,25,23,113.8
2020-12-02,55,37,129.4
2020-12-03,34,29,132.8
2020-12-04,38,28,132.8
2020-12-05,31,40,141.5
2020-12-06,24,47,146.1
2020-12-07,39,36,141.4
2020-12-08,53,30,157.6
2020-12-09,47,33,152.9
2020-12-10,48,39,161.0
