date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,1,0,0.0
2020-03-02,1,0,0.1
2020-03-03,0,0,0.1
2020-03-04,0,0,0.1
2020-03-05,1,0,0.2
2020-03-06,0,0,0.2
2020-03-07,0,0,0.2
2020-03-08,1,0,0.3
2020-03-09,1,0,0.2
2020-03-10,4,0,0.6
2020-03-11,6,0,1.1
2020-03-12,7,0,1.6
2020-03-13,14,0,2.9
2020-03-14,7,0,3.5
2020-03-15,12,0,4.4
2020-03-16,15,0,5.7
2020-03-17,24,0,7.4
2020-03-18,32,0,9.7
2020-03-19,35,0,12.2
2020-03-20,52,0,15.5
2020-03-21,30,0,17.5
2020-03-22,26,0,18.8
2020-03-23,64,0,23.1
2020-03-24,67,0,26.9
2020-03-25,61,0,29.4
2020-03-26,91,0,34.3
2020-03-27,70,0,35.8
2020-03-28,79,0,40.2
2020-03-29,107,0,47.2
2020-03-30,122,0,52.3
2020-03-31,132,0,58.0
2020-04-01,106,0,62.0
2020-04-02,101,0,62.9
2020-04-03,82,0,64.0
2020-04-04,87,0,64.6
2020-04-05,72,0,61.6
2020-04-06,62,0,56.3
2020-04-07,76,0,51.4
2020-04-08,78,0,48.9
2020-04-09,49,0,44.3
2020-04-10,60,0,42.4
2020-04-11,32,0,37.6
2020-04-12,45,0,35.2
2020-04-13,37,0,33.1
2020-04-14,71,0,32.6
2020-04-15,78,0,32.7
2020-04-16,116,0,38.5
2020-04-17,97,82,41.7
2020-04-18,109,69,48.5
2020-04-19,64,110,50.2
2020-04-20,59,67,52.1
2020-04-21,87,51,53.5
2020-04-22,107,70,56.0
2020-04-23,91,52,53.9
2020-04-24,72,69,51.7
2020-04-25,65,66,47.8
2020-04-26,50,41,46.6
2020-04-27,56,46,46.3
2020-04-28,44,28,42.5
2020-04-29,74,49,39.6
2020-04-30,78,19,38.4
2020-05-01,79,43,39.1
2020-05-02,39,25,36.8
2020-05-03,53,35,37.0
2020-05-04,27,24,34.5
2020-05-05,55,26,35.5
2020-05-06,40,23,32.5
2020-05-07,47,34,29.9
2020-05-08,56,49,27.8
2020-05-09,37,15,27.6
2020-05-10,36,28,26.2
2020-05-11,41,22,27.4
2020-05-12,38,37,25.9
2020-05-13,48,30,26.6
2020-05-14,35,24,25.5
2020-05-15,42,16,24.3
2020-05-16,32,28,23.9
2020-05-17,19,15,22.3
2020-05-18,27,28,21.1
2020-05-19,31,16,20.5
2020-05-20,29,21,18.9
2020-05-21,23,8,17.8
2020-05-22,27,25,16.4
2020-05-23,22,20,15.6
2020-05-24,23,9,16.0
2020-05-25,16,9,15.0
2020-05-26,32,14,15.1
2020-05-27,31,13,15.2
2020-05-28,26,21,15.5
2020-05-29,18,33,14.8
2020-05-30,17,0,14.3
2020-05-31,17,0,13.7
2020-06-01,14,6,13.6
2020-06-02,15,4,12.1
2020-06-03,17,1,10.9
2020-06-04,19,9,10.2
2020-06-05,20,6,10.4
2020-06-06,15,4,10.2
2020-06-07,9,9,9.6
2020-06-08,21,0,10.1
2020-06-09,20,15,10.6
2020-06-10,7,6,9.7
2020-06-11,8,11,8.8
2020-06-12,18,4,8.6
2020-06-13,7,3,7.9
2020-06-14,16,4,8.5
2020-06-15,28,3,9.2
2020-06-16,20,0,9.1
2020-06-17,18,7,10.1
2020-06-18,16,5,10.8
2020-06-19,9,7,10.0
2020-06-20,8,3,10.1
2020-06-21,14,0,9.9
2020-06-22,17,0,8.9
2020-06-23,19,3,8.9
2020-06-24,11,3,8.2
2020-06-25,10,5,7.7
2020-06-26,9,2,7.7
2020-06-27,6,5,7.5
2020-06-28,8,5,7.0
2020-06-29,7,0,6.1
2020-06-30,13,1,5.6
2020-07-01,8,1387,5.4
2020-07-02,20,12,6.2
2020-07-03,9,4,6.2
2020-07-04,7,15,6.3
2020-07-05,8,14,6.3
2020-07-06,12,6,6.8
2020-07-07,6,8,6.1
2020-07-08,9,9,6.2
2020-07-09,7,8,5.1
2020-07-10,11,13,5.3
2020-07-11,22,5,6.6
2020-07-12,13,13,7.1
