date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,2,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,0.5
2020-03-11,1,0,1.0
2020-03-12,1,0,1.5
2020-03-13,3,0,3.0
2020-03-14,0,0,3.0
2020-03-15,2,0,4.0
2020-03-16,4,0,6.1
2020-03-17,5,0,8.1
2020-03-18,5,0,10.1
2020-03-19,4,0,11.6
2020-03-20,9,0,14.7
2020-03-21,2,0,15.7
2020-03-22,9,0,19.2
2020-03-23,16,0,25.2
2020-03-24,14,0,29.8
2020-03-25,15,0,34.8
2020-03-26,11,0,38.4
2020-03-27,19,0,43.4
2020-03-28,11,0,47.9
2020-03-29,15,0,51.0
2020-03-30,12,0,49.0
2020-03-31,16,0,49.9
2020-04-01,15,0,50.0
2020-04-02,8,0,48.4
2020-04-03,15,0,46.4
2020-04-04,8,0,44.9
2020-04-05,7,0,40.9
2020-04-06,11,0,40.3
2020-04-07,14,0,39.4
2020-04-08,9,0,36.3
2020-04-09,9,0,36.9
2020-04-10,13,0,35.8
2020-04-11,6,0,34.9
2020-04-12,11,0,36.8
2020-04-13,8,0,35.4
2020-04-14,9,0,32.8
2020-04-15,9,0,32.8
2020-04-16,11,0,33.8
2020-04-17,7,7,30.8
2020-04-18,6,7,30.8
2020-04-19,11,14,30.8
2020-04-20,6,5,29.7
2020-04-21,10,5,30.3
2020-04-22,3,7,27.3
2020-04-23,4,5,23.7
2020-04-24,5,2,22.7
2020-04-25,4,3,21.7
2020-04-26,1,1,16.7
2020-04-27,9,3,18.2
2020-04-28,7,1,16.6
2020-04-29,15,1,22.7
2020-04-30,10,3,25.8
2020-05-01,7,3,26.8
2020-05-02,3,3,26.2
2020-05-03,4,14,27.7
2020-05-04,4,0,25.2
2020-05-05,3,3,23.3
2020-05-06,3,0,17.2
2020-05-07,6,5,15.1
2020-05-08,3,0,13.1
2020-05-09,2,1,12.6
2020-05-10,0,3,10.6
2020-05-11,4,4,10.6
2020-05-12,1,0,9.5
2020-05-13,4,2,10.1
2020-05-14,1,3,7.6
2020-05-15,4,2,8.1
2020-05-16,1,1,7.6
2020-05-17,1,0,8.1
2020-05-18,1,1,6.6
2020-05-19,0,2,6.1
2020-05-20,1,0,4.5
