date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,1,0,0.0
2020-03-06,2,0,0.9
2020-03-07,2,0,1.8
2020-03-08,3,0,3.2
2020-03-09,0,0,3.2
2020-03-10,0,0,3.2
2020-03-11,0,0,3.2
2020-03-12,1,0,3.6
2020-03-13,0,0,2.7
2020-03-14,0,0,1.8
2020-03-15,0,0,0.4
2020-03-16,0,0,0.4
2020-03-17,0,0,0.4
2020-03-18,1,0,0.9
2020-03-19,1,0,1.0
2020-03-20,2,0,1.9
2020-03-21,1,0,2.3
2020-03-22,0,0,2.3
2020-03-23,4,0,4.2
2020-03-24,4,0,6.0
2020-03-25,9,0,9.7
2020-03-26,5,0,11.5
2020-03-27,5,0,12.9
2020-03-28,10,0,17.1
2020-03-29,2,0,18.0
2020-03-30,13,0,22.1
2020-03-31,4,0,22.1
2020-04-01,7,0,21.1
2020-04-02,19,0,27.6
2020-04-03,3,0,26.7
2020-04-04,9,0,26.2
2020-04-05,1,0,25.8
2020-04-06,10,0,24.4
2020-04-07,12,0,28.1
2020-04-08,9,0,29.0
2020-04-09,7,0,23.5
2020-04-10,11,0,27.1
2020-04-11,11,0,28.1
2020-04-12,5,0,29.9
2020-04-13,11,0,30.4
2020-04-14,20,0,34.1
2020-04-15,21,0,39.6
2020-04-16,20,0,45.5
2020-04-17,20,0,49.7
2020-04-18,5,0,47.0
2020-04-19,7,0,47.9
2020-04-20,13,0,48.8
2020-04-21,21,0,49.2
2020-04-22,9,0,43.8
2020-04-23,6,0,37.3
2020-04-24,11,0,33.2
2020-04-25,14,0,37.2
2020-04-26,5,0,36.3
2020-04-27,12,0,35.9
2020-04-28,6,0,29.0
2020-04-29,6,0,27.6
2020-04-30,13,0,30.9
2020-05-01,16,0,33.1
2020-05-02,14,0,33.2
2020-05-03,7,0,34.1
2020-05-04,8,0,32.2
2020-05-05,15,0,36.4
2020-05-06,22,0,43.7
2020-05-07,31,0,52.0
2020-05-08,13,0,50.7
2020-05-09,9,0,48.3
2020-05-10,8,0,48.8
2020-05-11,19,0,53.8
2020-05-12,25,0,58.5
2020-05-13,14,0,54.8
2020-05-14,22,0,50.6
2020-05-15,9,0,48.8
2020-05-16,2,0,45.6
2020-05-17,2,0,42.8
2020-05-18,13,0,40.1
2020-05-19,10,0,33.1
2020-05-20,8,0,30.4
2020-05-21,9,0,24.4
2020-05-22,6,0,23.0
2020-05-23,14,0,28.5
2020-05-24,4,0,29.5
2020-05-25,4,0,25.3
2020-05-26,2,0,21.6
2020-05-27,11,0,23.0
2020-05-28,2,0,19.8
2020-05-29,0,0,17.0
2020-05-30,0,0,10.6
2020-05-31,2,0,9.6
2020-06-01,4,0,9.7
2020-06-02,4,0,10.6
2020-06-03,2,0,6.4
2020-06-04,1,0,6.0
2020-06-05,2,0,6.9
